source_id,url,published_timestamp
S006,https://arbroathfc.co.uk/transfer-deadline-day-action-at-arbroath/,2024-08-31T10:01:34+01:00
S008,https://www.bbc.com/sport/football/articles/c97z27mqjmro,2024-05-09T19:40:41.160Z
S009,https://www.theterrace.scot/news/26254406.stewart-petrie-montroses-big-summer-recruitment/,2026-07-05T17:25:17Z
