match_id,tournament_id,season,match_date,home_team,away_team,home_goals,away_goals,bbc_shot_events_raw,bbc_shot_events_unresolved_side,bbc_shot_events_home_resolved,bbc_shot_events_away_resolved,bbc_parsed_home_resolved,bbc_parsed_away_resolved,proxy_xg_home,proxy_xg_away,proxy_xg_available_home,proxy_xg_available_away,proxy_xg_available_both,proxy_minus_goals_home,proxy_minus_goals_away
8736260,54,20/21,2021-02-03,rangers,st-johnstone,1,0,0,0,0,0,0,0,,,0,0,0,,
8736266,54,20/21,2021-02-03,motherwell,dundee-united,2,1,0,0,0,0,0,0,,,0,0,0,,
8736290,54,20/21,2021-02-03,hamilton-academical,ross-county,1,2,0,0,0,0,0,0,,,0,0,0,,
9286187,55,20/21,2021-02-03,dunfermline-athletic,raith-rovers,4,1,0,0,0,0,0,0,,,0,0,0,,
9303807,55,20/21,2021-02-03,arbroath,inverness-caledonian-thistle,1,1,0,0,0,0,0,0,,,0,0,0,,
8824221,55,20/21,2021-02-05,ayr-united,heart-of-midlothian,0,1,0,0,0,0,0,0,,,0,0,0,,
8736259,54,20/21,2021-02-06,st-mirren,kilmarnock,2,0,0,0,0,0,0,0,,,0,0,0,,
8736270,54,20/21,2021-02-06,hibernian,aberdeen,2,0,0,0,0,0,0,0,,,0,0,0,,
8736274,54,20/21,2021-02-06,celtic,motherwell,2,1,0,0,0,0,0,0,,,0,0,0,,
8736281,54,20/21,2021-02-06,ross-county,dundee-united,0,2,0,0,0,0,0,0,,,0,0,0,,
8736293,54,20/21,2021-02-06,livingston,st-johnstone,1,2,0,0,0,0,0,0,,,0,0,0,,
8824214,55,20/21,2021-02-06,alloa-athletic,queen-of-the-south,2,1,0,0,0,0,0,0,,,0,0,0,,
8824222,55,20/21,2021-02-06,arbroath,dunfermline-athletic,2,0,0,0,0,0,0,0,,,0,0,0,,
8824240,55,20/21,2021-02-06,greenock-morton,raith-rovers,0,1,0,0,0,0,0,0,,,0,0,0,,
8736262,54,20/21,2021-02-07,hamilton-academical,rangers,1,1,0,0,0,0,0,0,,,0,0,0,,
