slate_id,account_id,slate_window,as_of,model_run_id,run_name,fold_idx,bankroll,total_risk,slate_exposure,exposure_cap,k_risk,batch_status,order_id,match_id,home_team,away_team,kickoff,market_group,market_line,selection,side,venue_odds,effective_odds,p_model,p_market,edge,stake_fraction,risk,venue_stake,quote_ts,state,close_prob,close_ts,close_source,clv,clv_pct,outcome,gross_return,commission,net_pnl,settled_at,fill_count,filled_size,risk_filled
d572f433-bbb7-471b-9496-3e45af1cc61c,live_scottish_m12_500,2026-09-19,2026-09-19 13:35:00+00,,m12_joint_hybrid_synergy,43,500.00,43.53,0.093226,0.2500,0.25683669,BATCH_SETTLED,681b6ce1-7507-401c-89ae-d4cfcf46b3f6,16362617,stirling-albion,clyde-fc,2026-09-19 14:00:00+00,OverUnder,2.5,under_25,lay,1.6000,2.666667,0.415028,0.369358,0.045670,0.003428121,1.71,2.86,2026-09-19 13:34:00+00,SETTLED,,,,,,WIN,4.59,0.06,2.81,2026-09-19 17:07:53.893+00,1,2.86,1.72
d572f433-bbb7-471b-9496-3e45af1cc61c,live_scottish_m12_500,2026-09-19,2026-09-19 13:35:00+00,,m12_joint_hybrid_synergy,43,500.00,43.53,0.093226,0.2500,0.25683669,BATCH_SETTLED,6a5aefc3-0a79-43ed-a363-33cd963190fc,16362615,dumbarton,the-spartans-fc,2026-09-19 14:00:00+00,1X2,0.0,home,back,4.2000,4.200000,0.318071,0.231510,0.086561,0.008286939,4.14,4.14,2026-09-19 13:34:00+00,SETTLED,,,,,,WIN,12.60,0.19,9.41,2026-09-19 17:07:53.893+00,1,3.00,3.00
dcedd685-aea0-4eff-8c7f-017e798b31e4,live_scottish_grw_500,2026-09-19,2026-09-19 13:35:00+00,f870dbb7-9df0-4dae-a84a-cf570cf8113e,m05_joint_production_wealth_grw,43,500.00,41.23,0.087483,0.2500,0.28374426,BATCH_SETTLED,740aa1d4-48ae-4156-aa2d-83015afe2d25,16362442,cove-rangers,ross-county,2026-09-19 14:00:00+00,OverUnder,2.5,under_25,lay,1.6500,2.538462,0.553765,0.386617,0.167148,0.009076069,4.54,6.98,2026-09-19 13:34:00+00,SETTLED,,,,,,WIN,11.50,0.14,6.83,2026-09-19 17:07:51.66+00,2,6.98,4.53
dcedd685-aea0-4eff-8c7f-017e798b31e4,live_scottish_grw_500,2026-09-19,2026-09-19 13:35:00+00,f870dbb7-9df0-4dae-a84a-cf570cf8113e,m05_joint_production_wealth_grw,43,500.00,41.23,0.087483,0.2500,0.28374426,BATCH_SETTLED,7ac84f86-3236-49cd-a53d-3d8040b3a06e,16362442,cove-rangers,ross-county,2026-09-19 14:00:00+00,1X2,0.0,draw,back,4.9000,4.900000,0.265791,0.199446,0.066345,0.004282235,2.14,2.14,2026-09-19 13:34:00+00,SETTLED,,,,,,LOSE,0.00,0.00,-2.14,2026-09-19 17:07:51.66+00,1,2.14,2.14
dcedd685-aea0-4eff-8c7f-017e798b31e4,live_scottish_grw_500,2026-09-19,2026-09-19 13:35:00+00,f870dbb7-9df0-4dae-a84a-cf570cf8113e,m05_joint_production_wealth_grw,43,500.00,41.23,0.087483,0.2500,0.28374426,BATCH_SETTLED,82591940-ec5f-4859-ae00-f484306c8f71,16362614,forfar-athletic,annan-athletic,2026-09-19 14:00:00+00,1X2,0.0,home,back,3.0500,3.050000,0.378213,0.320366,0.057847,0.005983901,2.99,2.99,2026-09-19 13:34:00+00,SETTLED,,,,,,WIN,9.12,0.12,6.01,2026-09-19 17:07:51.66+00,1,2.99,2.99
dcedd685-aea0-4eff-8c7f-017e798b31e4,live_scottish_grw_500,2026-09-19,2026-09-19 13:35:00+00,f870dbb7-9df0-4dae-a84a-cf570cf8113e,m05_joint_production_wealth_grw,43,500.00,41.23,0.087483,0.2500,0.28374426,BATCH_SETTLED,83387c1d-8877-4ea0-9dcf-13ff6dd5ee03,16362442,cove-rangers,ross-county,2026-09-19 14:00:00+00,1X2,0.0,home,back,7.2000,7.200000,0.275643,0.135734,0.139909,0.013674749,6.84,6.84,2026-09-19 13:34:00+00,SETTLED,,,,,,LOSE,0.00,0.00,-6.84,2026-09-19 17:07:51.66+00,1,6.84,6.84
dcedd685-aea0-4eff-8c7f-017e798b31e4,live_scottish_grw_500,2026-09-19,2026-09-19 13:35:00+00,f870dbb7-9df0-4dae-a84a-cf570cf8113e,m05_joint_production_wealth_grw,43,500.00,41.23,0.087483,0.2500,0.28374426,BATCH_SETTLED,83f46d57-7e27-42a2-93cc-b25ef3f6795e,16362450,hamilton-academical,queen-of-the-south,2026-09-19 14:00:00+00,OverUnder,2.5,under_25,lay,1.6700,2.492537,0.485286,0.392440,0.092845,0.005630871,2.82,4.20,2026-09-19 13:34:00+00,SETTLED,,,,,,LOSE,0.00,0.00,-2.81,2026-09-19 17:07:51.66+00,1,4.20,2.81
d572f433-bbb7-471b-9496-3e45af1cc61c,live_scottish_m12_500,2026-09-19,2026-09-19 13:35:00+00,,m12_joint_hybrid_synergy,43,500.00,43.53,0.093226,0.2500,0.25683669,BATCH_SETTLED,8cd2c4f1-3959-4699-befd-22268939685d,16362450,hamilton-academical,queen-of-the-south,2026-09-19 14:00:00+00,1X2,0.0,away,back,9.0000,9.000000,0.253971,0.109750,0.144221,0.009039585,4.52,4.52,2026-09-19 13:34:00+00,SETTLED,,,,,,LOSE,0.00,0.00,-4.52,2026-09-19 17:07:53.893+00,1,4.52,4.52
d572f433-bbb7-471b-9496-3e45af1cc61c,live_scottish_m12_500,2026-09-19,2026-09-19 13:35:00+00,,m12_joint_hybrid_synergy,43,500.00,43.53,0.093226,0.2500,0.25683669,BATCH_SETTLED,a9c01cc8-1a6c-4706-addd-b337404888c4,16362442,cove-rangers,ross-county,2026-09-19 14:00:00+00,OverUnder,2.5,under_25,lay,1.6500,2.538462,0.521091,0.386617,0.134474,0.006486500,3.24,4.99,2026-09-19 13:34:00+00,SETTLED,,,,,,WIN,8.22,0.10,4.88,2026-09-19 17:07:53.893+00,2,4.99,3.24
dcedd685-aea0-4eff-8c7f-017e798b31e4,live_scottish_grw_500,2026-09-19,2026-09-19 13:35:00+00,f870dbb7-9df0-4dae-a84a-cf570cf8113e,m05_joint_production_wealth_grw,43,500.00,41.23,0.087483,0.2500,0.28374426,BATCH_SETTLED,aa4927b7-2cdb-4bd5-842d-ed146213d489,16362450,hamilton-academical,queen-of-the-south,2026-09-19 14:00:00+00,1X2,0.0,draw,back,5.5000,5.500000,0.239336,0.179590,0.059746,0.003170046,1.59,1.59,2026-09-19 13:34:00+00,SETTLED,,,,,,LOSE,0.00,0.00,-1.59,2026-09-19 17:07:51.66+00,1,1.59,1.59
d572f433-bbb7-471b-9496-3e45af1cc61c,live_scottish_m12_500,2026-09-19,2026-09-19 13:35:00+00,,m12_joint_hybrid_synergy,43,500.00,43.53,0.093226,0.2500,0.25683669,BATCH_SETTLED,b6538676-e116-4bb5-88bb-501d0134a284,16362448,east-fife,montrose,2026-09-19 14:00:00+00,1X2,0.0,home,back,2.8600,2.860000,0.386076,0.341423,0.044653,0.003466114,1.73,1.73,2026-09-19 13:34:00+00,SETTLED,,,,,,LOSE,0.00,0.00,-1.73,2026-09-19 17:07:53.893+00,1,1.73,1.73
dcedd685-aea0-4eff-8c7f-017e798b31e4,live_scottish_grw_500,2026-09-19,2026-09-19 13:35:00+00,f870dbb7-9df0-4dae-a84a-cf570cf8113e,m05_joint_production_wealth_grw,43,500.00,41.23,0.087483,0.2500,0.28374426,BATCH_SETTLED,b81f4e1a-8553-462d-98ca-e251922d5c36,16362449,peterhead,airdrieonians,2026-09-19 14:00:00+00,1X2,0.0,home,back,3.1500,3.150000,0.394172,0.311071,0.083101,0.008952484,4.48,4.48,2026-09-19 13:34:00+00,SETTLED,,,,,,LOSE,0.00,0.00,-1.07,2026-09-19 17:07:51.66+00,1,1.07,1.07
d572f433-bbb7-471b-9496-3e45af1cc61c,live_scottish_m12_500,2026-09-19,2026-09-19 13:35:00+00,,m12_joint_hybrid_synergy,43,500.00,43.53,0.093226,0.2500,0.25683669,BATCH_SETTLED,c720a19c-5c17-474e-9ff1-793a59db6d4d,16362449,peterhead,airdrieonians,2026-09-19 14:00:00+00,1X2,0.0,home,back,3.1500,3.150000,0.376776,0.311071,0.065704,0.006240189,3.12,3.12,2026-09-19 13:34:00+00,SETTLED,,,,,,LOSE,0.00,0.00,-1.07,2026-09-19 17:07:53.893+00,1,1.07,1.07
d572f433-bbb7-471b-9496-3e45af1cc61c,live_scottish_m12_500,2026-09-19,2026-09-19 13:35:00+00,,m12_joint_hybrid_synergy,43,500.00,43.53,0.093226,0.2500,0.25683669,BATCH_SETTLED,c7bd2e5d-53ae-44ac-9d1f-7657c1c4dea9,16362442,cove-rangers,ross-county,2026-09-19 14:00:00+00,1X2,0.0,draw,back,4.9000,4.900000,0.264232,0.199446,0.064786,0.005915080,2.96,2.96,2026-09-19 13:34:00+00,SETTLED,,,,,,LOSE,0.00,0.00,-2.96,2026-09-19 17:07:53.893+00,1,2.96,2.96
d572f433-bbb7-471b-9496-3e45af1cc61c,live_scottish_m12_500,2026-09-19,2026-09-19 13:35:00+00,,m12_joint_hybrid_synergy,43,500.00,43.53,0.093226,0.2500,0.25683669,BATCH_SETTLED,ca926eb9-7fb2-4527-a093-c41ed50e8e91,16362450,hamilton-academical,queen-of-the-south,2026-09-19 14:00:00+00,1X2,0.0,draw,back,5.5000,5.500000,0.245207,0.179590,0.065617,0.003614220,1.81,1.81,2026-09-19 13:34:00+00,SETTLED,,,,,,LOSE,0.00,0.00,-1.81,2026-09-19 17:07:53.893+00,1,1.81,1.81
d572f433-bbb7-471b-9496-3e45af1cc61c,live_scottish_m12_500,2026-09-19,2026-09-19 13:35:00+00,,m12_joint_hybrid_synergy,43,500.00,43.53,0.093226,0.2500,0.25683669,BATCH_SETTLED,e94fc194-28bb-47ac-9686-d710a313f047,16362614,forfar-athletic,annan-athletic,2026-09-19 14:00:00+00,1X2,0.0,home,back,3.0500,3.050000,0.367707,0.320366,0.047341,0.004081899,2.04,2.04,2026-09-19 13:34:00+00,SETTLED,,,,,,WIN,6.22,0.08,4.10,2026-09-19 17:07:53.893+00,1,2.04,2.04
dcedd685-aea0-4eff-8c7f-017e798b31e4,live_scottish_grw_500,2026-09-19,2026-09-19 13:35:00+00,f870dbb7-9df0-4dae-a84a-cf570cf8113e,m05_joint_production_wealth_grw,43,500.00,41.23,0.087483,0.2500,0.28374426,BATCH_SETTLED,eee946d3-1454-425a-9c92-09a77543cadc,16362444,alloa-athletic,east-kilbride,2026-09-19 14:00:00+00,OverUnder,2.5,under_25,back,2.3000,2.300000,0.455589,0.427861,0.027728,0.002046059,1.02,1.02,2026-09-19 13:34:00+00,SETTLED,,,,,,LOSE,0.00,0.00,-1.02,2026-09-19 17:07:51.66+00,1,1.02,1.02
