match_id,tournament_id,match_date,snapshot_unix_ms,minutes_to_kickoff,odds_home,odds_draw,odds_away,fair_p_home,fair_p_draw,fair_p_away,overround
14035482,56,2025-08-02,1754143094992,-1.7501333333333333,2.76,3.65,2.76,0.3628230616302187,0.2743538767395626,0.3628230616302187,-0.0013897161008535885
14035495,56,2025-08-02,1754143199629,-0.006183333333333333,6.2,4.3,1.65,0.1613049903376151,0.23257928839377062,0.6061157212686143,-9.093182386510357e-05
14035568,56,2025-12-20,1766239373607,-57.10655,2.58,3.85,2.84,0.38781025884756437,0.25988323839654964,0.352306502755886,-0.0005501649785960572
14035486,56,2025-08-02,1754142925936,-4.567733333333333,2.04,3.9,4.2,0.49781181619256015,0.2603938730853392,0.24179431072210064,-0.015298427063132891
14343735,56,2025-08-02,1754131655147,-192.41421666666668,3.35,3.9,2.22,0.29691358024691356,0.25504115226337454,0.4480452674897119,0.005368169547274038
14035506,56,2025-08-09,1754746483760,-25.270666666666667,2.84,3.8,2.66,0.35523504273504275,0.265491452991453,0.37927350427350426,-0.008789579582759721
14035498,56,2025-08-09,1754723693362,-405.11063333333334,1.61,4.2,6.8,0.6172465960665657,0.2366111951588502,0.14614220877458398,0.006272074047010134
14035497,56,2025-08-09,1754747776621,-3.7229833333333335,2.9,3.8,2.58,0.34635766268635626,0.2643255846816929,0.3893167526319508,-0.004417619831455166
14035501,56,2025-08-09,1754746446840,-25.886,1.89,3.95,4.7,0.5317427356180274,0.25442880261217005,0.2138284617698025,-0.004968956490637
14035484,56,2025-08-16,1755351018338,-29.694366666666667,1.57,4.5,6.4,0.6272733212815542,0.2188486920915645,0.1538779866268813,0.015414897381457848
14035488,56,2025-08-16,1755351254526,-25.7579,1.53,4.5,8.2,0.6550567183256112,0.22271928423070778,0.1222239974436811,-0.002231787023752596
14035494,56,2025-08-23,1755956448527,-19.191216666666666,1.87,3.8,5.0,0.5358754512635379,0.26370712996389895,0.2004174187725632,-0.002082746974387928
14035489,56,2025-08-16,1755351315977,-24.733716666666666,1.95,3.8,4.5,0.5137449301487157,0.26363226678684093,0.22262280306444343,-0.001799370220422869
14035493,56,2025-08-23,1755950535254,-117.74576666666667,2.64,3.75,2.82,0.3787634581909613,0.26664947456643673,0.3545870672426021,6.447453255953306e-05
14035496,56,2025-08-23,1755957111709,-8.138183333333334,4.8,3.8,1.87,0.20703921682885615,0.26152322125750244,0.5314375619136413,0.006250586358945487
14035492,56,2025-08-23,1755957353613,-4.10645,3.35,3.7,2.32,0.2985635282251052,0.27032103231191956,0.43111543946297526,-0.0001877842845419142
14035503,56,2025-08-30,1756561477290,-15.3785,1.56,4.8,6.8,0.6433301797540207,0.20908230842005676,0.14758751182592242,-0.0035822021116138636
14035491,56,2025-08-23,1755955845086,-29.248566666666665,3.3,3.65,2.4,0.3049608355091384,0.27571801566579635,0.41932114882506527,-0.006330427563304264
14035500,56,2025-08-30,1756562134707,-4.42155,1.45,5.3,8.2,0.6894582374871103,0.18862536685968112,0.12191639565320853,0.0002856372090072057
14035504,56,2025-08-30,1756561421182,-16.313633333333332,2.48,3.6,3.0,0.39752650176678445,0.27385159010600707,0.32862190812720843,0.01433691756272415
14035511,56,2025-09-13,1757771115951,-14.73415,2.9,3.95,2.48,0.3444081144745632,0.25285659037372993,0.402735295151707,0.0012179496205346751
14035510,56,2025-09-13,1757771781041,-3.6493166666666665,3.7,3.75,2.18,0.27145039181830255,0.2678310532607252,0.46071855492097225,-0.0043474667327878525
14035509,56,2025-09-13,1757770220055,-29.66575,2.88,3.85,2.54,0.34699207301062374,0.25956809617418086,0.3934398308151954,0.0006632693640566956
