model,family,variant,selection_family,bets,turnover,profit,roi_pct,win_rate_pct,avg_odds,mean_edge_pct,hurdle_p,hurdle_shape,hurdle_scale,hurdle_E_R,hurdle_sharpe,hurdle_G_bps,hurdle_G_emp_bps,hurdle_avg_stake,hurdle_n_bets
m00_baseline_grw,GRW,raw,1X2_home,306,2.0928594976258394,0.2495966708085911,11.926107370883523,38.56209150326797,3.2543709307049005,6.861168561258321,0.3856,6.0423,0.3134,0.1159,0.0779,7.380000000000001,6.63,0.0068,306
m00_baseline_grw,GRW,raw,1X2_draw,317,1.1219546909677138,0.16312184849601608,14.539076293296604,23.974763406940063,4.133724259345941,0.47029985154339715,0.2397,18.5766,0.1664,-0.0193,-0.0108,-0.8899999999999999,4.46,0.0035,317
m00_baseline_grw,GRW,raw,O/U 2.5_under_25,216,1.4126549802702633,0.07901627093266342,5.5934585610951055,53.24074074074074,2.168748752726489,6.077651090511138,0.5324,14.2212,0.0798,0.1368,0.1258,8.68,3.1300000000000003,0.0065,216
m00_baseline_grw,GRW,raw,O/U 2.5_over_25,114,0.5867874935363482,0.09869972818011767,16.820353069437697,55.26315789473684,1.8991249002130939,5.603728764808308,0.5526,25.4071,0.0338,0.0275,0.0294,1.2899999999999998,8.379999999999999,0.0051,114
m00_baseline_grw,GRW,raw,1X2_away,371,2.1706607305816292,0.4402271781893239,20.280791557479592,26.1455525606469,4.507073733710604,6.645635577411138,0.2615,5.8887,0.5046,0.0384,0.0207,1.6300000000000001,9.89,0.0059,371
m00_baseline_grw,GRW,t25_inv,1X2_home,338,1.3891541371318674,0.19153021195454095,13.787542133372321,38.75739644970414,3.1457475615477493,3.7281431405709977,0.3876,5.7735,0.3119,0.0856,0.0593,3.32,5.04,0.0041,338
m00_baseline_grw,GRW,t25_inv,O/U 2.5_under_25,231,1.268239018938451,0.08193958139514475,6.460894214067811,49.35064935064935,2.1675686456056287,4.579265803433713,0.4935,16.0909,0.0707,0.0549,0.0505,2.8200000000000003,3.15,0.0055,231
m00_baseline_grw,GRW,t25_inv,1X2_draw,204,0.5669473120247922,0.1724731629655752,30.421374139619,24.019607843137255,4.327128792598793,0.9609327241601943,0.2402,15.1311,0.2179,0.032,0.017,0.74,7.89,0.0028,204
m00_baseline_grw,GRW,t25_inv,O/U 2.5_over_25,77,0.2611822652564642,0.014473268939831817,5.541443989552659,53.246753246753244,1.916336113154196,3.543044609612019,0.5325,25.3427,0.0351,0.0061,0.0064,0.15,1.74,0.0034,77
m00_baseline_grw,GRW,t25_inv,1X2_away,393,1.3462070452280788,0.3308774524721054,24.57849657264623,26.97201017811705,4.389606834515984,3.664625996981299,0.2697,5.2109,0.5386,0.0268,0.0148,0.7100000000000001,7.67,0.0034,393
m00_baseline_grw,GRW,close_std,1X2_home,312,1.7895494202563274,0.2027317424802959,11.328647322366626,38.782051282051285,3.2312561824066104,5.805086035006967,0.3878,5.7773,0.3237,0.1131,0.0764,6.1,5.53,0.0057,312
m00_baseline_grw,GRW,close_std,1X2_draw,306,0.9114544950440433,0.09014973819471576,9.890755784835923,24.18300653594771,4.148547797965286,0.37187995364647397,0.2418,18.2596,0.1698,-0.0082,-0.0046,-0.4,2.56,0.003,306
m00_baseline_grw,GRW,close_std,O/U 2.5_under_25,218,1.124335655826977,0.06148298042305091,5.4683830495288035,52.293577981651374,2.1701828352414956,5.009293213209502,0.5229,14.104,0.0805,0.1169,0.1073,5.86,2.5300000000000002,0.0052,218
m00_baseline_grw,GRW,close_std,O/U 2.5_over_25,105,0.4626360995136685,0.09143149442982915,19.76315608011212,53.333333333333336,1.8976165363175175,5.090197618219671,0.5333,23.5674,0.0363,-0.0104,-0.0112,-0.55,8.51,0.0044,105
m00_baseline_grw,GRW,close_std,1X2_away,371,1.8646284373110797,0.3344272148393014,17.935327390027798,26.1455525606469,4.500033865181789,5.757968079834511,0.2615,5.8887,0.5046,0.0384,0.0207,1.47,7.7700000000000005,0.005,371
m05_production_wealth_grw,GRW,raw,1X2_home,300,2.072866231930327,0.2681680211148974,12.937063520262463,38.666666666666664,3.2526511912101523,6.860985387732558,0.3867,6.0395,0.3137,0.1191,0.08,7.67,7.36,0.0069,300
m05_production_wealth_grw,GRW,raw,O/U 2.5_under_25,211,1.3471183290534723,0.07471758632795945,5.546475370167251,53.08056872037915,2.1765004346312486,6.021981752408441,0.5308,14.8317,0.076,0.1289,0.1191,7.97,3.04,0.0064,211
m05_production_wealth_grw,GRW,raw,O/U 2.5_over_25,116,0.5697516855206052,0.08991310858316412,15.781104447458874,53.44827586206897,1.9178771345673833,5.489309331589612,0.5345,23.3138,0.0375,0.0021,0.0022,-0.01,7.49,0.0049,116
m05_production_wealth_grw,GRW,raw,1X2_draw,307,1.0764537045981477,0.17486546393034633,16.244587499062543,23.127035830618894,4.153604251628741,0.4112035037982285,0.2313,18.1233,0.1715,-0.05,-0.0283,-1.95,5.010000000000001,0.0035,307
m05_production_wealth_grw,GRW,raw,1X2_away,364,2.1189981758635725,0.5100392805604063,24.069831034778773,25.274725274725274,4.516093916622979,6.667614476874892,0.2527,5.9444,0.5014,0.0061,0.0033,-0.24000000000000002,12.07,0.0058,364
m05_production_wealth_grw,GRW,t25_inv,1X2_home,325,1.3677806290251464,0.17150141815039294,12.538664059939682,39.07692307692308,3.161837390577678,3.8449684385702794,0.3908,5.5689,0.3255,0.0991,0.0681,3.96,4.609999999999999,0.0042,325
m05_production_wealth_grw,GRW,t25_inv,O/U 2.5_under_25,228,1.2299922336096072,0.11614168421334135,9.442472971760575,50.0,2.172775592650841,4.537830292348147,0.5,15.9227,0.0714,0.0683,0.0628,3.5,4.71,0.0054,228
m05_production_wealth_grw,GRW,t25_inv,1X2_draw,194,0.5450727269520516,0.17667894085467095,32.413828855945106,24.742268041237114,4.3459450525424925,0.9775608769260082,0.2474,14.9592,0.2196,0.0601,0.0317,1.54,8.56,0.0028,194
m05_production_wealth_grw,GRW,t25_inv,O/U 2.5_over_25,80,0.24648616523018246,0.009756323832372911,3.9581628539930076,52.5,1.920159852745514,3.360594850701041,0.525,25.5736,0.0349,-0.0065,-0.0068,-0.25,1.09,0.0031,80
m05_production_wealth_grw,GRW,t25_inv,1X2_away,396,1.3028632439884127,0.34537624747577317,26.50901766316503,27.525252525252526,4.370623659138683,3.5204153729417493,0.2753,5.0023,0.5545,0.0388,0.0215,1.09,8.03,0.0033,396
m05_production_wealth_grw,GRW,close_std,1X2_home,302,1.7733041685317037,0.22178516289103845,12.506887810153664,38.41059602649007,3.2490843992923253,5.915590921897894,0.3841,6.0281,0.3142,0.1116,0.075,6.1499999999999995,6.33,0.0059,302
m05_production_wealth_grw,GRW,close_std,O/U 2.5_under_25,216,1.068182188126714,0.05394841347822122,5.0504880232866745,52.31481481481482,2.1757660639779695,4.865532299198012,0.5231,14.927,0.0754,0.1119,0.1034,5.38,2.23,0.0049,216
m05_production_wealth_grw,GRW,close_std,O/U 2.5_over_25,110,0.4534549850523146,0.08602782462438349,18.97163499359447,51.81818181818182,1.922641679058641,4.9648821571055635,0.5182,22.8622,0.0385,-0.0254,-0.0268,-1.13,7.63,0.0041,110
m05_production_wealth_grw,GRW,close_std,1X2_draw,301,0.8759514520840253,0.10638657123285494,12.145258847364735,23.588039867109636,4.163454672883334,0.2754202393624411,0.2359,18.1233,0.1715,-0.031,-0.0174,-1.04,3.15,0.0029,301
m05_production_wealth_grw,GRW,close_std,1X2_away,366,1.8433100891898166,0.40190849186768274,21.803628929537954,25.40983606557377,4.506144330806296,5.785180480475653,0.2541,5.9553,0.4987,0.0087,0.0048,-0.01,9.74,0.005,366
m05_joint_production_wealth_grw,GRW,raw,1X2_home,281,1.4247954037160917,0.3587699883061314,25.18045660242885,37.72241992882562,3.2539589439667767,5.3625192755893245,0.3772,5.4661,0.3411,0.0806,0.0547,3.79,11.93,0.0051,281
m05_joint_production_wealth_grw,GRW,raw,1X2_draw,284,0.7932041110109315,-0.01940666139292934,-2.4466163404266434,22.887323943661972,4.180666008931657,0.3916896222368918,0.2289,16.5759,0.188,-0.0577,-0.0327,-1.74,-1.0799999999999998,0.0028,284
m05_joint_production_wealth_grw,GRW,raw,O/U 2.5_under_25,183,1.2432784231470206,0.14525709161657893,11.683391983020197,51.91256830601093,2.163225526906245,5.981139065148077,0.5191,14.0865,0.0797,0.1016,0.0939,6.62,7.35,0.0068,183
m05_joint_production_wealth_grw,GRW,raw,O/U 2.5_over_25,136,0.8291843450436641,0.04662933327356944,5.623518286649994,50.73529411764706,1.9027435500316037,5.659970904826337,0.5074,20.8948,0.0413,-0.0544,-0.0578,-3.49,3.12,0.0061,136
m05_joint_production_wealth_grw,GRW,raw,1X2_away,379,2.0313009632069483,0.3537808437091055,17.416466103111006,25.593667546174142,4.434608418305765,5.791472896483329,0.2559,4.9701,0.5825,-0.0032,-0.0017,-0.67,8.05,0.0054,379
m05_joint_production_wealth_grw,GRW,t25_inv,1X2_home,323,1.0548969168854925,0.2540022078745925,24.078391339365727,39.628482972136226,3.1323679465745613,2.9391025994339555,0.3963,5.1805,0.3388,0.0919,0.0642,2.88,7.46,0.0033,323
m05_joint_production_wealth_grw,GRW,t25_inv,O/U 2.5_under_25,205,1.0401125571273577,0.02947978519607778,2.8342879810524293,49.26829268292683,2.1785242322333778,4.1537627735725895,0.4927,15.0719,0.0761,0.0575,0.0526,2.75,1.1,0.0051,205
m05_joint_production_wealth_grw,GRW,t25_inv,1X2_draw,165,0.35708579923335143,0.030603777883067874,8.570427037079865,23.03030303030303,4.43699578404341,0.7905802723338841,0.2303,13.1045,0.2587,0.0112,0.0059,0.15,1.5799999999999998,0.0022,165
m05_joint_production_wealth_grw,GRW,t25_inv,O/U 2.5_over_25,87,0.2890404033562409,0.023691672647851724,8.19666467827747,49.42528735632184,1.9213534967130574,3.396120472251126,0.4943,17.9927,0.0488,-0.0718,-0.0756,-2.44,2.61,0.0033,87
m05_joint_production_wealth_grw,GRW,t25_inv,1X2_away,415,1.2091427934438637,0.16957525741372909,14.024419475779796,28.19277108433735,4.288092967776268,2.9979771735586507,0.2819,4.6132,0.5891,0.0481,0.0267,1.25,3.7100000000000004,0.0029,415
m05_joint_production_wealth_grw,GRW,close_std,1X2_home,285,1.2849927086470374,0.31734652018144804,24.696367383716957,37.89473684210526,3.2463644865839147,4.7939077921704,0.3789,5.561,0.3358,0.0867,0.0588,3.67,10.52,0.0045,285
m05_joint_production_wealth_grw,GRW,close_std,1X2_draw,269,0.6534687684010158,-0.03696406500529499,-5.656592448288388,23.04832713754647,4.207009824482019,0.31592270956782487,0.2305,16.7426,0.1874,-0.0465,-0.0261,-1.23,-1.62,0.0024,269
m05_joint_production_wealth_grw,GRW,close_std,O/U 2.5_under_25,184,1.0575917959471535,0.11330367967711015,10.71336598026823,52.17391304347826,2.165816692520885,5.1308119465624955,0.5217,13.9419,0.0808,0.1098,0.1012,6.1,5.79,0.0057,184
m05_joint_production_wealth_grw,GRW,close_std,1X2_away,384,1.8189550343460652,0.32409521197648117,17.817659362481,25.78125,4.409256541394695,5.109307021007459,0.2578,4.9089,0.5842,-0.0029,-0.0016,-0.53,7.4799999999999995,0.0047,384
m05_joint_production_wealth_grw,GRW,close_std,O/U 2.5_over_25,132,0.6962061192054992,0.0319346267113499,4.586950018163193,50.0,1.9060829146890514,5.155174735605026,0.5,20.5536,0.0422,-0.0661,-0.0701,-3.62,2.19,0.0053,132
m00_baseline,TimeDecay,raw,1X2_home,303,2.2915437731514294,0.08895805596670225,3.882014256457485,34.98349834983498,3.346438956294001,7.777099131936898,0.3498,8.6088,0.2382,0.0673,0.0445,4.41,1.1199999999999999,0.0076,303
m00_baseline,TimeDecay,raw,1X2_draw,349,1.3027383706736588,0.1551781578383416,11.91169012378882,24.355300859598852,4.144305202653152,0.6261025848994813,0.2436,21.0132,0.1472,-0.0029,-0.0016,-0.34,3.75,0.0037,349
m00_baseline,TimeDecay,raw,O/U 2.5_under_25,208,0.9258547916970823,0.08559720967905467,9.245208908208582,48.55769230769231,2.2862715278531422,5.0507105754602595,0.4856,19.7766,0.0626,0.0863,0.0761,3.7100000000000004,3.79,0.0045,208
m00_baseline,TimeDecay,raw,O/U 2.5_over_25,83,0.1914379006397602,-0.02965294568421629,-15.489589880123036,49.397590361445786,2.110838558424172,3.6505914962375554,0.494,51.0474,0.0209,0.022,0.0211,0.48000000000000004,-3.65,0.0023,83
m00_baseline,TimeDecay,raw,1X2_away,358,2.2470968963160325,0.5877935315508834,26.157907676991243,24.58100558659218,4.670402930578942,7.115315421357174,0.2458,7.354,0.433,0.0286,0.0151,1.07,14.34,0.0063,358
m00_baseline,TimeDecay,t25_inv,1X2_home,338,1.4651284367765005,0.08160728708476842,5.569974961670701,36.3905325443787,3.20583583544288,4.0601024535434025,0.3639,6.6944,0.2835,0.0545,0.0372,2.14,1.67,0.0043,338
m00_baseline,TimeDecay,t25_inv,O/U 2.5_under_25,231,0.9554584633068371,0.05633363852230798,5.895979855297689,46.753246753246756,2.254331857285432,3.951708205089657,0.4675,18.7317,0.0647,0.0346,0.0308,1.31,2.17,0.0041,231
m00_baseline,TimeDecay,t25_inv,1X2_draw,220,0.6244093725079874,0.2068896652399363,33.13365787719494,24.545454545454547,4.362822088952374,1.0618002802070396,0.2455,17.0106,0.1944,0.0571,0.0301,1.47,8.82,0.0028,220
m00_baseline,TimeDecay,t25_inv,1X2_away,384,1.3211302161730674,0.291804786633297,22.087511364214436,26.302083333333332,4.516351588018307,3.6999415233952537,0.263,6.3641,0.4704,0.0504,0.0271,1.51,6.970000000000001,0.0034,384
m00_baseline,TimeDecay,t25_inv,O/U 2.5_over_25,54,0.10324715780713381,0.004810200360573772,4.658917942864102,50.0,2.1072170490190683,2.4275355501205325,0.5,46.3838,0.0226,0.025,0.0243,0.46,0.8500000000000001,0.0019,54
