model,family,control,variant,n_panel_fixtures,n_slates,n_bets,total_return_pct,cagr_pct,growth_per_slate,growth_lo,growth_hi,roi_flat_pct,roi_lo_pct,roi_hi_pct,p_roi_positive,sharpe_ann,calmar,sortino,max_drawdown_pct,ulcer,win_rate_pct,expected_edge_pct,mean_exposure,worst_slate,span_days,run_id
m00_baseline_grw,GRW,m00_baseline,raw,622,99,1324,153.84150601886523,71.61292923702976,0.009409493880956242,0.0007978505373875262,0.017758928440155516,13.95630637095813,1.3276856300477529,26.700395156496484,0.98275,1.635618325051016,8.407057723431054,0.2997100596990022,-18.29909001220466,6.232287731394277,35.422960725075534,5.034540140968571,0.07459512518163429,-0.09748897912314082,630,f64a00a2-34a0-4f31-8c58-c093c92d54b7
m00_baseline_grw,GRW,m00_baseline,t25_inv,622,99,1243,110.69967326798742,54.0451314847866,0.007527914991142577,0.0017002003769472872,0.013395326693924292,16.377026737612994,3.5750242302472195,29.15221880008464,0.9925,1.9373042530145728,11.969297311915284,0.40199908019584357,-9.248635937699309,3.117084005098681,35.478680611423975,3.4006158564671276,0.04880535129878437,-0.05027325464693243,630,f64a00a2-34a0-4f31-8c58-c093c92d54b7
m00_baseline_grw,GRW,m00_baseline,close_std,622,99,1312,104.62543955965052,51.45462663245859,0.0072324343214526235,0.00032909769362417815,0.01432024520478207,12.68118599340357,0.567513466213474,25.172074803757727,0.97925,1.554918833981362,6.70139580520927,0.26955877634803277,-15.612484712262612,5.448188930641048,35.21341463414634,4.335125713985774,0.06214751624194038,-0.07868711821914823,630,f64a00a2-34a0-4f31-8c58-c093c92d54b7
m05_production_wealth_grw,GRW,m05_production_wealth,raw,622,99,1298,174.87751722339908,79.7199091359021,0.01021369111663766,0.0015242065093385836,0.019265972402781252,15.555660349685441,2.540283591952127,28.05171427795197,0.9905,1.7149921114327913,8.856659082891964,0.29993296157120897,-19.74531429816494,6.140945255498104,34.89984591679507,5.022299532966764,0.07257765784814267,-0.11307230295526326,630,b2d8036d-8fbd-45f9-92b5-cc7675926232
m05_production_wealth_grw,GRW,m05_production_wealth,t25_inv,622,99,1223,116.72014470941603,56.58191765263214,0.007812491712260349,0.001894832285058067,0.013693020976095985,17.46420629865509,4.7826705925398025,30.689471955335716,0.997,2.01387687112994,12.322644527835067,0.39861269114584263,-9.472004523522703,3.1214062019098017,35.97710547833197,3.38251752661928,0.04739590907884244,-0.04865242895702756,630,b2d8036d-8fbd-45f9-92b5-cc7675926232
m05_production_wealth_grw,GRW,m05_production_wealth,close_std,622,99,1295,122.53806333472825,59.00536611421094,0.008080080526813315,0.0009851697837026177,0.015280207749862069,14.46669626918891,1.640759944189638,27.421319024151543,0.98525,1.6670664975622986,7.50680808956294,0.28582871438922014,-16.323590782225878,5.0810402439844475,34.74903474903475,4.311874919091683,0.06074952407055126,-0.09420609230089683,630,b2d8036d-8fbd-45f9-92b5-cc7675926232
m05_joint_production_wealth_grw,GRW,m05_joint_production_wealth,raw,622,99,1263,125.06406855506901,60.049268501980336,0.008194090149662917,0.0009599807402260031,0.015726816262176004,13.999742809966724,1.6947239777045482,26.75545102298543,0.98725,1.6471164238255716,6.248335773916797,0.2859019877287391,-20.015580641030763,4.81672638919501,34.204275534441805,4.495154781394727,0.06385619440529956,-0.09400695278717253,630,f870dbb7-9df0-4dae-a84a-cf570cf8113e
m05_joint_production_wealth_grw,GRW,m05_joint_production_wealth,t25_inv,622,99,1195,61.238123481775595,31.91126625688696,0.004825374890394848,3.3406672201268145e-6,0.009476041644623666,12.843466729305574,0.547804242691104,25.391219256909967,0.97975,1.5230590276110965,4.83758770935973,0.24039624882150018,-12.658814095151705,2.9159170956711913,35.73221757322176,2.904535783470567,0.03990180272774048,-0.05805255260135737,630,f870dbb7-9df0-4dae-a84a-cf570cf8113e
m05_joint_production_wealth_grw,GRW,m05_joint_production_wealth,close_std,622,99,1254,100.44136081791608,49.65139065473305,0.007023753062967974,0.0007909773923897175,0.01343165160814847,13.603462241095437,1.4833027624012047,26.260176915899706,0.98575,1.6437707457317323,5.993314987256586,0.2825120977135351,-16.758899045266546,4.229962345996116,34.370015948963314,4.017363069359279,0.05566883259138153,-0.07015603020573292,630,f870dbb7-9df0-4dae-a84a-cf570cf8113e
m00_baseline,TimeDecay,m00_baseline,raw,622,99,1301,115.47878692961744,56.061307334515355,0.007754467496858809,-0.0018067326654406372,0.017228295936771252,12.759245492308876,-1.6802017177684356,27.801065523517405,0.957,1.215164554267769,5.470946085471154,0.22947259725557065,-21.107644843418793,8.04400921911217,32.359723289777094,4.977556228928607,0.07028961345937335,-0.09329490526281134,630,2722f7e2-0ee6-4040-95cc-55420800b1c3
m00_baseline,TimeDecay,m00_baseline,t25_inv,622,99,1227,80.7391815359062,40.93833533540825,0.005978634546156581,2.0329805681484468e-5,0.01223066493870359,14.35202398736431,0.43113245779653175,29.27363488301781,0.9775,1.4641953441329725,6.288724150093908,0.2811747804460195,-12.838722069674583,4.7147066597708855,33.659331703341486,3.317538509379965,0.045145188349207346,-0.05846181525876358,630,2722f7e2-0ee6-4040-95cc-55420800b1c3
m00_baseline,TimeDecay,m00_baseline,close_std,622,99,1287,111.69197124684457,54.46532261304555,0.007575374406957035,-0.00041909297909854213,0.015485278386726675,13.961702065310861,-0.22615056580934562,28.220759147916265,0.97325,1.4104974729686852,6.450997695028836,0.27051559854645835,-17.313906550131748,6.223413921712419,32.16783216783217,4.377697247721037,0.06044610686346179,-0.0744987574714632,630,2722f7e2-0ee6-4040-95cc-55420800b1c3
m05_production_wealth,TimeDecay,m05_production_wealth,raw,622,99,1298,124.24745303402128,59.71233330687164,0.008157373304833281,-0.001087572902041144,0.017581331837439672,13.733018714422549,-0.7190760975860432,28.619070856695043,0.96625,1.304500523829734,5.911034875143587,0.24223651687064038,-21.019577055194272,8.288140793765837,32.973805855161785,4.872144177872817,0.06791814628663655,-0.09104979309812858,630,9239e392-897f-490e-aad4-9e3cc7c6cf5b
m05_production_wealth,TimeDecay,m05_production_wealth,t25_inv,622,99,1211,76.6142184194895,39.06443297823075,0.005745430413560517,1.7162288023799097e-7,0.011884539332373512,14.127800956989294,0.14699519989468005,28.976649692325932,0.97525,1.4431596317581221,5.972577212124605,0.27416014979777087,-12.827664791668013,5.173380885371369,33.85631709331131,3.268276050681297,0.04403037706249097,-0.05887036503061727,630,9239e392-897f-490e-aad4-9e3cc7c6cf5b
m05_production_wealth,TimeDecay,m05_production_wealth,close_std,622,99,1288,117.08737119491333,56.73568760035903,0.007829593118710954,4.735869442131446e-6,0.015757475462218805,14.829044660871112,0.9155999196117894,29.24584721382934,0.98225,1.4760123856642302,7.0389824400983185,0.2782461739264226,-16.634133156507474,6.135267067340448,32.91925465838509,4.279711097802964,0.0585008159329224,-0.07618047560775018,630,9239e392-897f-490e-aad4-9e3cc7c6cf5b
m05_joint_production_wealth,TimeDecay,m05_joint_production_wealth,raw,622,99,1301,117.34235994036095,56.84239557626303,0.007841450705816972,-0.0005088281535857782,0.016467988707592206,13.361919978811954,0.6058381985839998,26.60102430240075,0.97975,1.3953108288509213,6.2994332805130755,0.22247253871055087,-18.627447059936742,6.943686559684609,33.82013835511145,4.552147596816416,0.06573325568252134,-0.09908104620419408,630,92a55d0b-86ba-4f08-a706-0684c95bec75
m05_joint_production_wealth,TimeDecay,m05_joint_production_wealth,t25_inv,622,99,1219,70.743123657605,36.36526134491525,0.005403939800474186,-0.00012609498796691505,0.010797715646916013,14.020661601333618,1.3642985103611003,27.5543374751789,0.98475,1.4854240227303575,5.9456350495076755,0.2542829396560327,-11.898329290066808,4.251127891549949,34.7005742411813,2.9782263573122303,0.04136866764827511,-0.06235039410447871,630,92a55d0b-86ba-4f08-a706-0684c95bec75
m05_joint_production_wealth,TimeDecay,m05_joint_production_wealth,close_std,622,99,1296,114.30459933750447,55.567706209528936,0.007699274529346891,0.00032673183761928277,0.015324000965750427,14.718590708278521,1.6765529285748326,28.070383136156337,0.98725,1.5450838172536165,7.679626439960351,0.2615867994031226,-14.88413534579354,5.551424477162131,33.7962962962963,4.035794693706322,0.05737907781371589,-0.07715168287323249,630,92a55d0b-86ba-4f08-a706-0684c95bec75
m12_joint_hybrid_synergy,Production,m12_joint_hybrid_synergy,raw,622,99,1328,129.32317893967914,61.79831410225771,0.008383455398156993,-0.0012464187359714335,0.017648631391284225,13.218759774483898,0.05416345002934709,26.542737404490097,0.97525,1.3545134638289125,6.588217279097904,0.21676538110349577,-19.629464764311294,7.599902156112329,34.11144578313253,4.667614771272692,0.07204696673920687,-0.11640888222843074,630,928dad3b-ccaf-4909-b6b7-4f1a815e1cab
m12_joint_hybrid_synergy,Production,m12_joint_hybrid_synergy,t25_inv,622,99,1213,76.37720741544645,38.95620710193928,0.005731866056296058,0.0001349489907655436,0.011186956704432705,14.106186128796685,0.9320663170440014,28.270748310620203,0.98125,1.539284693432854,5.636123435966725,0.27832980085361,-13.551372372018674,4.841087127506218,34.295136026380874,3.0914663965714224,0.043589751362188234,-0.05850990410492941,630,928dad3b-ccaf-4909-b6b7-4f1a815e1cab
m12_joint_hybrid_synergy,Production,m12_joint_hybrid_synergy,close_std,622,99,1316,124.38545485593129,59.76930895653676,0.008163587551788953,-1.0278503889740824e-5,0.016304633553357338,14.38856887249654,1.7018021783608952,27.186987034818134,0.98825,1.5025662389803207,6.884400661249932,0.25127475117400505,-18.067724552415555,6.348562272567517,33.890577507598785,4.17315648155147,0.06288453046797371,-0.09409672165062698,630,928dad3b-ccaf-4909-b6b7-4f1a815e1cab
