match_id,lambda_mkt_h,lambda_mkt_a,sse,n_targets,optim_converged,accepted,reason
12473322,1.6952258281504302,1.3000716812800521,0.0011832657380214707,7,true,true,
12473328,1.4623437567155884,1.1280775518341686,0.0010751861262643522,7,true,true,
12473330,2.07638644465291,0.9921855847018952,0.00015603413689296684,13,true,true,
12473331,1.4273462352760038,1.7523667301792267,0.0002008875514070213,11,true,true,
12473333,1.1148219903103187,1.6025373089212305,1.0111241589716279e-5,7,true,true,
12473334,1.6767977316599314,1.0991543901020726,0.00064822539140773,13,true,true,
12473335,1.7088402928372992,1.001881887836882,0.0018737379818781971,9,true,true,
12473336,1.6661259410953206,0.8747445104075612,1.5247494888856628e-8,5,true,true,
12473337,1.1460746477856842,2.0216277107764675,0.0003899958442346172,13,true,true,
12476452,1.9113119988459522,0.9675478552789157,0.0009523260167744599,9,true,true,
12476453,1.4515948041412696,1.2762564550681466,0.002070289250169498,9,true,true,
12476454,1.787302647872082,0.9632979595520216,7.929884277833068e-5,5,true,true,
12476455,1.4822380812195974,1.4405362398591508,0.0012858240068090384,7,true,true,
12476457,1.1050268684737334,0.9450088281666366,1.443800524434364e-9,3,true,true,
12476459,1.5837205068985667,1.1841387963770014,0.0009707660182272064,9,true,true,
12476460,1.627247304647204,0.8402429704537351,0.00020013522343589448,9,true,true,
12476461,1.3441027770612575,1.3440089916238147,0.00039206919447265574,11,true,true,
12476463,0.9877345011277544,1.5850872784220567,0.0005260128056883997,11,true,true,
12476464,1.4469657774020925,1.4181103859604,0.0009552493667810542,9,true,true,
12476465,1.045101381079555,1.6970702150533739,0.0003258408325979881,5,true,true,
12476466,2.0358541953612868,0.9971383582338197,0.000400168260647414,13,true,true,
12476468,1.487049130337049,1.1766651681758662,0.0008225946971718517,7,true,true,
12476469,1.937195132691237,0.8394242850914175,0.002744250440688479,11,true,true,
12476471,1.7950002914253556,1.0875368710203746,0.0007276648566865026,7,true,true,
12476472,1.148674449406381,1.2145341362452002,0.0005149683914800139,7,true,true,
12476473,1.1050622920614976,1.2170565826103208,0.000491179804701297,9,true,true,
12476475,1.4776065228180904,1.2856222941852713,0.00039794041749611337,9,true,true,
12476476,1.2070048517947511,1.2493655234533467,0.0002548975823266665,9,true,true,
12476477,1.310415326043749,1.4268898749813812,0.00047056379300430677,9,true,true,
12476479,1.4880875114599497,1.1884938580672402,0.0016258381089073479,7,true,true,
12476480,1.030681869298831,1.2192521500142057,0.0013721508902443905,9,true,true,
12476481,1.0308638000686123,1.0570375685184659,0.001401422307471687,11,true,true,
12476482,0.976652579841063,1.639909372225961,0.0003210510437256039,9,true,true,
12476483,1.2032241327089992,1.4165117543460197,0.0016227374155087999,13,true,true,
12476484,1.458298089814185,1.246041980650389,0.0009587977914088747,11,true,true,
12476485,1.7442901033258502,1.0941662149336533,0.004232941221243707,9,true,true,
12476486,1.3602865976327796,1.2766278387339547,0.00047281187966272066,7,true,true,
12476488,1.7479710093387337,0.7568471104833601,0.00022193784207890556,7,true,true,
12476490,1.1509603968792361,1.2842617175828575,0.0002698417543795662,7,true,true,
12476491,1.322539512605506,1.0832452328487407,0.0017690937594767964,11,true,true,
12476492,1.4098009068772956,1.3423402713739963,0.0015713135180667778,11,true,true,
12476493,0.98205761296118,1.6326321935981394,0.001233597612649146,7,true,true,
12476494,1.4943034649527707,1.1976964276705202,0.0005777922829536045,9,true,true,
12476496,1.1654299263543795,1.6736245263466518,0.0006323442376003373,11,true,true,
12476497,1.789625937170905,1.0008204862220764,0.00046041101354324414,7,true,true,
12476498,1.3212886247033186,1.1541182783933621,0.001732675411118955,7,true,true,
12476499,1.6410260887228603,0.9827344722077602,0.0003799774872304406,5,true,true,
12476500,1.5447153520355532,1.2112618557879695,0.0009707881013279143,11,true,true,
12476501,1.3004363605062974,1.4145266424714718,0.001304226631928501,7,true,true,
12476502,1.4632731548991147,1.2255468135358265,0.0016252833414657816,7,true,true,
12476505,1.344194320564498,1.0721223367434958,0.0015340194910448762,9,true,true,
12476506,1.8478096772302839,0.8916458911661428,0.0006037349239807182,7,true,true,
12476507,1.208202850401308,1.3757578215127295,0.0004093403029077667,7,true,true,
12476508,1.3530088938244897,1.2975281054243413,0.00022205581089334572,7,true,true,
12476509,1.6810588475325823,1.0721231789934471,0.0023580915079399857,9,true,true,
12476511,1.3374739133328566,1.4444071820697926,0.0005192851140504884,9,true,true,
12476513,1.0577033814454473,1.360603857200154,0.0009420311097719435,9,true,true,
12476514,1.5328336441051291,0.9979945006091914,0.0008517840946922989,5,true,true,
12476515,1.1479982836156994,1.4993419895827742,0.0003242131231478097,5,true,true,
12476516,1.6623513303662114,1.0109867922629086,0.0003461248565495886,7,true,true,
12476517,1.579856162867697,1.1266429690727455,0.001486184282019855,7,true,true,
12476520,1.3318501946774945,1.2298935838455989,0.0004628032149069894,5,true,true,
12476521,1.253099864565695,1.5178386745855057,0.0017257002769439376,7,true,true,
12476522,1.4302587626573446,1.2809625978003467,0.00023434826394940153,7,true,true,
12476523,1.964650970340609,0.8456967026804011,0.0002940923074001636,7,true,true,
12476524,1.5671183184608386,0.8631568755679225,0.0006937207490483684,5,true,true,
12476525,NaN,NaN,NaN,2,false,false,too few quoted selections (2 < 3)
12476529,1.826145501342131,0.9655288947836079,0.0028097473022781236,9,true,true,
12476531,1.8317089240546667,1.0481381045174902,0.00039483797816828643,7,true,true,
12476533,1.5399698457149271,1.0469156581016275,0.0011554081803570079,7,true,true,
12476538,1.1859453081575433,1.480894964749529,0.0002336976387914666,9,true,true,
12476539,1.2479100844835747,1.3310566247168008,0.0006180721656460628,9,true,true,
12476541,1.6246839292758575,1.130745739591372,0.0011883006958681142,9,true,true,
12476544,1.0717198804762558,1.5605413140306368,0.0009470756374561574,13,true,true,
12476545,1.620257165692697,1.2205536556333105,0.0005200781125885391,13,true,true,
12476546,1.5319915147586773,0.9281550746270852,0.0012448027333388503,13,true,true,
12476548,1.3694177764714501,1.2422222595890955,0.0009277787645084548,7,true,true,
12476549,1.3749622057372508,1.542679722524513,0.0008194142802870009,13,true,true,
12476550,1.4082123679363054,1.2344184292161342,0.0007781066125912024,7,true,true,
12476551,1.278840542508799,1.484912157460037,8.75590424443426e-5,7,true,true,
12476552,1.349052001260358,1.360332695628524,0.00020236924717967588,11,true,true,
12476553,1.5611940477860087,1.0859691160137606,0.0007359904873755819,11,true,true,
12476554,1.489540298289662,1.254837178539048,0.0012724172751562013,5,true,true,
12476555,1.684434397037113,0.9557635100978591,0.000826799505899277,11,true,true,
12476556,1.4800750983548803,1.2530566444518063,0.00018012812410809928,5,true,true,
12476560,1.2292061171671718,1.2107652664845452,0.0030752240956000067,5,true,true,
12476561,1.632911260097148,1.0678194727892254,0.000813094831101824,9,true,true,
12476562,1.755711256186181,1.0057931394162405,0.00043833467312710567,7,true,true,
12476563,1.6395186978832654,1.022768313984118,3.8127432647208786e-5,4,true,true,
12476564,1.2590648124080528,1.381945503591375,0.001994855065213778,9,true,true,
12476565,1.3788431159382566,0.8311509210321253,2.0252490373584734e-10,3,true,true,
12476567,1.1630695565823426,1.4590294609123307,7.608588556882089e-8,5,true,true,
12476574,1.1176848126246748,1.347381702627105,0.001057545644375121,5,true,true,
12476575,2.0678260645558253,0.9048672711473473,0.0007115133935678137,13,true,true,
12476580,1.342753895468273,1.0749622170773283,0.0032746711699573614,11,true,true,
12476581,1.3928534832174988,1.2095147019468382,0.00013378932298993213,7,true,true,
12476582,1.752317990432168,0.7634627671451324,0.000363393809266722,5,true,true,
12476583,1.0313483534078633,1.8572174834625939,0.000494763747227298,13,true,true,
12476584,2.116439679532291,0.7740125090456498,0.0003122064240492516,9,true,true,
12476585,1.4245953631162938,1.0749935149020093,0.0004760847788398947,5,true,true,
12476586,0.8649523139637093,1.1592717993073325,1.3301029166247468e-9,3,true,true,
12476588,1.370067436987637,0.8119081290072325,9.992369283705701e-9,3,true,true,
12476589,0.984935815493956,1.5264279021246518,1.4823550799548377e-7,5,true,true,
12476590,1.692103221544746,1.015341421138972,0.0015388005596997508,9,true,true,
12476591,1.2013984005548008,0.9802608312372606,3.7385348535831704e-9,3,true,true,
12476593,1.0686901640042126,1.508393003292418,0.00044942978421534,7,true,true,
12476594,1.258154667090157,1.5197760373400413,0.0003464866321847243,9,true,true,
12476595,0.8982870209855588,1.208616301208079,6.77091311026753e-9,3,true,true,
12476596,1.9885419462068894,0.9942739230348265,0.0005603294652611193,11,true,true,
12476597,1.2263802742122485,1.5061507784121746,0.0001628734908148833,7,true,true,
12476598,1.2085868380986111,1.2133841686778017,0.0009651589852491091,5,true,true,
12476599,1.5707515459512833,1.0153154360094192,0.0007384786807031852,9,true,true,
12476600,1.7503269727994921,1.0184814987872592,2.3067969084819323e-5,7,true,true,
12476603,1.5685078573945783,1.1315107692351292,0.0007420198944870914,5,true,true,
12476604,1.5421959975094013,1.0412220352144779,0.0009537412310288515,7,true,true,
12476605,1.389807459521207,1.0977641089147536,0.0007217360898190816,5,true,true,
12476606,1.2694622008458332,1.104290302971104,4.8084157969215226e-9,3,true,true,
