environment,variant,pair,model_a,model_b,n_a,n_b,n_shared,n_only_a,n_only_b,declined_by_a_pct,only_b_roi_pct,only_b_win_rate_pct,only_b_pnl,only_a_roi_pct,only_a_win_rate_pct,only_a_pnl,shared_p_model_a,shared_p_model_b,shared_roi_a_pct,shared_roi_b_pct
close,raw,m00_baseline_grw_negbin vs m00_poisson,m00_baseline_grw_negbin,m00_poisson,1300,1296,1258,42,38,2.932098765432099,5.944221025883881,65.78947368421053,0.0047742161164451066,1.0871159241879145,42.857142857142854,0.00061733035561458,0.37690557936182606,0.37611783915081426,12.088177622958106,12.344031046923092
close,raw,m05_wealth_grw_negbin vs m05_poisson,m05_wealth_grw_negbin,m05_poisson,1235,1247,1188,47,59,4.731355252606255,2.5545986744083073,42.3728813559322,0.0024987094992499235,-9.881795727012529,36.17021276595745,-0.005243553199336368,0.3790369560506278,0.3782724297233791,11.707846482985566,11.73008139994211
close,raw,m10_lineup_grw_negbin vs m10_poisson,m10_lineup_grw_negbin,m10_poisson,1301,1299,1255,46,44,3.3872209391839876,15.589617529533328,61.36363636363637,0.011395383509565584,26.97719467172023,52.17391304347826,0.01814927922031782,0.37244934178220573,0.3718267750963475,10.963386704423899,10.72970882432251
close,raw,m12_joint_hybrid_synergy_negbin vs m12_poisson,m12_joint_hybrid_synergy_negbin,m12_poisson,1244,1253,1209,35,44,3.5115722266560256,3.1797400377944984,45.45454545454545,0.002076023544393827,-0.7514859411333316,40.0,-0.0004399390382715453,0.3755720174898291,0.37483686336582445,10.53976440204773,11.39679572812157
close,close_std,m00_baseline_grw_negbin vs m00_poisson,m00_baseline_grw_negbin,m00_poisson,1295,1292,1246,49,46,3.5603715170278636,5.996478296987896,63.04347826086957,0.005467115163249553,-4.658557861932244,42.857142857142854,-0.0032728266363136025,0.37286248605891875,0.3719329266234258,11.512011215259532,11.653552361692325
close,close_std,m05_wealth_grw_negbin vs m05_poisson,m05_wealth_grw_negbin,m05_poisson,1227,1233,1180,47,53,4.29845904298459,-11.567728229406693,43.39622641509434,-0.011932441545662394,-9.577409572741097,31.914893617021278,-0.005739726412992879,0.3751132023468766,0.37424463924795964,11.31395228499072,11.416634916708063
close,close_std,m10_lineup_grw_negbin vs m10_poisson,m10_lineup_grw_negbin,m10_poisson,1291,1287,1242,49,45,3.4965034965034967,13.641575736400027,57.77777777777777,0.011660104081013716,29.25629607535159,51.02040816326531,0.023664765866240015,0.36876724285295703,0.3679993353088809,10.780497238860068,10.424495895045588
close,close_std,m12_joint_hybrid_synergy_negbin vs m12_poisson,m12_joint_hybrid_synergy_negbin,m12_poisson,1243,1243,1202,41,41,3.29847144006436,-0.609166931319547,48.78048780487805,-0.00040403508304529684,10.95769729429322,43.90243902439025,0.0059437706441701176,0.37298425003322855,0.37211925546118507,10.265600544052939,11.103338867754703
close,close_std_t007,m00_baseline_grw_negbin vs m00_poisson,m00_baseline_grw_negbin,m00_poisson,1293,1290,1244,49,46,3.565891472868217,6.90436487583656,58.69565217391305,0.0059846023823471465,7.093041265772392,46.93877551020408,0.005165923053572873,0.37008800253185,0.3690392072654312,10.48890325794453,10.56531353629742
close,close_std_t007,m05_wealth_grw_negbin vs m05_poisson,m05_wealth_grw_negbin,m05_poisson,1228,1234,1180,48,54,4.376012965964343,-14.282858687454361,40.74074074074074,-0.014311984831819948,-8.546138131068911,33.33333333333333,-0.00561520094445492,0.3739152727469221,0.3730201956513233,11.038443504596001,11.039484669620919
close,close_std_t007,m10_lineup_grw_negbin vs m10_poisson,m10_lineup_grw_negbin,m10_poisson,1297,1290,1244,53,46,3.565891472868217,13.511180061499605,58.69565217391305,0.011937033571294137,24.76930454317971,49.056603773584904,0.020742542597859823,0.366289548052878,0.36538492772224873,10.487525207945549,9.952035863772672
close,close_std_t007,m12_joint_hybrid_synergy_negbin vs m12_poisson,m12_joint_hybrid_synergy_negbin,m12_poisson,1244,1246,1203,41,43,3.451043338683788,0.5207738596082382,48.837209302325576,0.0003382346576866961,10.31239931108902,46.34146341463415,0.006118080141584923,0.3707959936015652,0.3698935172343294,9.964251370184124,10.705402893815897
t25,raw,m00_baseline_grw_negbin vs m00_poisson,m00_baseline_grw_negbin,m00_poisson,1149,1155,1116,33,39,3.3766233766233764,-13.124628071359892,41.02564102564102,-0.011011879145523177,53.30520119354856,45.45454545454545,0.029070633423095734,0.3738587705173675,0.37316168048537895,12.055852838990418,12.658868065906614
t25,raw,m05_wealth_grw_negbin vs m05_poisson,m05_wealth_grw_negbin,m05_poisson,1122,1124,1081,41,43,3.8256227758007118,-11.927390753674239,41.86046511627907,-0.007901977362280013,12.579298275498216,43.90243902439025,0.006396852995001791,0.37865796504703025,0.3779649500119265,14.041213581636649,14.262799519138175
t25,raw,m10_lineup_grw_negbin vs m10_poisson,m10_lineup_grw_negbin,m10_poisson,1153,1143,1113,40,30,2.6246719160104988,1.3073308592467658,53.333333333333336,0.0008514558927862882,-10.664405296752106,35.0,-0.005976278195504932,0.37291608121746417,0.3723605451627957,12.610919371532699,12.39935841203942
t25,raw,m12_joint_hybrid_synergy_negbin vs m12_poisson,m12_joint_hybrid_synergy_negbin,m12_poisson,1119,1118,1084,35,34,3.041144901610018,-28.847766536800723,41.17647058823529,-0.01567029807055641,5.0609452690373775,37.142857142857146,0.0023813191389824313,0.37598448746146573,0.37540624720994725,15.68060683807818,16.278272668959815
t25,t25_inv,m00_baseline_grw_negbin vs m00_poisson,m00_baseline_grw_negbin,m00_poisson,1063,1027,993,70,34,3.3106134371957157,-2.409935825559296,52.94117647058824,-0.0019216889089060233,-5.027452925811906,35.714285714285715,-0.004548483768581318,0.3580065871126435,0.3564848230347151,16.82908027649211,17.95174090340134
t25,t25_inv,m05_wealth_grw_negbin vs m05_poisson,m05_wealth_grw_negbin,m05_poisson,998,969,929,69,40,4.12796697626419,29.644887999525036,67.5,0.02208389572301728,25.350018356899636,43.47826086956522,0.02003883421303264,0.36201672807371005,0.36039988495650327,16.61639927552523,17.27141607122797
