environment,variant,pair,n_shared,n_only_a,n_only_b,overlap_pct,stake_mean_a,stake_mean_b,n_a_larger,roi_when_a_larger_pct,roi_when_b_larger_pct,sizing_delta_pnl,shared_roi_a_pct,shared_roi_b_pct,capture_ratio_a,capture_ratio_b
close,raw,m00_baseline_grw_negbin vs m00_poisson,1258,42,38,94.02092675635276,0.01461251903526473,0.014551676148130965,665,8.543302802147783,14.475433225205721,-0.0375842160752434,12.088177622958106,12.344031046923092,1.0173914126006665,1.0361968671880641
close,raw,m05_wealth_grw_negbin vs m05_poisson,1188,47,59,91.80834621329211,0.014042388609200962,0.013918013669161547,678,3.829106246604104,2.629569008036762,0.013622758294996012,11.707846482985566,11.73008139994211,1.0408115153820137,1.079948560365559
close,raw,m10_lineup_grw_negbin vs m10_poisson,1255,46,44,93.3085501858736,0.01452478023797044,0.014491955874971247,637,8.936450485510676,2.637034692069583,0.047016262189022405,10.963386704423899,10.72970882432251,0.9239645578650063,0.9566491472243781
close,raw,m12_joint_hybrid_synergy_negbin vs m12_poisson,1209,35,44,93.86645962732919,0.013991420883268393,0.013860811580986001,686,-6.169067537557288,12.343618841774093,-0.1269759317202213,10.53976440204773,11.39679572812157,1.0072462167325804,1.0432274804517943
close,close_std,m00_baseline_grw_negbin vs m00_poisson,1246,49,46,92.91573452647278,0.01436248052361652,0.014263130266931661,672,7.312620149076656,10.084177905445221,-0.010903727814714909,11.512011215259532,11.653552361692325,1.0149424465615609,1.0286270566890243
close,close_std,m05_wealth_grw_negbin vs m05_poisson,1180,47,53,92.1875,0.013455628626201475,0.013317755592419484,687,3.7459591802500842,4.334698416690514,0.002270163447020704,11.31395228499072,11.416634916708063,1.030440750871338,1.0582478154096
close,close_std,m10_lineup_grw_negbin vs m10_poisson,1242,49,45,92.96407185628742,0.01430934001727195,0.014223401312300066,651,8.704481954758792,-1.1472223662740233,0.07439594844945505,10.780497238860068,10.424495895045588,0.9283276274957408,0.9582946188257071
close,close_std,m12_joint_hybrid_synergy_negbin vs m12_poisson,1202,41,41,93.61370716510903,0.013456712994273149,0.013302619691525791,702,-6.955332022653026,9.488803304172816,-0.11493829342500594,10.265600544052939,11.103338867754703,0.9898583079241068,1.0392396163234001
close,close_std_t007,m00_baseline_grw_negbin vs m00_poisson,1244,49,46,92.90515309932786,0.014144304349592202,0.014015311064987629,689,6.5514346639311265,7.545256293402949,0.0035091282374903887,10.48890325794453,10.56531353629742,1.004951303297079,1.0368329856098817
close,close_std_t007,m05_wealth_grw_negbin vs m05_poisson,1180,48,54,92.04368174726989,0.013281733592752904,0.013141506356085814,686,4.790992573573599,3.2433371002421594,0.018103653844959676,11.038443504596001,11.039484669620919,1.035521380253227,1.0732897574563944
close,close_std_t007,m10_lineup_grw_negbin vs m10_poisson,1244,53,46,92.62844378257633,0.01410446028466156,0.01400484089648855,651,9.742213217870852,-4.571464637058873,0.10628989665993899,10.487525207945549,9.952035863772672,0.9193692609712052,0.9607924328909844
close,close_std_t007,m12_joint_hybrid_synergy_negbin vs m12_poisson,1203,41,43,93.47319347319348,0.01325624593590545,0.013092762446768835,707,-6.162861080644739,7.580111004272456,-0.09713900497173511,9.964251370184124,10.705402893815897,1.0028302042781725,1.054362524443909
t25,raw,m00_baseline_grw_negbin vs m00_poisson,1116,33,39,93.93939393939394,0.015562248566085802,0.015492624489476619,619,7.784356662320774,23.479511938374888,-0.09489248509044448,12.055852838990418,12.658868065906614,0.9811205503938285,1.0224622048522156
t25,raw,m05_wealth_grw_negbin vs m05_poisson,1081,41,43,92.78969957081546,0.014583759471014045,0.014478915599408771,626,7.00252540822556,11.407914896731274,-0.018768201935115258,14.041213581636649,14.262799519138175,1.0658020985671133,1.1104673183674394
t25,raw,m10_lineup_grw_negbin vs m10_poisson,1113,40,30,94.0828402366864,0.015632767229466212,0.015543212745505512,583,15.705556695158444,10.195017867417915,0.049169016344207464,12.610919371532699,12.39935841203942,0.9441106260696661,0.9473368038879071
t25,raw,m12_joint_hybrid_synergy_negbin vs m12_poisson,1084,35,34,94.01561144839549,0.014665856035963178,0.014603069913083383,617,0.6562846824182699,14.463298945821613,-0.08393662843302094,15.68060683807818,16.278272668959815,1.0761842651631652,1.1220178855154472
t25,t25_inv,m00_baseline_grw_negbin vs m00_poisson,993,70,34,90.51959890610756,0.010298542796403446,0.009782266457501437,694,10.394489420406243,32.27778923777114,-0.02277653475445639,16.82908027649211,17.95174090340134,0.9985861255053258,1.0134440384141574
t25,t25_inv,m05_wealth_grw_negbin vs m05_poisson,929,69,40,89.4990366088632,0.008938860762866553,0.008362810089944618,702,7.68971019994941,8.821794498059253,0.03803425324982348,16.61639927552523,17.27141607122797,1.034646830667925,1.0671531360121367
t25,t25_inv,m10_lineup_grw_negbin vs m10_poisson,1009,62,37,91.06498194945848,0.01006228140057324,0.009530101025686041,711,10.684203873067199,29.279445288603675,-0.005242372257970138,15.637366227592425,16.565106717712997,0.9281766364584157,0.9486631048497939
t25,t25_inv,m12_joint_hybrid_synergy_negbin vs m12_poisson,943,68,41,89.63878326996198,0.009138358784544035,0.008569917017691785,720,8.172117482996793,20.193219136510024,0.01343816086203728,17.824541131532822,18.84055681365539,0.9787361089777615,1.0125786032424924
