environment,variant,model,likelihood,pair,bet_set,owner,n_bets,n_wins,win_rate_pct,cap_weighted_win_rate_pct,roi_pct,stake_sum,pnl_sum,stake_mean,odds_mean,edge_mean_pp,edge_win_pp,edge_loss_pp,capture_ratio
close,close_std,m00_baseline_grw_negbin,NegBin,m00_baseline_grw_negbin cal[close_std] vs raw vs raw,shared,m00_baseline_grw_negbin cal[close_std] vs raw,1284,438,34.112149532710276,35.50902561358245,11.449923677593278,17.961159082495335,2.0565390065568288,0.013988441653033751,3.5753895648030722,4.410193765213428,4.460799995568312,4.3839933764481325,1.0175197844806982
close,close_std,m00_baseline_grw_negbin,NegBin,m00_baseline_grw_negbin cal[close_std] vs raw vs raw,shared,raw,1284,438,34.112149532710276,35.558117705649146,12.087492382017434,18.426982370592626,2.227360090281079,0.014351232375850955,3.5753895648030722,4.812457586921122,4.868506508915495,4.7834393507112685,1.0177836807299703
close,close_std,m00_baseline_grw_negbin,NegBin,m00_baseline_grw_negbin cal[close_std] vs raw vs raw,exclusive,m00_baseline_grw_negbin cal[close_std] vs raw,11,5,45.45454545454545,29.99253141644959,7.111375434487991,0.004745722828762792,0.00033748616743352577,0.0004314293480693447,3.017267592338358,-0.049159934589272015,0.4100179681502114,-0.43180818687217487,NaN
close,close_std,m00_baseline_grw_negbin,NegBin,m00_baseline_grw_negbin cal[close_std] vs raw vs raw,exclusive,raw,16,6,37.5,24.71375853911521,-37.4623672642548,0.012352640796149955,-0.004627591661887864,0.0007720400497593722,3.017008254867699,-0.013093557148266544,0.32996681900903985,-0.21892978284265033,NaN
close,close_std_t007,m00_baseline_grw_negbin,NegBin,m00_baseline_grw_negbin cal[close_std_t007] vs raw vs raw,shared,m00_baseline_grw_negbin cal[close_std_t007] vs raw,1282,438,34.16536661466459,35.470963077248705,10.447411543071484,17.660753879560264,1.8450916394066237,0.013775939063619552,3.576820080549151,4.164003588182265,4.195772810916331,4.147516716668613,1.011634936648665
close,close_std_t007,m00_baseline_grw_negbin,NegBin,m00_baseline_grw_negbin cal[close_std_t007] vs raw vs raw,shared,raw,1282,438,34.16536661466459,35.56122280110303,12.097280368150818,18.425373383761446,2.2289690771122594,0.014372366133979287,3.576820080549151,4.82014649199999,4.868506508915495,4.795049705970379,1.015319299579659
close,close_std_t007,m00_baseline_grw_negbin,NegBin,m00_baseline_grw_negbin cal[close_std_t007] vs raw vs raw,exclusive,m00_baseline_grw_negbin cal[close_std_t007] vs raw,11,6,54.54545454545454,57.94138621600173,74.43482701827418,0.007591592736009149,0.005650788920980278,0.0006901447941826499,3.0128043336403234,0.15624681073479726,0.31368125022288396,-0.032674516650906815,NaN
close,close_std_t007,m00_baseline_grw_negbin,NegBin,m00_baseline_grw_negbin cal[close_std_t007] vs raw vs raw,exclusive,raw,18,6,33.33333333333333,21.86565851096642,-44.66942293217879,0.013961627627330083,-0.006236578493067994,0.0007756459792961157,2.977166112278768,-0.02454211397991093,0.32996681900903985,-0.2017965804743863,NaN
close,close_std,m05_wealth_grw_negbin,Joint Gamma-NegBin,m05_wealth_grw_negbin cal[close_std] vs raw vs raw,shared,m05_wealth_grw_negbin cal[close_std] vs raw,1222,427,34.94271685761047,36.98633819372637,11.230849698213435,15.934681021914512,1.7896000754609593,0.013039837170142808,3.5509914242470564,3.940979804468973,4.025427866110095,3.8956221663296526,1.0333209162075239
close,close_std,m05_wealth_grw_negbin,Joint Gamma-NegBin,m05_wealth_grw_negbin cal[close_std] vs raw vs raw,shared,raw,1222,427,34.94271685761047,36.99900887383748,11.652732754734046,16.727326459191076,1.9491906493014535,0.013688483190827395,3.5509914242470564,4.2630622142874035,4.358986622511866,4.211540551002063,1.035010008742459
