environment,variant,model,likelihood,selection_family,n_bets,win_rate_pct,roi_pct,stake_sum,pnl_sum,edge_mean_pp,p_model_mean,p_market_mean,capture_ratio
close,raw,m00_baseline_grw_negbin,NegBin,1X2_away,400,26.0,17.849552119538448,5.660283512056301,1.0103352555981309,6.392262096595186,0.3278070337066493,0.2638844127406974,0.9596921511343011
close,raw,m00_baseline_grw_negbin,NegBin,1X2_draw,300,24.0,7.919001059037095,1.954639047392717,0.15478788686338185,0.5028665743615524,0.2519004052192546,0.24687173947563926,2.4607257247613044
close,raw,m00_baseline_grw_negbin,NegBin,1X2_home,336,38.98809523809524,11.140125042469649,6.9452608747779605,0.7737107459759862,6.272504360232942,0.4087621141703148,0.3460370705679853,0.7784381351720381
close,raw,m00_baseline_grw_negbin,NegBin,O/U 1.5_over_15,33,69.6969696969697,-0.04804590622760336,0.3605271767034178,-0.00017321854924394996,3.375311171460705,0.7955113699861589,0.761758258271552,1.4393778450297363
close,raw,m00_baseline_grw_negbin,NegBin,O/U 2.5_under_25,231,49.35064935064935,8.073377445286049,3.5186244004583758,0.284071828730938,5.421101731815308,0.517027707111383,0.4628166897932302,1.0659480178781457
close,close_std,m00_baseline_grw_negbin,NegBin,1X2_away,405,26.41975308641975,15.46557573275218,5.534741080369188,0.855979573396243,5.780789692086446,0.3220542486122693,0.26424635169140526,0.9408478043129606
close,close_std,m00_baseline_grw_negbin,NegBin,1X2_draw,290,23.448275862068964,9.198226861467159,1.8394025225676538,0.16919241692132247,0.5037083649998801,0.2512846053241809,0.24624752167418223,2.344746846600248
close,close_std,m00_baseline_grw_negbin,NegBin,1X2_home,337,39.16913946587537,10.956541894398155,6.7785061577222585,0.7426898669851979,5.7229701043288355,0.40357096680139437,0.34634126575810564,0.774337545368467
close,close_std,m00_baseline_grw_negbin,NegBin,O/U 1.5_over_15,31,70.96774193548387,-1.0844070114631308,0.344157594888133,-0.0037320690894497924,2.977545298055979,0.7920041555016203,0.7622287025210607,1.5692062160696614
close,close_std,m00_baseline_grw_negbin,NegBin,O/U 2.5_under_25,232,49.137931034482754,8.438699366308635,3.469097449776873,0.29274670451095,4.973741184094955,0.510821275515275,0.46108386367432597,1.0782292960400226
close,close_std_t007,m00_baseline_grw_negbin,NegBin,1X2_away,404,26.48514851485149,12.634197668268587,5.473501541174992,0.691533004087776,5.547600246253929,0.3194705339368017,0.2639945314742627,0.939883004542134
close,close_std_t007,m00_baseline_grw_negbin,NegBin,1X2_draw,289,23.52941176470588,8.082393628304652,1.7615362698290629,0.14237429523293962,0.3864832496313588,0.25010948443528397,0.2462446519389705,2.1629623207192634
close,close_std_t007,m00_baseline_grw_negbin,NegBin,1X2_home,337,39.16913946587537,10.944466597738373,6.711954113150394,0.7345875759692717,5.475340436523949,0.40109467012334515,0.34634126575810564,0.7839807301668837
close,close_std_t007,m00_baseline_grw_negbin,NegBin,O/U 1.5_over_15,30,73.33333333333333,-1.754766713906591,0.3389632073690704,-0.00594801353530262,2.855209725629414,0.7899461004699886,0.7613940032136947,1.7899918730669677
close,close_std_t007,m00_baseline_grw_negbin,NegBin,O/U 2.5_under_25,233,49.35622317596567,8.52047036378058,3.3823903407727496,0.2881955665729191,4.533052092104044,0.5060209421105232,0.4606904211894829,1.0647973183294965
close,raw,m05_wealth_grw_negbin,Joint Gamma-NegBin,1X2_away,420,27.380952380952383,8.29351424369276,5.745290470955252,0.47648648355019674,5.426172521875461,0.32726574962401506,0.27300402440526067,0.8749999231826351
close,raw,m05_wealth_grw_negbin,Joint Gamma-NegBin,1X2_draw,244,24.59016393442623,4.7189569316638345,1.4732107309102973,0.06952017990430692,0.6052925689682292,0.2479842916756336,0.24193136598595136,1.1082549911741637
close,raw,m05_wealth_grw_negbin,Joint Gamma-NegBin,1X2_home,315,39.04761904761905,19.57102080549549,5.604862085943446,1.0969287249593203,4.835866592212337,0.39566608372869194,0.3473074178065687,0.9128815987554897
close,raw,m05_wealth_grw_negbin,Joint Gamma-NegBin,O/U 1.5_over_15,46,71.73913043478261,0.6318072539308471,0.5262487070689331,0.0033248775049788144,3.297820324944363,0.7897899476084926,0.7568117443590493,1.5353448767692914
close,raw,m05_wealth_grw_negbin,Joint Gamma-NegBin,O/U 2.5_under_25,210,47.61904761904761,8.908980311819288,3.38580842930104,0.3016410063623476,5.262252205398269,0.5166858913214604,0.4640633692674776,1.2031881572153185
close,close_std,m05_wealth_grw_negbin,Joint Gamma-NegBin,1X2_away,423,27.423167848699766,7.302250665497862,5.478580941302441,0.4000597132460965,4.997269560025191,0.32380608534854005,0.27383338974828814,0.8716163559433503
close,close_std,m05_wealth_grw_negbin,Joint Gamma-NegBin,1X2_draw,236,25.0,4.843738296979763,1.3320071389013524,0.06451893990546922,0.5439458330669649,0.24640971029331232,0.2409702519626426,0.9331435935809134
close,close_std,m05_wealth_grw_negbin,Joint Gamma-NegBin,1X2_home,316,38.924050632911396,19.64400557509345,5.384133774076563,1.0576595387500893,4.489358798197202,0.3923474175308257,0.3474538295488536,0.9243089981157052
