model,likelihood,selection_family,n_bets,win_rate_pct,roi_pct,stake_sum,pnl_sum,edge_mean_pp,capture_ratio
m00_baseline_grw_negbin,NegBin,1X2_away,400,26.0,17.849552119538448,5.660283512056301,1.0103352555981309,6.392262096595186,0.9596921511343011
m00_baseline_grw_negbin,NegBin,1X2_draw,300,24.0,7.919001059037095,1.954639047392717,0.15478788686338185,0.5028665743615524,2.4607257247613044
m00_baseline_grw_negbin,NegBin,1X2_home,336,38.98809523809524,11.140125042469649,6.9452608747779605,0.7737107459759862,6.272504360232942,0.7784381351720381
m00_baseline_grw_negbin,NegBin,O/U 1.5_over_15,33,69.6969696969697,-0.04804590622760336,0.3605271767034178,-0.00017321854924394996,3.375311171460705,1.4393778450297363
m00_baseline_grw_negbin,NegBin,O/U 2.5_under_25,231,49.35064935064935,8.073377445286049,3.5186244004583758,0.284071828730938,5.421101731815308,1.0659480178781457
m05_wealth_grw_negbin,Joint Gamma-NegBin,1X2_away,420,27.380952380952383,8.29351424369276,5.745290470955252,0.47648648355019674,5.426172521875461,0.8749999231826351
m05_wealth_grw_negbin,Joint Gamma-NegBin,1X2_draw,244,24.59016393442623,4.7189569316638345,1.4732107309102973,0.06952017990430692,0.6052925689682292,1.1082549911741637
m05_wealth_grw_negbin,Joint Gamma-NegBin,1X2_home,315,39.04761904761905,19.57102080549549,5.604862085943446,1.0969287249593203,4.835866592212337,0.9128815987554897
m05_wealth_grw_negbin,Joint Gamma-NegBin,O/U 1.5_over_15,46,71.73913043478261,0.6318072539308471,0.5262487070689331,0.0033248775049788144,3.297820324944363,1.5353448767692914
m05_wealth_grw_negbin,Joint Gamma-NegBin,O/U 2.5_under_25,210,47.61904761904761,8.908980311819288,3.38580842930104,0.3016410063623476,5.262252205398269,1.2031881572153185
m10_lineup_grw_negbin,NegBin,1X2_away,390,26.410256410256412,14.040386118277915,5.740390408657817,0.8059729780721491,6.864332643001481,0.886529170310347
m10_lineup_grw_negbin,NegBin,1X2_draw,315,25.71428571428571,5.297394939991173,2.0492634857688588,0.10855758020220625,0.46032716878300994,1.6123501937890308
m10_lineup_grw_negbin,NegBin,1X2_home,330,39.696969696969695,12.337230190005302,7.001999539077534,0.8638528010391056,6.790038069956483,0.7445053275177367
m10_lineup_grw_negbin,NegBin,O/U 1.5_over_15,27,66.66666666666666,-2.288262823250078,0.2871447318306617,-0.006570626147402165,2.928261419560212,1.9796089378795945
m10_lineup_grw_negbin,NegBin,O/U 2.5_under_25,239,49.37238493723849,7.609651114044087,3.2170774104253286,0.2448083670020917,5.00085350031304,0.9880080552575071
m12_joint_hybrid_synergy_negbin,Joint Gamma-NegBin,1X2_away,421,27.315914489311165,9.295844935020224,5.958539845023876,0.5538966243848139,5.771782314914658,0.833133548201294
m12_joint_hybrid_synergy_negbin,Joint Gamma-NegBin,1X2_draw,260,23.846153846153847,1.4841474179011305,1.6288140344452182,0.024174001434629937,0.6977168292223612,1.1975876134460273
m12_joint_hybrid_synergy_negbin,Joint Gamma-NegBin,1X2_home,308,37.33766233766234,16.86099943382187,5.6848377883185055,0.9585204673020749,5.172757246181379,0.9350647560499513
m12_joint_hybrid_synergy_negbin,Joint Gamma-NegBin,O/U 1.5_over_15,45,71.11111111111111,0.6801242192411682,0.5095423177398294,0.003465520710231367,3.148964116708212,1.429816919268122
m12_joint_hybrid_synergy_negbin,Joint Gamma-NegBin,O/U 2.5_under_25,210,48.095238095238095,7.592031228270706,3.1924364130680343,0.24237076942281036,5.1908381430418675,1.1268506425627547
m00_poisson,Poisson,1X2_away,388,24.484536082474225,18.43560039557445,5.492684534063702,1.0126093716895046,6.388267002687894,1.0785591334245692
m00_poisson,Poisson,1X2_draw,306,24.509803921568626,7.888322492305173,2.083179343739689,0.1643279047272732,0.5932512410129024,2.041108743644551
m00_poisson,Poisson,1X2_home,328,39.02439024390244,11.789915633908826,6.887676562710839,0.8120512558801192,6.469923688322562,0.8095753086176851
m00_poisson,Poisson,O/U 1.5_over_15,50,78.0,3.653765615525684,0.5220173055018537,0.019073288815520395,3.486340295037249,1.0878294017470413
m00_poisson,Poisson,O/U 2.5_under_25,224,50.89285714285714,7.53982029077047,3.4007677829765193,0.25641177934284864,5.510794199706386,0.9973135322567752
m05_poisson,Joint Gamma-Poisson,1X2_away,403,26.550868486352357,7.766783120763535,5.538823136227799,0.4301883804334862,5.4999252252634285,0.9320149648398138
m05_poisson,Joint Gamma-Poisson,1X2_draw,273,24.175824175824175,3.378298092892948,1.5771804744665214,0.053281857890382436,0.5053735058081766,1.3168025883200476
m05_poisson,Joint Gamma-Poisson,1X2_home,310,39.03225806451613,19.991705913709897,5.512101379279113,1.1019630974110273,4.904680225047125,0.953463620344471
m05_poisson,Joint Gamma-Poisson,O/U 1.5_over_15,64,75.0,1.2518908964222746,0.7763476933582647,0.00971902609773643,3.4678269063137384,1.2791719271142654
m05_poisson,Joint Gamma-Poisson,O/U 2.5_under_25,197,49.23857868020304,10.745747769600966,3.227959768731747,0.34686841485210823,5.315324695644345,1.1423474339396027
m10_poisson,Poisson,1X2_away,378,25.396825396825395,14.780847758229886,5.582049478403563,0.825074235191896,6.944944656255038,0.9667473187488993
m10_poisson,Poisson,1X2_draw,326,25.4601226993865,3.916153695401342,2.1955579640015164,0.08598142434192384,0.5502227749232999,1.517864721364993
m10_poisson,Poisson,1X2_home,320,39.375,11.563263862581644,6.95920948248908,0.8047117552100148,6.997062788736853,0.7701660237100603
m10_poisson,Poisson,O/U 1.5_over_15,47,78.72340425531915,1.639597090301344,0.43726705567538277,0.007169417921699933,2.965691395154223,1.1656246278253082
m10_poisson,Poisson,O/U 2.5_under_25,228,49.122807017543856,7.7732250388049,3.0864166212242874,0.23991410960284248,5.089599309407354,1.0441049554918147
m12_poisson,Joint Gamma-Poisson,1X2_away,413,26.876513317191282,10.026257177940316,5.74687397175542,0.5761963641003115,5.704007233596236,0.8777371033890091
m12_poisson,Joint Gamma-Poisson,1X2_draw,282,24.46808510638298,0.5523285849968517,1.7462468557010566,0.00964502054864566,0.6507778340925292,1.2110273002817475
m12_poisson,Joint Gamma-Poisson,1X2_home,301,37.2093023255814,18.118629249119675,5.590252876340111,1.0128771927523132,5.316605176151988,0.9638325707438704
m12_poisson,Joint Gamma-Poisson,O/U 1.5_over_15,60,73.33333333333333,1.2869890196950038,0.7376286360948718,0.009493199552667017,3.31860358640381,1.219636021622594
m12_poisson,Joint Gamma-Poisson,O/U 2.5_under_25,197,48.223350253807105,10.116811975251032,3.002007958104556,0.3037075006035107,5.241831740518615,1.1667333003776539
