model,likelihood,n_panel,n_slates,n_bets,total_return_pct,cagr_pct,growth_per_slate,growth_lo,growth_hi,roi_pct,p_roi_positive,sharpe_ann,calmar,max_drawdown_pct,win_rate_pct,mean_edge_pp,mean_exposure,capture_ratio,cap_weighted_win_rate_pct,run_id
m00_poisson,Poisson,632,100,1296,491.5535600622813,180.26750919103662,0.0177758204288683,-0.0007573409570287178,0.03631445183521342,12.316074774617228,0.9815,1.4124104825286963,12.65170830144174,-38.85274212386526,34.79938271604938,4.777046575654896,0.183863255289926,1.0361968671880641,36.22119724955143,158d2a80-7ea3-4d6c-b3ab-be62bcf1bc11
m00_baseline_grw_negbin,NegBin,632,100,1300,461.367915739266,171.88497520414577,0.017252063258599196,-0.0015756727842493959,0.0359224379458027,12.054298580975704,0.97975,1.3528782325463344,11.895805980342328,-38.78408209596481,34.15384615384615,4.753066188224883,0.18439335011388774,1.0173914126006665,35.550852992829185,0c0da991-7d4c-4f01-90e2-2af157f27aaa
m05_poisson,Joint Gamma-Poisson,632,100,1247,385.77757677304226,150.01743292434026,0.015805806721928422,-0.0003705992042185303,0.03232579811669041,11.676122043521175,0.98375,1.4527253832777605,9.041681782277903,-42.66657310691728,35.20449077786688,4.125058211449413,0.16632412452063444,1.079948560365559,37.86804532599526,b0961bc4-c40c-4dbe-9c05-57df7ae0839e
m05_wealth_grw_negbin,Joint Gamma-NegBin,632,100,1235,384.62074425780474,149.67207415186806,0.01578196428448436,-0.0007044320304766081,0.03263803167176781,11.639392515451034,0.98225,1.4337376018924124,9.052792902207154,-42.48641810463053,34.89878542510122,4.215995563274417,0.16735420424178973,1.0408115153820137,37.001462684672006,019d41d4-9e0e-41eb-bbc1-8984263f0f14
m10_lineup_grw_negbin,NegBin,632,100,1301,370.27703921162515,145.3607584401132,0.015481517801925852,-0.002969339390898651,0.03416651949131635,11.022271614264412,0.96625,1.243168745697241,8.203084516577421,-45.13875706916599,34.66564181398924,4.870924209781558,0.18295875575760198,0.9239645578650063,34.0086127867956,f7fd8385-fa15-4f6a-ae89-e23447907a80
m12_poisson,Joint Gamma-Poisson,632,100,1253,351.8953737016195,139.75408626806916,0.01508280492938411,-0.0019215945073487815,0.03240608056159465,11.36490582654638,0.97475,1.3093331749866932,6.6890506189855365,-52.60767091563557,34.397446129289705,4.286775389287696,0.1682301029799601,1.0432274804517943,36.311063373890065,3a9a4c7e-378b-45d0-a2d2-c8b69b46786b
m10_poisson,Poisson,632,100,1299,348.81554473927656,138.80538847730136,0.015014418038489099,-0.00318105155913835,0.033519544769547674,10.749162824569856,0.965,1.2137447134964798,7.265846192307941,-48.00755968500318,34.94996150885296,4.883324045575303,0.1826050060179383,0.9566491472243781,34.372105229857446,b13c8fb9-ce34-4210-aa3f-9d2ed493c286
m12_joint_hybrid_synergy_negbin,Joint Gamma-NegBin,632,100,1244,297.5198205481109,122.57961782575246,0.013800746098772925,-0.003397646535955277,0.03140971174150608,10.5008217862715,0.96525,1.1961570857269368,5.922936698591873,-50.2318082546524,34.163987138263664,4.370028422259977,0.16974170398595467,1.0072462167325804,35.4022388594238,c3d2aede-ddd5-4590-9c75-5937de4b1bbc
