pair,bet_set,owner,n_bets,n_wins,win_rate_pct,cap_weighted_win_rate_pct,roi_pct,stake_sum,pnl_sum,stake_mean,odds_mean,edge_mean_pp,edge_win_pp,edge_loss_pp,capture_ratio
m00_baseline_grw_negbin vs m00_poisson,shared,m00_baseline_grw_negbin,1258,426,33.86327503974563,35.53733360491413,12.088177622958106,18.38254894636303,2.222115168263577,0.01461251903526473,3.598622847627694,4.978350198346961,5.098495485143532,4.916833501020831,1.0369469464615764
m00_baseline_grw_negbin vs m00_poisson,shared,m00_poisson,1258,426,33.86327503974563,36.06473317755522,12.344031046923092,18.306008594348754,2.25969938433882,0.014551676148130965,3.598622847627694,4.899576177245788,5.084907407385239,4.804683023352274,1.0583231781724178
m00_baseline_grw_negbin vs m00_poisson,exclusive,m00_baseline_grw_negbin,42,18,42.857142857142854,39.92729305714342,1.0871159241879145,0.0567860650257452,0.00061733035561458,0.0013520491672796477,2.6667807373664125,-1.994726305431637,-2.08741249178357,-1.9252116656676883,NaN
m00_baseline_grw_negbin vs m00_poisson,exclusive,m00_poisson,38,25,65.78947368421053,71.88282526573852,5.944221025883881,0.08031693464384933,0.0047742161164451066,0.0021136035432591928,2.1656441171351903,0.7206718703563431,1.5396467214159315,-0.854279766296712,NaN
m05_wealth_grw_negbin vs m05_poisson,shared,m05_wealth_grw_negbin,1188,414,34.84848484848485,37.009524651465846,11.707846482985566,16.68235766773074,1.9531448254804866,0.014042388609200962,3.5723428257054484,4.412228351913827,4.537239790600641,4.345361768430181,1.0441569729739162
m05_wealth_grw_negbin vs m05_poisson,shared,m05_poisson,1188,414,34.84848484848485,37.68185672255372,11.73008139994211,16.534600238963918,1.9395220671854905,0.013918013669161547,3.5723428257054484,4.3357757191889625,4.522456646133552,4.235923130358136,1.067643700548265
m05_wealth_grw_negbin vs m05_poisson,exclusive,m05_wealth_grw_negbin,47,17,36.17021276595745,34.46686737597081,-9.881795727012529,0.05306275644823112,-0.005243553199336368,0.0011289948180474706,2.8351363258084885,-0.7441013070153268,-0.8072437952361518,-0.7083205636901927,NaN
m05_wealth_grw_negbin vs m05_poisson,exclusive,m05_poisson,59,25,42.3728813559322,69.34217344764755,2.5545986744083073,0.09781221309952613,0.0024987094992499235,0.0016578341203309513,2.775339875110141,-0.11786380879778569,1.19382675922968,-1.0823421676415104,NaN
m10_lineup_grw_negbin vs m10_poisson,shared,m10_lineup_grw_negbin,1255,427,34.02390438247012,33.93490130847683,10.963386704423899,18.2285991986529,1.9984718209478336,0.01452478023797044,3.6343899115118146,5.09786363092711,4.979204301904361,5.159056304227491,0.9651385850982566
m10_lineup_grw_negbin vs m10_poisson,shared,m10_poisson,1255,427,34.02390438247012,34.200573898709735,10.72970882432251,18.187404623088916,1.9514555587588114,0.014491955874971247,3.6343899115118146,5.035606962341284,4.949438670587361,5.080043992025976,0.974290513695625
m10_lineup_grw_negbin vs m10_poisson,exclusive,m10_lineup_grw_negbin,46,24,52.17391304347826,53.98080885897727,26.97719467172023,0.06727637710730325,0.01814927922031782,0.001462529937115288,2.7064958683074054,-1.3205752149503716,-1.7257556055051642,-0.8785602434360529,NaN
