pair,n_shared,n_only_a,n_only_b,overlap_pct,stake_mean_a,stake_mean_b,n_a_larger,roi_when_a_larger_pct,roi_when_b_larger_pct,sizing_delta_pnl,shared_roi_a_pct,shared_roi_b_pct,capture_ratio_a,capture_ratio_b
m00_baseline_grw_negbin vs m00_poisson,1258,42,38,94.02092675635276,0.01461251903526473,0.014551676148130965,665,8.543302802147783,14.475433225205721,-0.0375842160752434,12.088177622958106,12.344031046923092,1.0173914126006665,1.0361968671880641
m05_wealth_grw_negbin vs m05_poisson,1188,47,59,91.80834621329211,0.014042388609200962,0.013918013669161547,678,3.829106246604104,2.629569008036762,0.013622758294996012,11.707846482985566,11.73008139994211,1.0408115153820137,1.079948560365559
m10_lineup_grw_negbin vs m10_poisson,1255,46,44,93.3085501858736,0.01452478023797044,0.014491955874971247,637,8.936450485510676,2.637034692069583,0.047016262189022405,10.963386704423899,10.72970882432251,0.9239645578650063,0.9566491472243781
m12_joint_hybrid_synergy_negbin vs m12_poisson,1209,35,44,93.86645962732919,0.013991420883268393,0.013860811580986001,686,-6.169067537557288,12.343618841774093,-0.1269759317202213,10.53976440204773,11.39679572812157,1.0072462167325804,1.0432274804517943
m12_joint_hybrid_synergy_negbin vs m05_wealth_grw_negbin,1132,112,103,84.03860430586488,0.01470598279088452,0.014439255045992102,611,3.901529423475404,8.42909342629344,-0.08505689108419351,11.06334756622392,11.788091422494919,1.0072462167325804,1.0408115153820137
m10_lineup_grw_negbin vs m00_baseline_grw_negbin,1194,107,106,84.86140724946695,0.01505421109748312,0.015109297767142883,594,1.1538050611950912,18.9955641462936,-0.4336783148168606,10.606609216456768,12.971853761585963,0.9239645578650063,1.0173914126006665
