order_id,at,archive_ts,market_id,symbol,level,price,venue_stake,risk,policy_name
8daaf6db-f85b-4283-b9d3-69c439aed855,2026-09-05T13:35:00.0,2026-09-05T13:35:00.0,1.261702837,home,3,7.0,2.0,2.0,archive_sweep3_t25
97da4724-a477-46be-84b2-c2df51a7b435,2026-09-05T13:35:00.0,2026-09-05T13:35:00.0,1.261702947,home,1,2.4,15.0,15.0,archive_sweep3_t25
97da4724-a477-46be-84b2-c2df51a7b435,2026-09-05T13:35:00.0,2026-09-05T13:35:00.0,1.261702947,home,2,2.38,4.469999999999999,4.469999999999999,archive_sweep3_t25
b2061d05-0015-47dc-8a2f-ed97b4a37f83,2026-09-05T13:35:00.0,2026-09-05T13:35:00.0,1.261709442,home,1,3.75,9.75,9.75,archive_sweep3_t25
b2061d05-0015-47dc-8a2f-ed97b4a37f83,2026-09-05T13:35:00.0,2026-09-05T13:35:00.0,1.261709442,home,2,3.7,5.0,5.0,archive_sweep3_t25
b2061d05-0015-47dc-8a2f-ed97b4a37f83,2026-09-05T13:35:00.0,2026-09-05T13:35:00.0,1.261709442,home,3,3.65,2.91,2.91,archive_sweep3_t25
baa6ba5d-d744-491a-83a4-2c0ff49828a8,2026-09-05T13:35:00.0,2026-09-05T13:35:00.0,1.261708519,Under 2.5 Goals,1,2.7599,3.0,3.0,archive_sweep3_t25
baa6ba5d-d744-491a-83a4-2c0ff49828a8,2026-09-05T13:35:00.0,2026-09-05T13:35:00.0,1.261708519,Under 2.5 Goals,2,2.74,6.869999999999999,6.869999999999999,archive_sweep3_t25
c7df43df-cb33-40ae-8b7b-a65e7b952b6c,2026-09-05T13:35:00.0,2026-09-05T13:35:00.0,1.261703057,home,1,2.7599,14.04,14.04,archive_sweep3_t25
c7df43df-cb33-40ae-8b7b-a65e7b952b6c,2026-09-05T13:35:00.0,2026-09-05T13:35:00.0,1.261703057,home,2,2.74,9.0,9.0,archive_sweep3_t25
c7df43df-cb33-40ae-8b7b-a65e7b952b6c,2026-09-05T13:35:00.0,2026-09-05T13:35:00.0,1.261703057,home,3,2.72,3.0,3.0,archive_sweep3_t25
0ef6692b-8cee-48da-ae52-a7d903037bc3,2026-09-05T13:35:00.0,2026-09-05T13:35:00.0,1.261709452,Under 2.5 Goals,1,2.24,0.40857142857142853,0.40857142857142853,staged_t25_t5_no_replenishment
363ca299-4ae8-4a3d-a6d1-1c214bb84ae5,2026-09-05T13:35:00.0,2026-09-05T13:35:00.0,1.261708802,Under 2.5 Goals,1,2.4,0.6238095238095237,0.6238095238095237,staged_t25_t5_no_replenishment
50458b3f-d7ba-4eac-8b89-8e5045b74db5,2026-09-05T13:35:00.0,2026-09-05T13:35:00.0,1.261708650,home,1,2.86,0.5452380952380952,0.5452380952380952,staged_t25_t5_no_replenishment
55ce5d62-5170-4539-920c-9064a8ccf235,2026-09-05T13:35:00.0,2026-09-05T13:35:00.0,1.261703167,home,1,3.2,1.1995238095238094,1.1995238095238094,staged_t25_t5_no_replenishment
5fe3eb51-ca97-4709-9b3e-055d7d477033,2026-09-05T13:35:00.0,2026-09-05T13:35:00.0,1.261702837,draw,1,4.5,1.2042857142857142,1.2042857142857142,staged_t25_t5_no_replenishment
706b9b63-3894-43c3-8b40-eac1535e5509,2026-09-05T13:35:00.0,2026-09-05T13:35:00.0,1.261703067,Over 2.5 Goals,1,1.79,1.561181434599156,1.2333333333333332,staged_t25_t5_no_replenishment
71b20b32-c980-4d92-98df-2158b1bf8919,2026-09-05T13:35:00.0,2026-09-05T13:35:00.0,1.261708509,home,1,3.85,1.4647619047619047,1.4647619047619047,staged_t25_t5_no_replenishment
8d864ea1-a2d2-4949-b0c3-74f68549f4a7,2026-09-05T13:35:00.0,2026-09-05T13:35:00.0,1.261702727,home,1,3.3,1.1333333333333333,1.1333333333333333,staged_t25_t5_no_replenishment
8daaf6db-f85b-4283-b9d3-69c439aed855,2026-09-05T13:35:00.0,2026-09-05T13:35:00.0,1.261702837,home,1,7.4,5.768571428571429,5.768571428571429,staged_t25_t5_no_replenishment
97da4724-a477-46be-84b2-c2df51a7b435,2026-09-05T13:35:00.0,2026-09-05T13:35:00.0,1.261702947,home,1,2.4,0.927142857142857,0.927142857142857,staged_t25_t5_no_replenishment
b2061d05-0015-47dc-8a2f-ed97b4a37f83,2026-09-05T13:35:00.0,2026-09-05T13:35:00.0,1.261709442,home,1,3.75,0.8409523809523809,0.8409523809523809,staged_t25_t5_no_replenishment
baa6ba5d-d744-491a-83a4-2c0ff49828a8,2026-09-05T13:35:00.0,2026-09-05T13:35:00.0,1.261708519,Under 2.5 Goals,1,2.7599,0.4699999999999999,0.4699999999999999,staged_t25_t5_no_replenishment
c7df43df-cb33-40ae-8b7b-a65e7b952b6c,2026-09-05T13:35:00.0,2026-09-05T13:35:00.0,1.261703057,home,1,2.7599,1.9023809523809525,1.9023809523809525,staged_t25_t5_no_replenishment
0ef6692b-8cee-48da-ae52-a7d903037bc3,2026-09-05T13:38:00.0,2026-09-05T13:38:00.0,1.261709452,Under 2.5 Goals,1,2.24,1.2257142857142855,1.2257142857142855,staged_t25_t5_no_replenishment
363ca299-4ae8-4a3d-a6d1-1c214bb84ae5,2026-09-05T13:38:00.0,2026-09-05T13:38:00.0,1.261708802,Under 2.5 Goals,1,2.4,1.871428571428571,1.871428571428571,staged_t25_t5_no_replenishment
50458b3f-d7ba-4eac-8b89-8e5045b74db5,2026-09-05T13:38:00.0,2026-09-05T13:38:00.0,1.261708650,home,1,2.86,1.6357142857142857,1.6357142857142857,staged_t25_t5_no_replenishment
55ce5d62-5170-4539-920c-9064a8ccf235,2026-09-05T13:38:00.0,2026-09-05T13:38:00.0,1.261703167,home,1,3.2,3.5985714285714283,3.5985714285714283,staged_t25_t5_no_replenishment
706b9b63-3894-43c3-8b40-eac1535e5509,2026-09-05T13:38:00.0,2026-09-05T13:38:00.0,1.261703067,Over 2.5 Goals,1,1.79,2.438818565400844,1.9266666666666667,staged_t25_t5_no_replenishment
706b9b63-3894-43c3-8b40-eac1535e5509,2026-09-05T13:38:00.0,2026-09-05T13:38:00.0,1.261703067,Over 2.5 Goals,2,1.8,2.2166666666666655,1.7733333333333325,staged_t25_t5_no_replenishment
71b20b32-c980-4d92-98df-2158b1bf8919,2026-09-05T13:38:00.0,2026-09-05T13:38:00.0,1.261708509,home,1,3.85,4.394285714285714,4.394285714285714,staged_t25_t5_no_replenishment
8d864ea1-a2d2-4949-b0c3-74f68549f4a7,2026-09-05T13:38:00.0,2026-09-05T13:38:00.0,1.261702727,home,1,3.3,3.4,3.4,staged_t25_t5_no_replenishment
8daaf6db-f85b-4283-b9d3-69c439aed855,2026-09-05T13:38:00.0,2026-09-05T13:38:00.0,1.261702837,home,1,6.2,0.3791068256787601,0.3791068256787601,staged_t25_t5_no_replenishment
97da4724-a477-46be-84b2-c2df51a7b435,2026-09-05T13:38:00.0,2026-09-05T13:38:00.0,1.261702947,home,1,2.4,2.781428571428571,2.781428571428571,staged_t25_t5_no_replenishment
b2061d05-0015-47dc-8a2f-ed97b4a37f83,2026-09-05T13:38:00.0,2026-09-05T13:38:00.0,1.261709442,home,1,3.75,2.5228571428571427,2.5228571428571427,staged_t25_t5_no_replenishment
baa6ba5d-d744-491a-83a4-2c0ff49828a8,2026-09-05T13:38:00.0,2026-09-05T13:38:00.0,1.261708519,Under 2.5 Goals,1,2.7599,1.4099999999999997,1.4099999999999997,staged_t25_t5_no_replenishment
c7df43df-cb33-40ae-8b7b-a65e7b952b6c,2026-09-05T13:38:00.0,2026-09-05T13:38:00.0,1.261703057,home,1,2.82,4.0,4.0,staged_t25_t5_no_replenishment
c7df43df-cb33-40ae-8b7b-a65e7b952b6c,2026-09-05T13:38:00.0,2026-09-05T13:38:00.0,1.261703057,home,2,2.8,1.7071428571428573,1.7071428571428573,staged_t25_t5_no_replenishment
0ef6692b-8cee-48da-ae52-a7d903037bc3,2026-09-05T13:41:00.0,2026-09-05T13:41:00.0,1.261709452,Under 2.5 Goals,1,2.24,1.2257142857142858,1.2257142857142858,staged_t25_t5_no_replenishment
363ca299-4ae8-4a3d-a6d1-1c214bb84ae5,2026-09-05T13:41:00.0,2026-09-05T13:41:00.0,1.261708802,Under 2.5 Goals,1,2.42,1.8714285714285714,1.8714285714285714,staged_t25_t5_no_replenishment
55ce5d62-5170-4539-920c-9064a8ccf235,2026-09-05T13:41:00.0,2026-09-05T13:41:00.0,1.261703167,home,1,3.2,3.5985714285714288,3.5985714285714288,staged_t25_t5_no_replenishment
706b9b63-3894-43c3-8b40-eac1535e5509,2026-09-05T13:41:00.0,2026-09-05T13:41:00.0,1.261703067,Over 2.5 Goals,2,1.8,1.7833333333333345,1.4266666666666676,staged_t25_t5_no_replenishment
