match_id,market_id,market_type,symbol,ts,kickoff,bid_prices,bid_volumes,ask_prices,ask_volumes,market_matched
16362431,1.261702726,BOTH_TEAMS_TO_SCORE,No,2026-09-05T13:35:00.000+00:00,2026-09-05T14:00:00.0,"Union{Missing, Int64}[20400, 10100]","Union{Missing, Int64}[30000, 30000]","Union{Missing, Int64}[22400, 22599, 22799]","Union{Missing, Int64}[244300, 80000, 400000]",406800
16362431,1.261702726,BOTH_TEAMS_TO_SCORE,No,2026-09-05T13:38:00.000+00:00,2026-09-05T14:00:00.0,"Union{Missing, Int64}[20600, 10100]","Union{Missing, Int64}[30000, 30000]","Union{Missing, Int64}[22400, 22599, 22799]","Union{Missing, Int64}[244300, 80000, 400000]",406800
16362431,1.261702726,BOTH_TEAMS_TO_SCORE,No,2026-09-05T13:41:00.000+00:00,2026-09-05T14:00:00.0,"Union{Missing, Int64}[20800, 10100]","Union{Missing, Int64}[30000, 30000]","Union{Missing, Int64}[22400, 22599, 22799]","Union{Missing, Int64}[244300, 80000, 400000]",406800
16362431,1.261702726,BOTH_TEAMS_TO_SCORE,No,2026-09-05T13:44:00.000+00:00,2026-09-05T14:00:00.0,"Union{Missing, Int64}[21000, 10100]","Union{Missing, Int64}[30000, 30000]","Union{Missing, Int64}[22400, 22599, 22799]","Union{Missing, Int64}[244300, 80000, 400000]",406800
16362431,1.261702726,BOTH_TEAMS_TO_SCORE,No,2026-09-05T13:47:00.000+00:00,2026-09-05T14:00:00.0,"Union{Missing, Int64}[20200, 10100]","Union{Missing, Int64}[3921600, 60000]","Union{Missing, Int64}[22400, 22599, 22799]","Union{Missing, Int64}[244300, 80000, 400000]",406800
16362431,1.261702726,BOTH_TEAMS_TO_SCORE,No,2026-09-05T13:50:00.000+00:00,2026-09-05T14:00:00.0,"Union{Missing, Int64}[21600, 20200, 10100]","Union{Missing, Int64}[28600, 3951600, 30000]","Union{Missing, Int64}[22400, 22599, 22799]","Union{Missing, Int64}[53000, 80000, 400000]",860100
16362431,1.261702726,BOTH_TEAMS_TO_SCORE,No,2026-09-05T13:53:00.000+00:00,2026-09-05T14:00:00.0,"Union{Missing, Int64}[21600, 20400, 20200]","Union{Missing, Int64}[44100, 30000, 3921600]","Union{Missing, Int64}[22599, 22799]","Union{Missing, Int64}[81600, 400000]",962900
16362431,1.261702726,BOTH_TEAMS_TO_SCORE,Yes,2026-09-05T13:35:00.000+00:00,2026-09-05T14:00:00.0,"Union{Missing, Int64}[18000, 17700, 10100]","Union{Missing, Int64}[12000, 324600, 30000]","Union{Missing, Int64}[18700, 18800, 19000]","Union{Missing, Int64}[119900, 2370400, 30000]",406800
16362431,1.261702726,BOTH_TEAMS_TO_SCORE,Yes,2026-09-05T13:38:00.000+00:00,2026-09-05T14:00:00.0,"Union{Missing, Int64}[18000, 17700, 10100]","Union{Missing, Int64}[12000, 324600, 30000]","Union{Missing, Int64}[18700, 18800, 19000]","Union{Missing, Int64}[119900, 2370400, 30000]",406800
16362431,1.261702726,BOTH_TEAMS_TO_SCORE,Yes,2026-09-05T13:41:00.000+00:00,2026-09-05T14:00:00.0,"Union{Missing, Int64}[18000, 10100]","Union{Missing, Int64}[12000, 30000]","Union{Missing, Int64}[18700, 18800, 18900]","Union{Missing, Int64}[119900, 2370400, 30000]",406800
16362431,1.261702726,BOTH_TEAMS_TO_SCORE,Yes,2026-09-05T13:44:00.000+00:00,2026-09-05T14:00:00.0,"Union{Missing, Int64}[18000, 10100]","Union{Missing, Int64}[12000, 30000]","Union{Missing, Int64}[18700, 18800, 18900]","Union{Missing, Int64}[119900, 2370400, 30000]",406800
16362431,1.261702726,BOTH_TEAMS_TO_SCORE,Yes,2026-09-05T13:47:00.000+00:00,2026-09-05T14:00:00.0,"Union{Missing, Int64}[18000, 10100]","Union{Missing, Int64}[12000, 30000]","Union{Missing, Int64}[18700, 18900]","Union{Missing, Int64}[2029600, 30000]",406800
16362431,1.261702726,BOTH_TEAMS_TO_SCORE,Yes,2026-09-05T13:50:00.000+00:00,2026-09-05T14:00:00.0,"Union{Missing, Int64}[17900, 16299, 10100]","Union{Missing, Int64}[79100, 6194200, 30000]","Union{Missing, Int64}[18700, 18900, 19100]","Union{Missing, Int64}[2029600, 30000, 16000]",860100
16362431,1.261702726,BOTH_TEAMS_TO_SCORE,Yes,2026-09-05T13:53:00.000+00:00,2026-09-05T14:00:00.0,"Union{Missing, Int64}[16299, 10100]","Union{Missing, Int64}[6194200, 30000]","Union{Missing, Int64}[18700, 19000]","Union{Missing, Int64}[2029600, 30000]",962900
