order_id,at,archive_ts,status,level_1_reason,level_2_reason,level_3_reason,filled_risk,priority,policy_name
0ef6692b-8cee-48da-ae52-a7d903037bc3,2026-09-05T13:35:00.0,2026-09-05T13:35:00.0,evaluated,depth,policy_depth,policy_depth,5.0,1,archive_touch_t25
363ca299-4ae8-4a3d-a6d1-1c214bb84ae5,2026-09-05T13:35:00.0,2026-09-05T13:35:00.0,evaluated,depth,policy_depth,policy_depth,4.0,2,archive_touch_t25
4f8e3a10-df5a-440c-8653-d55b2ed825fb,2026-09-05T13:35:00.0,2026-09-05T13:35:00.0,evaluated,reservation,policy_depth,policy_depth,0.0,3,archive_touch_t25
50458b3f-d7ba-4eac-8b89-8e5045b74db5,2026-09-05T13:35:00.0,2026-09-05T13:35:00.0,evaluated,depth,policy_depth,policy_depth,8.5,4,archive_touch_t25
5542833b-3e73-411e-a3eb-8f3eb2efb63c,2026-09-05T13:35:00.0,2026-09-05T13:35:00.0,evaluated,reservation,policy_depth,policy_depth,0.0,5,archive_touch_t25
55ce5d62-5170-4539-920c-9064a8ccf235,2026-09-05T13:35:00.0,2026-09-05T13:35:00.0,evaluated,target,policy_depth,policy_depth,25.19,6,archive_touch_t25
5fe3eb51-ca97-4709-9b3e-055d7d477033,2026-09-05T13:35:00.0,2026-09-05T13:35:00.0,evaluated,depth,policy_depth,policy_depth,3.0,7,archive_touch_t25
706b9b63-3894-43c3-8b40-eac1535e5509,2026-09-05T13:35:00.0,2026-09-05T13:35:00.0,evaluated,depth,policy_depth,policy_depth,3.16,8,archive_touch_t25
71b20b32-c980-4d92-98df-2158b1bf8919,2026-09-05T13:35:00.0,2026-09-05T13:35:00.0,evaluated,depth,policy_depth,policy_depth,7.6,9,archive_touch_t25
8d864ea1-a2d2-4949-b0c3-74f68549f4a7,2026-09-05T13:35:00.0,2026-09-05T13:35:00.0,evaluated,depth,policy_depth,policy_depth,10.03,10,archive_touch_t25
8daaf6db-f85b-4283-b9d3-69c439aed855,2026-09-05T13:35:00.0,2026-09-05T13:35:00.0,evaluated,depth,policy_depth,policy_depth,22.44,11,archive_touch_t25
8f3bc540-7e54-46f3-9336-c7208e3369db,2026-09-05T13:35:00.0,2026-09-05T13:35:00.0,evaluated,reservation,policy_depth,policy_depth,0.0,12,archive_touch_t25
97da4724-a477-46be-84b2-c2df51a7b435,2026-09-05T13:35:00.0,2026-09-05T13:35:00.0,evaluated,depth,policy_depth,policy_depth,15.0,13,archive_touch_t25
