order_id,match_id,side,target_risk,simulated_risk,risk_fill_pct,simulated_venue_stake,arithmetic_vwap,final_status,policy_name,child_count,archive_available
55ce5d62-5170-4539-920c-9064a8ccf235,16362436,back,25.19,22.790952380952383,0.9047619047619048,22.790952380952383,3.389473684210526,stale_quote,staged_t25_t5_no_replenishment,7,true
5fe3eb51-ca97-4709-9b3e-055d7d477033,16362432,back,25.29,1.416806722689074,0.05602240896358537,1.416806722689074,4.455,stale_quote,staged_t25_t5_no_replenishment,2,true
706b9b63-3894-43c3-8b40-eac1535e5509,16362435,lay,25.9,11.22,0.43320463320463326,14.0,1.8014285714285716,stale_quote,staged_t25_t5_no_replenishment,6,true
71b20b32-c980-4d92-98df-2158b1bf8919,16362602,back,30.76,12.6,0.4096228868660598,12.6,3.822222222222222,stale_quote,staged_t25_t5_no_replenishment,6,true
8d864ea1-a2d2-4949-b0c3-74f68549f4a7,16362431,back,23.8,17.26865671641788,0.7255738116141967,17.26865671641788,3.267,stale_quote,staged_t25_t5_no_replenishment,7,true
8daaf6db-f85b-4283-b9d3-69c439aed855,16362432,back,121.14,6.147678254250189,0.05074854097944683,6.147678254250189,7.3260000000000005,stale_quote,staged_t25_t5_no_replenishment,2,true
8f3bc540-7e54-46f3-9336-c7208e3369db,16362435,back,1.53,0.0,0.0,0.0,,stale_quote,staged_t25_t5_no_replenishment,0,false
97da4724-a477-46be-84b2-c2df51a7b435,16362433,back,19.47,17.615714285714287,0.9047619047619049,17.615714285714287,2.4726315789473685,stale_quote,staged_t25_t5_no_replenishment,7,true
b2061d05-0015-47dc-8a2f-ed97b4a37f83,16362604,back,17.66,15.978095238095237,0.9047619047619048,15.978095238095237,3.726667461405496,stale_quote,staged_t25_t5_no_replenishment,9,true
baa6ba5d-d744-491a-83a4-2c0ff49828a8,16362602,back,9.87,8.93,0.9047619047619048,8.93,2.746685330347145,stale_quote,staged_t25_t5_no_replenishment,6,true
c7df43df-cb33-40ae-8b7b-a65e7b952b6c,16362435,back,39.95,36.1452380952381,0.9047619047619048,36.1452380952381,3.0870799090968974,stale_quote,staged_t25_t5_no_replenishment,9,true
d5d9afac-c009-47b5-a2d2-fd4785182cf7,16362432,lay,44.42,0.0,0.0,0.0,,stale_quote,staged_t25_t5_no_replenishment,0,false
0ef6692b-8cee-48da-ae52-a7d903037bc3,16362604,back,8.58,7.762857142857143,0.9047619047619048,7.762857142857143,2.24,stale_quote,staged_t25_t5_refreshed_upper_bound,7,true
363ca299-4ae8-4a3d-a6d1-1c214bb84ae5,16362613,back,13.1,11.852380952380953,0.9047619047619049,11.852380952380953,2.4157894736842107,stale_quote,staged_t25_t5_refreshed_upper_bound,7,true
4f8e3a10-df5a-440c-8653-d55b2ed825fb,16362433,back,6.19,0.0,0.0,0.0,,stale_quote,staged_t25_t5_refreshed_upper_bound,0,false
50458b3f-d7ba-4eac-8b89-8e5045b74db5,16362608,back,11.45,8.723809523809523,0.7619047619047619,8.723809523809523,2.8600000000000003,stale_quote,staged_t25_t5_refreshed_upper_bound,4,true
5542833b-3e73-411e-a3eb-8f3eb2efb63c,16362436,lay,2.77,0.0,0.0,0.0,,stale_quote,staged_t25_t5_refreshed_upper_bound,0,false
55ce5d62-5170-4539-920c-9064a8ccf235,16362436,back,25.19,22.790952380952383,0.9047619047619048,22.790952380952383,3.389473684210526,stale_quote,staged_t25_t5_refreshed_upper_bound,7,true
5fe3eb51-ca97-4709-9b3e-055d7d477033,16362432,back,25.29,1.416806722689074,0.05602240896358537,1.416806722689074,4.455,stale_quote,staged_t25_t5_refreshed_upper_bound,2,true
706b9b63-3894-43c3-8b40-eac1535e5509,16362435,lay,25.9,23.433333333333334,0.9047619047619048,29.545132051883108,1.7931368623495378,stale_quote,staged_t25_t5_refreshed_upper_bound,12,true
71b20b32-c980-4d92-98df-2158b1bf8919,16362602,back,30.76,27.83047619047619,0.9047619047619048,27.83047619047619,3.85,stale_quote,staged_t25_t5_refreshed_upper_bound,7,true
8d864ea1-a2d2-4949-b0c3-74f68549f4a7,16362431,back,23.8,21.533333333333335,0.9047619047619048,21.533333333333335,3.3,stale_quote,staged_t25_t5_refreshed_upper_bound,6,true
8daaf6db-f85b-4283-b9d3-69c439aed855,16362432,back,121.14,6.147678254250189,0.05074854097944683,6.147678254250189,7.3260000000000005,stale_quote,staged_t25_t5_refreshed_upper_bound,2,true
8f3bc540-7e54-46f3-9336-c7208e3369db,16362435,back,1.53,0.0,0.0,0.0,,stale_quote,staged_t25_t5_refreshed_upper_bound,0,false
97da4724-a477-46be-84b2-c2df51a7b435,16362433,back,19.47,17.615714285714287,0.9047619047619049,17.615714285714287,2.4726315789473685,stale_quote,staged_t25_t5_refreshed_upper_bound,7,true
b2061d05-0015-47dc-8a2f-ed97b4a37f83,16362604,back,17.66,15.978095238095237,0.9047619047619048,15.978095238095237,3.750000000000001,stale_quote,staged_t25_t5_refreshed_upper_bound,7,true
baa6ba5d-d744-491a-83a4-2c0ff49828a8,16362602,back,9.87,8.93,0.9047619047619048,8.93,2.7599,stale_quote,staged_t25_t5_refreshed_upper_bound,5,true
c7df43df-cb33-40ae-8b7b-a65e7b952b6c,16362435,back,39.95,36.1452380952381,0.9047619047619048,36.1452380952381,3.0870799090968974,stale_quote,staged_t25_t5_refreshed_upper_bound,9,true
d5d9afac-c009-47b5-a2d2-fd4785182cf7,16362432,lay,44.42,0.0,0.0,0.0,,stale_quote,staged_t25_t5_refreshed_upper_bound,0,false
