match_id,home_team,away_team,kickoff,tournament_id
16362436,queen-of-the-south,airdrieonians,2026-09-05T14:00:00.0,56
16362431,cove-rangers,alloa-athletic,2026-09-05T14:00:00.0,56
16362432,east-fife,ross-county,2026-09-05T14:00:00.0,56
16362433,peterhead,montrose,2026-09-05T14:00:00.0,56
16362435,east-kilbride,hamilton-academical,2026-09-05T14:00:00.0,56
16362611,kelty-hearts-fc,annan-athletic,2026-09-05T14:00:00.0,57
16362613,clyde-fc,edinburgh-city-fc,2026-09-05T14:00:00.0,57
16362608,forfar-athletic,stranraer,2026-09-05T14:00:00.0,57
16362602,stirling-albion,the-spartans-fc,2026-09-05T14:00:00.0,57
16362604,dumbarton,elgin-city,2026-09-05T14:00:00.0,57
