wom_bin,runner_observations,mean_t5_minus_t25_best_back,shortening_fraction,fixture_clusters
low_lt_035,19,0.006836842105263165,0.2631578947368421,8
high_gt_065,26,-0.06269230769230766,0.34615384615384615,10
neutral_035_to_065,15,0.045346666666666674,0.26666666666666666,8
