match_id,market_id,market_type,symbol,liquidity_t25,liquidity_t5,liquidity_change,wom_t25,best_back_t25,best_back_t5,future_back_change
16362604,1.261709442,MATCH_ODDS,home,17.75,17.75,0.0,0.216305142578601,3.75,3.75,0.0
16362604,1.261709452,OVER_UNDER_25,Over 2.5 Goals,81.94000000000001,10.97,-70.97000000000001,0.8260913398528078,1.75,1.77,0.020000000000000018
16362604,1.261709452,OVER_UNDER_25,Under 2.5 Goals,14.0,14.0,0.0,0.158586316266425,2.24,2.24,0.0
16362608,1.261708650,MATCH_ODDS,away,15.2698,15.2698,0.0,0.6771589991928976,2.52,2.52,0.0
16362608,1.261708650,MATCH_ODDS,draw,10.23,13.09,2.8599999999999994,0.1453951108584423,3.5,3.5,0.0
16362608,1.261708650,MATCH_ODDS,home,78.92,83.92,5.0,0.7779976123793498,2.86,2.86,0.0
16362611,1.261709313,BOTH_TEAMS_TO_SCORE,No,410.03,404.3899,-5.640099999999961,0.7376232280348276,2.14,2.18,0.040000000000000036
16362611,1.261709313,BOTH_TEAMS_TO_SCORE,Yes,320.43,338.04,17.610000000000014,0.6325982666377116,1.64,1.69,0.050000000000000044
16362611,1.261709321,MATCH_ODDS,away,54.1,80.28,26.18,0.6615309366593299,3.25,3.1,-0.1499999999999999
16362611,1.261709321,MATCH_ODDS,draw,26.4899,13.77,-12.719899999999999,0.24145405291591732,4.1,3.85,-0.24999999999999956
16362611,1.261709321,MATCH_ODDS,home,276.25000000000006,27.59,-248.66000000000005,0.9101242051856487,2.2,2.2599,0.05989999999999984
16362611,1.261709342,OVER_UNDER_25,Over 2.5 Goals,97.92,100.17999999999999,2.259999999999991,0.8449391664509449,1.76,1.76,0.0
16362611,1.261709342,OVER_UNDER_25,Under 2.5 Goals,14.0,14.0,0.0,0.4666666666666667,2.22,2.22,0.0
16362613,1.261708790,BOTH_TEAMS_TO_SCORE,No,178.44,21.2,-157.24,0.47727819830422336,2.34,2.22,-0.11999999999999966
16362613,1.261708790,BOTH_TEAMS_TO_SCORE,Yes,223.26,239.34,16.080000000000013,0.5040184215279032,1.66,1.65,-0.010000000000000009
16362613,1.261708791,MATCH_ODDS,away,24.61,133.82999999999998,109.21999999999998,0.2369310069615933,3.65,4.1,0.44999999999999973
16362613,1.261708791,MATCH_ODDS,draw,47.3199,72.34,25.020100000000006,0.36470085911434225,4.2,4.3,0.09999999999999964
16362613,1.261708791,MATCH_ODDS,home,154.14,32.269999999999996,-121.86999999999999,0.752453014400781,1.95,1.85,-0.09999999999999987
16362613,1.261708802,OVER_UNDER_25,Over 2.5 Goals,102.19999999999999,20.08,-82.11999999999999,0.8573825503355704,1.67,1.64,-0.030000000000000027
16362613,1.261708802,OVER_UNDER_25,Under 2.5 Goals,12.0,15.0,3.0,0.1865671641791045,2.4,2.42,0.020000000000000018
