loose,w,sup_slope,sup_sd,max_win_prob,fav70_model,fav70_market
m02_poisson_grw_loose_var,0.0,0.35660762339152285,0.26911190755978626,0.5817128700189557,0.5098427065290388,0.7497070341964672
m02_poisson_grw_loose_var,0.2,0.36656546343377977,0.2743910589062278,0.5813472831277494,0.512728234531134,0.7497070341964672
m02_poisson_grw_loose_var,0.4,0.37652330347603674,0.27981417901625455,0.5807455041003245,0.5155205864717707,0.7497070341964672
m02_poisson_grw_loose_var,0.6,0.38648114351829377,0.28537306022651426,0.5799155096201056,0.5181937550205883,0.7497070341964672
m02_poisson_grw_loose_var,0.8,0.3964389835605507,0.29105992403832653,0.5788591888968793,0.5207167084287083,0.7497070341964672
m02_poisson_grw_loose_var,1.0,0.4063968236028074,0.2968674155460526,0.577572778227616,0.523054981418738,0.7497070341964672
m03_poisson_grw_loose_tdist,0.0,0.35660762339152285,0.26911190755978626,0.5817128700189557,0.5098427065290388,0.7497070341964672
m03_poisson_grw_loose_tdist,0.2,0.3578693591640815,0.2680502422934673,0.5787720895038007,0.5109320269181804,0.7497070341964672
m03_poisson_grw_loose_tdist,0.4,0.35913109493663975,0.2670422808808852,0.5756134919055899,0.5119742144035777,0.7497070341964672
m03_poisson_grw_loose_tdist,0.6,0.36039283070919836,0.2660886336240321,0.5722662711147344,0.5129596235404762,0.7497070341964672
m03_poisson_grw_loose_tdist,0.8,0.36165456648175653,0.2651898864796746,0.5687531340233041,0.5138719748931347,0.7497070341964672
m03_poisson_grw_loose_tdist,1.0,0.36291630225431504,0.26434659941005606,0.5676377375504894,0.5146891208408698,0.7497070341964672
