loose,rho,draws,sup_slope,sup_sd,max_win_prob,fav70_model,fav70_market
m02_poisson_grw_loose_var,0.0,1600,0.35526906574050204,0.2673928673004455,0.5826288814213392,0.5095327095291182,0.7497070341964672
m02_poisson_grw_loose_var,0.25,1600,0.36774958950740516,0.2742160130510269,0.5810817169953801,0.5132862794346118,0.7497070341964672
m02_poisson_grw_loose_var,0.5,1600,0.3812633902650444,0.2812771153026445,0.5810395283700819,0.517691563224016,0.7497070341964672
m02_poisson_grw_loose_var,0.75,1600,0.39322535989519625,0.2890873054146549,0.5776029482852111,0.5222759986519683,0.7497070341964672
m02_poisson_grw_loose_var,1.0,1600,0.4061308038430631,0.29604196428976903,0.575777060722482,0.5258208901636648,0.7497070341964672
m03_poisson_grw_loose_tdist,0.0,1600,0.35526906574050204,0.2673928673004455,0.5826288814213392,0.5095327095291182,0.7497070341964672
m03_poisson_grw_loose_tdist,0.25,1600,0.35537193612538015,0.2662867202594287,0.5793236176762988,0.5097509851272425,0.7497070341964672
m03_poisson_grw_loose_tdist,0.5,1600,0.3585087633702053,0.26593251637134413,0.5734895381756965,0.5128851535780358,0.7497070341964672
m03_poisson_grw_loose_tdist,0.75,1600,0.35833921450431666,0.2654099718408769,0.5685814336053077,0.5132242486024706,0.7497070341964672
m03_poisson_grw_loose_tdist,1.0,1600,0.3599785929695645,0.26488090047333734,0.5681843308089054,0.5150357612416112,0.7497070341964672
m04_poisson_grw_loose_fixed_spread,0.0,1600,0.35526906574050204,0.2673928673004455,0.5826288814213392,0.5095327095291182,0.7497070341964672
m04_poisson_grw_loose_fixed_spread,0.25,1600,0.35330201571873115,0.27464048571025995,0.603973306635671,0.49713702319967945,0.7497070341964672
m04_poisson_grw_loose_fixed_spread,0.5,1600,0.351466714850644,0.2856759395790529,0.6245632317797135,0.48220306698494264,0.7497070341964672
m04_poisson_grw_loose_fixed_spread,0.75,1600,0.35374715183013733,0.3004811226470695,0.6461785628436101,0.47137393103578934,0.7497070341964672
m04_poisson_grw_loose_fixed_spread,1.0,1600,0.3518732646352465,0.3161355412414952,0.66720057199128,0.45675684726472326,0.7497070341964672
