model,model_run_id,portfolio_run_id
m05_joint_grw_smile_spine_w020,eaf53852-a078-4190-b744-089966a306f6,3bd3a461-c505-4ceb-822c-ce1623e0aaf7
m05_joint_grw_smile_spine_w040,582035c0-e145-44f7-9f40-89e25388e79a,785b5d7f-f596-491b-8442-9d71b5a350e6
