route,model,level,group,n_bets,win_rate_pct,roi_pct,stake_share_pct,edge_mean_pp,odds_mean,capture_ratio
reweighted,m05_joint_grw_baseline,market,1X2,986,29.817444219066935,12.554800082781327,75.92467434516243,3.9299063921210986,3.950410978850687,1.0252064997366508
reweighted,m05_joint_grw_baseline,market,totals,261,55.55555555555556,8.905096432423472,24.07532565483747,4.862298417800823,1.963919940317211,1.071091142592532
reweighted,m05_joint_grw_baseline,family,1X2_away,403,26.550868486352357,7.766783120763535,33.30138157763544,5.4999252252634285,4.3642073873389124,0.9320149648398138
reweighted,m05_joint_grw_baseline,family,1X2_draw,273,24.175824175824175,3.378298092892948,9.482571930032037,0.5053735058081766,4.206364198918352,1.3168025883200476
reweighted,m05_joint_grw_baseline,family,1X2_home,310,39.03225806451613,19.991705913709897,33.14072083749506,4.904680225047125,3.1870716830467343,0.953463620344471
reweighted,m05_joint_grw_baseline,family,O/U 1.5_over_15,64,75.0,1.2518908964222746,4.6676794217061985,3.4678269063137384,1.3161811513696102,1.2791719271142654
reweighted,m05_joint_grw_baseline,family,O/U 2.5_under_25,197,49.23857868020304,10.745747769600966,19.407646233131267,5.315324695644345,2.1743528463712543,1.1423474339396027
reweighted,m05_joint_grw_supremacy_w040,market,1X2,983,31.33265513733469,14.620886584716168,71.8185497276674,3.377723915559395,3.918040384618655,0.9583509272941254
reweighted,m05_joint_grw_supremacy_w040,market,totals,261,55.938697318007655,7.986409822468064,28.18145027233257,5.1769411549750055,1.9769992274212425,1.0378479934409133
reweighted,m05_joint_grw_supremacy_w040,family,1X2_away,394,26.649746192893403,16.644298738962515,27.41673504662031,4.19689166924349,4.394023270911007,1.0149425651474957
reweighted,m05_joint_grw_supremacy_w040,family,1X2_draw,250,28.000000000000004,11.05639694153756,8.641655479118766,0.699484071678157,4.220440258996445,0.7054428138370146
reweighted,m05_joint_grw_supremacy_w040,family,1X2_home,339,39.233038348082594,13.930949402710679,35.760159201928325,4.400755968712124,3.141824379327709,0.84614073980695
reweighted,m05_joint_grw_supremacy_w040,family,O/U 1.5_over_15,58,75.86206896551724,-0.36398664332534897,4.900392966717554,3.6778462541231685,1.3055512160719076,1.2994396030266326
reweighted,m05_joint_grw_supremacy_w040,family,O/U 2.5_under_25,203,50.24630541871922,9.744071580398954,23.281057305615036,5.605253983789818,2.1688415163781953,1.0922699151473434
reweighted,m05_joint_grw_smile_supremacy_w020,market,1X2,1053,28.49002849002849,16.203388916040865,88.61568115957233,3.8981108961812367,4.102984151137311,1.0322454484613326
reweighted,m05_joint_grw_smile_supremacy_w020,market,totals,200,51.0,11.705086899489269,11.384318840427701,2.9970482952957838,2.108358174837536,1.0354776862307828
reweighted,m05_joint_grw_smile_supremacy_w020,family,1X2_away,333,25.825825825825827,23.045929760685052,30.3291360327701,5.275417585085735,4.6995909019455455,1.0756097886882903
reweighted,m05_joint_grw_smile_supremacy_w020,family,1X2_draw,473,25.792811839323466,6.812065533401619,24.57267973010313,2.0657135429853852,4.014950755953994,1.0268089666489328
reweighted,m05_joint_grw_smile_supremacy_w020,family,1X2_home,247,37.24696356275304,16.892767881132794,33.71386539669908,5.5502599676648,3.4672341426456708,0.8522265738338805
reweighted,m05_joint_grw_smile_supremacy_w020,family,O/U 1.5_over_15,42,69.04761904761905,-6.895041352683774,2.3491696619078297,0.7072243532034083,1.357684168649762,1.3028549898369584
reweighted,m05_joint_grw_smile_supremacy_w020,family,O/U 2.5_under_25,158,46.20253164556962,16.541183806608373,9.035149178519871,3.605735672307681,2.307904429646944,1.1972653352996185
grid,m05_joint_grw_smile_supremacy_w020,market,1X2,988,29.453441295546558,16.992717653520025,84.7884941690399,4.029927396326114,4.0261124522902945,1.052204378293678
grid,m05_joint_grw_smile_supremacy_w020,market,totals,252,51.587301587301596,8.543167987619363,15.211505830960123,2.689538115758406,2.068202158958834,0.9850759385851025
grid,m05_joint_grw_smile_supremacy_w020,family,1X2_away,381,25.984251968503933,18.750174187738892,34.117548492599816,5.724257990964884,4.502621610139961,1.05336790126731
grid,m05_joint_grw_smile_supremacy_w020,family,1X2_draw,302,23.509933774834437,9.570675616616423,11.805242080075562,0.26114665125492736,4.18541770440208,0.9436849415162848
grid,m05_joint_grw_smile_supremacy_w020,family,1X2_home,305,39.67213114754099,17.704370650505382,38.86570359636447,5.645113719126532,3.273128271049374,0.8316717065798026
grid,m05_joint_grw_smile_supremacy_w020,family,O/U 1.5_over_15,57,70.17543859649122,-0.6787878417069269,2.8502651973659687,1.0014130725234487,1.3661176794856706,1.091556256202744
grid,m05_joint_grw_smile_supremacy_w020,family,O/U 2.5_under_25,195,46.15384615384615,10.669574270864132,12.361240633594143,3.1829900514732405,2.2734268529586825,1.1345470044817192
reweighted,m05_joint_grw_smile_supremacy_w040,market,1X2,1051,29.1151284490961,16.15761901406571,87.57237692619367,3.5963704163271935,4.079666170898314,1.006417592918062
reweighted,m05_joint_grw_smile_supremacy_w040,market,totals,199,50.753768844221106,12.673452416497263,12.427623073806346,2.9804258095324365,2.108674148668535,1.0040809008602236
reweighted,m05_joint_grw_smile_supremacy_w040,family,1X2_away,326,26.07361963190184,23.571975714922704,30.163493340601697,4.943266235666685,4.698943370904474,1.074796030570412
reweighted,m05_joint_grw_smile_supremacy_w040,family,1X2_draw,470,26.382978723404253,5.783506614086706,24.45247621422929,2.0126108399611202,4.0139889536603635,0.9537270216351669
reweighted,m05_joint_grw_smile_supremacy_w040,family,1X2_home,255,38.03921568627451,17.068817780202373,32.95640737136262,4.7935428233365265,3.409014895995679,0.8574879778696681
reweighted,m05_joint_grw_smile_supremacy_w040,family,O/U 1.5_over_15,42,69.04761904761905,-5.965431525323249,2.5082813527997256,0.40213224456702956,1.3517023294203432,0.9613341403727105
reweighted,m05_joint_grw_smile_supremacy_w040,family,O/U 2.5_under_25,157,45.85987261146497,17.386624554650222,9.919341721006623,3.6701603937906975,2.3111761640088146,1.1970663513862534
grid,m05_joint_grw_smile_supremacy_w040,market,1X2,984,29.471544715447155,17.23983460502733,83.54346508741446,3.7387038091274047,3.9951995466645784,1.0653922856942757
