environment,variant,calibration,route,model,n_panel,n_slates,n_bets,total_return_pct,cagr_pct,growth_per_slate,growth_lo,growth_hi,roi_pct,p_roi_positive,sharpe_ann,calmar,max_drawdown_pct,win_rate_pct,mean_edge_pp,mean_exposure,n_bets_1x2,n_bets_totals,capture_ratio,run_id
close,raw,raw,native,m05_joint_grw_baseline,632,100,1247,385.77757677304226,150.01743292434026,0.015805806721928422,-0.0003705992042185303,0.03232579811669041,11.676122043521175,0.98375,1.4527253832777605,9.041681782277903,-42.66657310691728,35.20449077786688,4.125058211449413,0.16632412452063444,986,261,1.079948560365559,b0961bc4-c40c-4dbe-9c05-57df7ae0839e
close,raw,raw,smile,m05_joint_grw_smile_spine_w020,632,100,1225,485.0418719458329,178.47471455473251,0.017665132346581094,-0.0009956417198415993,0.03645116298163338,14.302667135439975,0.99125,1.4267076047544407,11.550205755608571,-41.994219168806175,33.38775510204081,3.930049576095276,0.15633361010882393,986,239,1.0057111899234992,eaf53852-a078-4190-b744-089966a306f6
close,raw,raw,smile,m05_joint_grw_smile_spine_w040,632,100,1232,469.353509772741,174.12062188883763,0.01739331337775281,-0.00023818324779535275,0.03551452575754033,14.543256268120428,0.9945,1.4618548772102955,11.274361204509558,-41.63016434004326,33.27922077922078,3.6485161959889085,0.1494110528321869,995,237,1.0329009399910511,582035c0-e145-44f7-9f40-89e25388e79a
close,raw,raw,smile,m05_joint_grw_smile_supremacy_w020,632,100,1253,606.4611760925465,210.64834921057178,0.019550980621743857,0.0013842542588162773,0.037578188778317756,15.691287872071266,0.99525,1.6109411097093926,14.916287241270908,-40.657649338809215,32.0830007980846,3.754286059647246,0.15360330388744578,1053,200,0.9979031053509967,fcd5e974-9a46-4a10-9828-6b987a5484d6
close,raw,raw,smile,m05_joint_grw_smile_supremacy_w040,632,100,1250,553.4909313352383,196.9236859266161,0.01877158469910638,0.002052467463791762,0.036043224293749725,15.724619922056439,0.99525,1.640492880600992,14.161866900175292,-39.083189754338626,32.56,3.498312034925468,0.14508381639012732,1051,199,0.9827060445469952,30620d3e-e4bd-4c05-b1a1-85cefa36b728
close,raw,raw,native,m05_joint_grw_supremacy_w040,632,100,1244,404.5723663171682,155.58081179642667,0.016185410851782028,0.00072482358183669,0.032071418121355486,12.751194815133763,0.99225,1.550550898847814,9.487622224388927,-42.64212431194536,36.4951768488746,3.7552124199705474,0.15304215012310587,983,261,1.0696149297792785,0ee58d18-b7e9-4168-8d78-93887b1a8c26
t25,raw,raw,native,m05_joint_grw_baseline,611,99,1124,531.7811340934728,191.164248473237,0.018619927690571594,0.002292899619945693,0.0353788047882602,14.152408726635706,0.98875,1.6584024205331789,12.705126381948082,-41.85563512764795,35.40925266903915,4.149015432039701,0.15876725698958746,896,228,1.1104673183674394,b0961bc4-c40c-4dbe-9c05-57df7ae0839e
t25,raw,raw,smile,m05_joint_grw_smile_spine_w020,611,99,1115,507.4673081526882,184.61431202506003,0.01822351690947646,-0.0023901936404446,0.040041022048436216,16.213710501959763,0.994,1.3076436204363435,11.827490791995906,-42.905745358610616,32.91479820627803,3.974054242225406,0.14869031836343177,908,207,0.9595920375022606,eaf53852-a078-4190-b744-089966a306f6
t25,raw,raw,smile,m05_joint_grw_smile_spine_w040,611,99,1104,457.6981207541064,170.85310021350625,0.017360077048140663,-0.00237820272164605,0.03870183115932802,16.276777187906166,0.99075,1.2832132351818621,10.443949074090563,-43.82423904091679,32.880434782608695,3.7566177804179848,0.14060290042483892,894,210,0.9876980156371316,582035c0-e145-44f7-9f40-89e25388e79a
t25,raw,raw,smile,m05_joint_grw_smile_supremacy_w020,611,99,1119,450.0545314438508,168.69466659764853,0.01722067914548795,-0.0028650362864306935,0.037907414310117675,15.444374208244131,0.99175,1.2710393147534724,10.707254356399242,-42.03267396696087,31.099195710455763,3.8534464547390033,0.14738616194687218,974,145,1.0034259895873918,fcd5e974-9a46-4a10-9828-6b987a5484d6
t25,raw,raw,smile,m05_joint_grw_smile_supremacy_w040,611,99,1112,381.22630248195276,148.65669829474763,0.01587037835157124,-0.0031080794567440733,0.03576043462805571,15.143609857701351,0.992,1.2119581690347734,9.045486589223538,-42.145472078432114,31.02517985611511,3.60609145449058,0.1387951541816708,962,150,1.0225984360768572,30620d3e-e4bd-4c05-b1a1-85cefa36b728
