environment,variant,model,n_shifted,w_median,w_p10,w_p90,var_retention_median,market_share_median
t25,t25_inv,m05_joint_grw_baseline,580,0.2839949833097982,0.2511847702765373,0.4542560365019095,0.08065315793516711,0.7160050166902018
t25,t25_inv,m05_joint_grw_supremacy_w040,580,0.27610626465415733,0.25098035243696504,0.43055502338897744,0.07623466940344824,0.7238937353458427
t25,t25_inv_pooltot,m05_joint_grw_smile_supremacy_w020,580,0.280713810601529,0.251025909706973,0.42758277783034626,0.07880024654725794,0.719286189398471
t25,t25_inv_grid,m05_joint_grw_smile_supremacy_w020,580,0.280713810601529,0.251025909706973,0.42758277783034626,0.07880024654725794,0.719286189398471
t25,t25_inv_pooltot,m05_joint_grw_smile_supremacy_w040,580,0.2767350502867182,0.2508903860641689,0.4001537119555373,0.07658228849858337,0.7232649497132818
t25,t25_inv_grid,m05_joint_grw_smile_supremacy_w040,580,0.2767350502867182,0.2508903860641689,0.4001537119555373,0.07658228849858337,0.7232649497132818
t25,t25_inv_pooltot,m05_joint_grw_smile_spine_w020,580,0.2812697634631697,0.25110057099952493,0.428844513468123,0.07911268160010373,0.7187302365368303
t25,t25_inv_grid,m05_joint_grw_smile_spine_w020,580,0.2812697634631697,0.25110057099952493,0.428844513468123,0.07911268160010373,0.7187302365368303
t25,t25_inv_pooltot,m05_joint_grw_smile_spine_w040,580,0.27744783928222594,0.2512650259887885,0.40188520709966874,0.07697730353283047,0.7225521607177741
t25,t25_inv_grid,m05_joint_grw_smile_spine_w040,580,0.27744783928222594,0.2512650259887885,0.40188520709966874,0.07697730353283047,0.7225521607177741
