environment,variant,model,level,group,n_bets,win_rate_pct,roi_pct,stake_share_pct,edge_mean_pp,odds_mean,capture_ratio
close,raw,m05_joint_grw_baseline,market,1X2,986,29.817444219066935,12.554800082781327,75.92467434516243,3.9299063921210986,3.950410978850687,1.0252064997366508
close,raw,m05_joint_grw_baseline,market,totals,261,55.55555555555556,8.905096432423472,24.07532565483747,4.862298417800823,1.963919940317211,1.071091142592532
close,raw,m05_joint_grw_baseline,family,1X2_away,403,26.550868486352357,7.766783120763535,33.30138157763544,5.4999252252634285,4.3642073873389124,0.9320149648398138
close,raw,m05_joint_grw_baseline,family,1X2_draw,273,24.175824175824175,3.378298092892948,9.482571930032037,0.5053735058081766,4.206364198918352,1.3168025883200476
close,raw,m05_joint_grw_baseline,family,1X2_home,310,39.03225806451613,19.991705913709897,33.14072083749506,4.904680225047125,3.1870716830467343,0.953463620344471
close,raw,m05_joint_grw_baseline,family,O/U 1.5_over_15,64,75.0,1.2518908964222746,4.6676794217061985,3.4678269063137384,1.3161811513696102,1.2791719271142654
close,raw,m05_joint_grw_baseline,family,O/U 2.5_under_25,197,49.23857868020304,10.745747769600966,19.407646233131267,5.315324695644345,2.1743528463712543,1.1423474339396027
close,raw,m05_joint_grw_supremacy_w040,market,1X2,983,31.33265513733469,14.620886584716168,71.8185497276674,3.377723915559395,3.918040384618655,0.9583509272941254
close,raw,m05_joint_grw_supremacy_w040,market,totals,261,55.938697318007655,7.986409822468064,28.18145027233257,5.1769411549750055,1.9769992274212425,1.0378479934409133
close,raw,m05_joint_grw_supremacy_w040,family,1X2_away,394,26.649746192893403,16.644298738962515,27.41673504662031,4.19689166924349,4.394023270911007,1.0149425651474957
close,raw,m05_joint_grw_supremacy_w040,family,1X2_draw,250,28.000000000000004,11.05639694153756,8.641655479118766,0.699484071678157,4.220440258996445,0.7054428138370146
close,raw,m05_joint_grw_supremacy_w040,family,1X2_home,339,39.233038348082594,13.930949402710679,35.760159201928325,4.400755968712124,3.141824379327709,0.84614073980695
close,raw,m05_joint_grw_supremacy_w040,family,O/U 1.5_over_15,58,75.86206896551724,-0.36398664332534897,4.900392966717554,3.6778462541231685,1.3055512160719076,1.2994396030266326
close,raw,m05_joint_grw_supremacy_w040,family,O/U 2.5_under_25,203,50.24630541871922,9.744071580398954,23.281057305615036,5.605253983789818,2.1688415163781953,1.0922699151473434
close,raw,m05_joint_grw_smile_supremacy_w020,market,1X2,1053,28.49002849002849,16.203388916040865,88.61568115957233,3.8981108961812367,4.102984151137311,1.0322454484613326
close,raw,m05_joint_grw_smile_supremacy_w020,market,totals,200,51.0,11.705086899489269,11.384318840427701,2.9970482952957838,2.108358174837536,1.0354776862307828
close,raw,m05_joint_grw_smile_supremacy_w020,family,1X2_away,333,25.825825825825827,23.045929760685052,30.3291360327701,5.275417585085735,4.6995909019455455,1.0756097886882903
close,raw,m05_joint_grw_smile_supremacy_w020,family,1X2_draw,473,25.792811839323466,6.812065533401619,24.57267973010313,2.0657135429853852,4.014950755953994,1.0268089666489328
close,raw,m05_joint_grw_smile_supremacy_w020,family,1X2_home,247,37.24696356275304,16.892767881132794,33.71386539669908,5.5502599676648,3.4672341426456708,0.8522265738338805
close,raw,m05_joint_grw_smile_supremacy_w020,family,O/U 1.5_over_15,42,69.04761904761905,-6.895041352683774,2.3491696619078297,0.7072243532034083,1.357684168649762,1.3028549898369584
close,raw,m05_joint_grw_smile_supremacy_w020,family,O/U 2.5_under_25,158,46.20253164556962,16.541183806608373,9.035149178519871,3.605735672307681,2.307904429646944,1.1972653352996185
close,raw,m05_joint_grw_smile_supremacy_w040,market,1X2,1051,29.1151284490961,16.15761901406571,87.57237692619367,3.5963704163271935,4.079666170898314,1.006417592918062
close,raw,m05_joint_grw_smile_supremacy_w040,market,totals,199,50.753768844221106,12.673452416497263,12.427623073806346,2.9804258095324365,2.108674148668535,1.0040809008602236
close,raw,m05_joint_grw_smile_supremacy_w040,family,1X2_away,326,26.07361963190184,23.571975714922704,30.163493340601697,4.943266235666685,4.698943370904474,1.074796030570412
close,raw,m05_joint_grw_smile_supremacy_w040,family,1X2_draw,470,26.382978723404253,5.783506614086706,24.45247621422929,2.0126108399611202,4.0139889536603635,0.9537270216351669
close,raw,m05_joint_grw_smile_supremacy_w040,family,1X2_home,255,38.03921568627451,17.068817780202373,32.95640737136262,4.7935428233365265,3.409014895995679,0.8574879778696681
close,raw,m05_joint_grw_smile_supremacy_w040,family,O/U 1.5_over_15,42,69.04761904761905,-5.965431525323249,2.5082813527997256,0.40213224456702956,1.3517023294203432,0.9613341403727105
close,raw,m05_joint_grw_smile_supremacy_w040,family,O/U 2.5_under_25,157,45.85987261146497,17.386624554650222,9.919341721006623,3.6701603937906975,2.3111761640088146,1.1970663513862534
close,raw,m05_joint_grw_smile_spine_w020,market,1X2,986,29.61460446247465,16.11482289052103,79.67753316653987,3.980459865009292,4.0522612049224795,1.019136328367552
close,raw,m05_joint_grw_smile_spine_w020,market,totals,239,48.95397489539749,7.197816062897926,20.32246683346011,3.722080769111089,2.2327940572453633,1.000670740485032
close,raw,m05_joint_grw_smile_spine_w020,family,1X2_away,361,25.20775623268698,19.4408194129657,30.89753200615344,5.554417373165569,4.577308335570527,1.105148734998805
close,raw,m05_joint_grw_smile_spine_w020,family,1X2_draw,334,26.34730538922156,6.723222350079112,13.300423828975736,0.9883147230459837,4.126957302439948,0.9691581827704357
close,raw,m05_joint_grw_smile_spine_w020,family,1X2_home,291,38.83161512027492,16.73904632500149,35.47957733141071,5.462170576250977,3.3151804120194575,0.8304611281649024
close,raw,m05_joint_grw_smile_spine_w020,family,O/U 1.5_over_15,2,100.0,41.53044069919335,0.1268732519338204,1.557675681809051,1.43,NaN
close,raw,m05_joint_grw_smile_spine_w020,family,O/U 2.5_under_25,237,48.52320675105485,6.982130808713842,20.19559358152629,3.7403457909448616,2.239568690639839,1.0107931298394173
close,raw,m05_joint_grw_smile_spine_w040,market,1X2,995,29.447236180904525,16.612407908223283,78.03447462564034,3.618233289287841,4.019006420390827,1.0323191976989172
close,raw,m05_joint_grw_smile_spine_w040,market,totals,237,49.36708860759494,7.1924117786604,21.96552537435978,3.7756532937423373,2.2313608897136135,1.0113932605635236
close,raw,m05_joint_grw_smile_spine_w040,family,1X2_away,366,25.136612021857925,20.8827213889248,30.513206543514556,5.072865027046201,4.54469815513317,1.1251330411425353
close,raw,m05_joint_grw_smile_spine_w040,family,1X2_draw,327,25.688073394495415,7.001470026699312,12.677685074965813,0.9278812012505953,4.133249606744299,0.8803904168188782
close,raw,m05_joint_grw_smile_spine_w040,family,1X2_home,302,38.741721854304636,16.369708599617667,34.843583007159864,4.768398576601149,3.2582094109428765,0.8518892479108786
close,raw,m05_joint_grw_smile_spine_w040,family,O/U 1.5_over_15,2,100.0,41.27754036751851,0.10300835547936844,1.005652679558422,1.43,NaN
close,raw,m05_joint_grw_smile_spine_w040,family,O/U 2.5_under_25,235,48.93617021276596,7.031814852002368,21.862517018880407,3.799227767054541,2.238180982392027,1.0243244465085386
t25,raw,m05_joint_grw_baseline,market,1X2,896,28.90625,12.816930115175504,74.06913964647869,3.915994942035559,3.9305563843987237,1.0337114804267356
t25,raw,m05_joint_grw_baseline,market,totals,228,60.96491228070175,17.967081684592568,25.93086035352134,5.06474507696826,1.9415928771998656,1.085696456986378
t25,raw,m05_joint_grw_baseline,family,1X2_away,363,26.446280991735538,8.444221845071766,32.343233452162515,5.622978534904433,4.342692023882569,0.8575254040760124
t25,raw,m05_joint_grw_baseline,family,1X2_draw,252,23.809523809523807,0.8565192464157301,9.54092663687984,0.36522792740007143,4.16181784790215,1.888867347424569
t25,raw,m05_joint_grw_baseline,family,1X2_home,281,36.654804270462634,20.756687435446928,32.18497955743636,4.895205772913642,3.190758783204781,1.0605724511546433
t25,raw,m05_joint_grw_baseline,family,O/U 1.5_over_15,58,84.48275862068965,18.60293568407918,5.090014974684331,3.856999536028664,1.326452115545231,1.655232310683906
t25,raw,m05_joint_grw_baseline,family,O/U 2.5_under_25,170,52.94117647058824,17.81178537485714,20.840845378837002,5.4767994379947105,2.1514644311761537,1.1493597861615419
t25,t25_inv,m05_joint_grw_baseline,market,1X2,776,30.025773195876287,15.679300841550175,70.04566784869247,2.185547105549868,3.9161374342481494,0.9524395215871183
t25,t25_inv,m05_joint_grw_baseline,market,totals,193,61.6580310880829,21.386767114397323,29.954332151307494,3.065532145724273,1.9704590333593828,1.065893393010355
t25,t25_inv,m05_joint_grw_baseline,family,1X2_away,358,25.41899441340782,7.489989249012035,32.00638586992328,2.6955268268016948,4.351498702548487,0.926630826366342
t25,t25_inv,m05_joint_grw_baseline,family,1X2_draw,126,23.809523809523807,24.13118702058202,6.555663119297638,0.8649698446844647,4.464163673485933,1.154868465288348
t25,t25_inv,m05_joint_grw_baseline,family,1X2_home,292,38.35616438356164,22.2447007484051,31.483618859471555,2.130136128361123,3.145895515770478,0.9529070188565666
t25,t25_inv,m05_joint_grw_baseline,family,O/U 1.5_over_15,41,90.2439024390244,22.803972601171346,6.235449756565173,2.2071898765314306,1.3236494361224231,1.4681734587575133
t25,t25_inv,m05_joint_grw_baseline,family,O/U 2.5_under_25,152,53.94736842105263,21.01419839634225,23.71888239474234,3.2970586788618155,2.1449274115614583,1.1663673489041742
t25,raw,m05_joint_grw_supremacy_w040,market,1X2,864,30.09259259259259,14.95996377376745,70.96979215961156,3.5976460057242523,3.9456966974178567,0.9697577067988642
t25,raw,m05_joint_grw_supremacy_w040,market,totals,225,62.66666666666667,19.13648624492168,29.030207840388357,5.2659794844375325,1.9517790247296203,1.017018220132163
t25,raw,m05_joint_grw_supremacy_w040,family,1X2_away,337,26.706231454005934,16.918715023355713,26.448976323150696,4.527841191412969,4.447566530635346,0.9230274238881064
t25,raw,m05_joint_grw_supremacy_w040,family,1X2_draw,231,26.83982683982684,17.469563249028866,9.060835593005034,0.6725278058849342,4.197627514000546,0.6925317216072537
t25,raw,m05_joint_grw_supremacy_w040,family,1X2_home,296,36.486486486486484,12.857705589720744,35.459980243455945,4.821384271216771,3.1777029392256413,0.9385592297664792
t25,raw,m05_joint_grw_supremacy_w040,family,O/U 1.5_over_15,53,86.79245283018868,21.594672441415987,4.91580650244931,3.7281128539102184,1.3210636212035152,1.5157615511987335
t25,raw,m05_joint_grw_supremacy_w040,family,O/U 2.5_under_25,172,55.23255813953488,18.635376243490875,24.114401337939043,5.739856992681416,2.1461273758161528,1.0963038505897698
t25,t25_inv,m05_joint_grw_supremacy_w040,market,1X2,772,31.73575129533679,16.60185029944422,69.1435904614015,1.9693408422846066,3.8686716756878288,0.9015491926438643
t25,t25_inv,m05_joint_grw_supremacy_w040,market,totals,191,62.30366492146597,21.065089951735736,30.856409538598434,2.9799979719104153,1.970732817267549,1.0045807186397546
t25,t25_inv,m05_joint_grw_supremacy_w040,family,1X2_away,351,26.780626780626783,13.962863359189965,27.85953790965079,2.1946063816849612,4.3403481684536604,0.9355010764451929
t25,t25_inv,m05_joint_grw_supremacy_w040,family,1X2_draw,111,27.927927927927925,27.035737510066163,5.479323881936258,0.8635024581517535,4.515554192526216,0.7926225143974738
t25,t25_inv,m05_joint_grw_supremacy_w040,family,1X2_home,310,38.70967741935484,17.0585025333231,35.80472866981449,2.11024360457242,3.102986487526967,0.8591907688358732
