team,surface,gamma_mean,gamma_sd,gamma_q05,gamma_q95,home_multiplier,p_above_base,model,fold
falkirk-fc,grass,0.16725811697546186,0.08042423069889239,0.055078379199573375,0.31321359040847896,1.1859877665058547,0.641,m05_joint_production_wealth_hier_ha,20
annan-athletic,grass,0.16636868062487217,0.07091410616240469,0.06585698821557057,0.29366673733356863,1.184032348179101,0.666,m05_joint_production_wealth_hier_ha,20
edinburgh-city-fc,turf,0.16573333757301673,0.06861480121787572,0.06664821637239551,0.2906953892677925,1.1830804009914841,0.6675,m05_joint_production_wealth_hier_ha,20
peterhead,grass,0.16387552539541558,0.06754250435639673,0.06586923289657907,0.2823684392307961,1.18079246751451,0.6635,m05_joint_production_wealth_hier_ha,20
elgin-city,grass,0.16233508228690788,0.06652226668772976,0.0638735711097432,0.2874909559804217,1.1788856539939339,0.658,m05_joint_production_wealth_hier_ha,20
east-fife,grass,0.15162901302715165,0.06476789937775876,0.0504200578059976,0.2645866398625582,1.1661900949273298,0.5825,m05_joint_production_wealth_hier_ha,20
queen-of-the-south,grass,0.15112906762072173,0.06716391905097671,0.04960799251633932,0.26811359165324233,1.1657965270850705,0.571,m05_joint_production_wealth_hier_ha,20
hamilton-academical,grass,0.15009569886458635,0.07322584045194705,0.04298714510988916,0.2764469748088778,1.1651135083254611,0.5615,m05_joint_production_wealth_hier_ha,20
arbroath,grass,0.14420723406893574,0.06815749662641551,0.03503317243398121,0.25636302832056823,1.1578226718917555,0.5485,m05_joint_production_wealth_hier_ha,20
stirling-albion,grass,0.1441727614236679,0.06559957687430606,0.04154413169015377,0.2554577213639657,1.1575916563950135,0.536,m05_joint_production_wealth_hier_ha,20
bonnyrigg-rose,grass,0.1429006561962916,0.06501670629794412,0.03855973109543894,0.2545954203685192,1.156066428214219,0.537,m05_joint_production_wealth_hier_ha,20
dunfermline-athletic,grass,0.1413013796746203,0.07690646708543354,0.026769318227735595,0.2681464793963449,1.1552152352453962,0.5115,m05_joint_production_wealth_hier_ha,20
montrose,turf,0.14004424351416284,0.06643815210615221,0.03492521004782516,0.250632321720122,1.1528770765901901,0.5185,m05_joint_production_wealth_hier_ha,20
airdrieonians,turf,0.13932900102267792,0.07894933655593413,0.013687513073911167,0.2670842398364976,1.1531092670364365,0.5025,m05_joint_production_wealth_hier_ha,20
albion-rovers,grass,0.13621881662566118,0.0781367968751497,0.008803943918557074,0.2586909653661537,1.149421487064491,0.4995,m05_joint_production_wealth_hier_ha,20
clyde-fc,turf,0.1354704835346239,0.06510967583643065,0.029542446605843035,0.2412660356338568,1.1475047195140158,0.4775,m05_joint_production_wealth_hier_ha,20
dumbarton,grass,0.1292160105657401,0.06397700088808149,0.019845142917945067,0.23199366043632075,1.140268042321634,0.4245,m05_joint_production_wealth_hier_ha,20
