team,surface,gamma_mean,gamma_sd,gamma_q05,gamma_q95,home_multiplier,p_above_base,model,fold
inverness-caledonian-thistle,grass,0.12479152033944431,0.06734889519611816,0.011411442994278839,0.22325288209859714,1.1354683347680266,0.406,m05_joint_production_wealth_hier_ha,20
stenhousemuir,grass,0.12368124374796903,0.06653317992743578,0.006996755957170013,0.22932635043890173,1.1341465851962602,0.4045,m05_joint_production_wealth_hier_ha,20
alloa-athletic,turf,0.12134111224467196,0.06666730134912598,0.00028042486130237944,0.21916157159769112,1.1314967958515603,0.4045,m05_joint_production_wealth_hier_ha,20
cove-rangers,turf,0.11827536159467603,0.06557584131773556,0.003036953799741992,0.2166746118187134,1.1279471230329692,0.3735,m05_joint_production_wealth_hier_ha,20
forfar-athletic,grass,0.11816185922919019,0.06696119342829095,-0.002202031229772902,0.21975922890876617,1.1279260334345205,0.3925,m05_joint_production_wealth_hier_ha,20
the-spartans-fc,turf,0.11659931953748288,0.06522143396429225,0.001323760679861367,0.20988539394607358,1.126031820930027,0.3765,m05_joint_production_wealth_hier_ha,20
stranraer,grass,0.1151346026819967,0.06811221022694784,-0.0070669083397369,0.21265574591153633,1.1245963643174475,0.3625,m05_joint_production_wealth_hier_ha,20
kelty-hearts-fc,grass,0.08433916101715297,0.08164915236338148,-0.06627950939619835,0.193331700786045,1.0915378269701306,0.2235,m05_joint_production_wealth_hier_ha,20
edinburgh-city-fc,turf,0.17097040944775335,0.06996495243819185,0.07439748908504523,0.30137054178667405,1.1894165772121323,0.6915,m12_joint_hybrid_synergy_hier_ha,20
peterhead,grass,0.16970159774927504,0.06821070109268564,0.07081618254194687,0.2989882366559355,1.1877567096040769,0.707,m12_joint_hybrid_synergy_hier_ha,20
elgin-city,grass,0.16598379982146172,0.06518725180775407,0.071578661347656,0.2896653408215845,1.1830987320473,0.6795,m12_joint_hybrid_synergy_hier_ha,20
annan-athletic,grass,0.16501817496194174,0.067925934266076,0.07223683930156394,0.2858860732752086,1.1821859946107962,0.67,m12_joint_hybrid_synergy_hier_ha,20
montrose,turf,0.1528888687297389,0.06220528436844535,0.056914356678897125,0.25848908951755434,1.1674706472488392,0.6,m12_joint_hybrid_synergy_hier_ha,20
east-fife,grass,0.15109711376594107,0.06434551943226872,0.0509058005019391,0.2674451726707642,1.1655322690542038,0.589,m12_joint_hybrid_synergy_hier_ha,20
queen-of-the-south,grass,0.14983779858140694,0.0633503167573105,0.052265134195460416,0.25407059829458195,1.1639964566907324,0.5825,m12_joint_hybrid_synergy_hier_ha,20
stirling-albion,grass,0.14789220507832432,0.06343461733996993,0.051965503155697465,0.25491045949687474,1.1617405594410934,0.5525,m12_joint_hybrid_synergy_hier_ha,20
arbroath,grass,0.1421386432551672,0.06474752570568948,0.03993230242287617,0.2519842178976184,1.1551638205889154,0.5135,m12_joint_hybrid_synergy_hier_ha,20
hamilton-academical,grass,0.14115158359090463,0.06861519254304867,0.03139571989244704,0.2557593375904837,1.1543208522857447,0.512,m12_joint_hybrid_synergy_hier_ha,20
airdrieonians,turf,0.1407950555930531,0.07475745860285889,0.02373879517752684,0.26763522979328186,1.1544419416866805,0.5035,m12_joint_hybrid_synergy_hier_ha,20
dunfermline-athletic,grass,0.14068839618849366,0.07622441840357985,0.015466009898190101,0.2647144181377543,1.154439378478083,0.5215,m12_joint_hybrid_synergy_hier_ha,20
falkirk-fc,grass,0.13781856630933872,0.06928819327877554,0.027229354075644342,0.25116406773218897,1.150531897202758,0.492,m12_joint_hybrid_synergy_hier_ha,20
clyde-fc,turf,0.13697550979828207,0.06214823948634153,0.03775398227881926,0.24102503761251412,1.1490179861914636,0.4845,m12_joint_hybrid_synergy_hier_ha,20
albion-rovers,grass,0.13637685485645773,0.0748050951549624,0.01879002808900835,0.2517998502164916,1.1493263212000688,0.505,m12_joint_hybrid_synergy_hier_ha,20
bonnyrigg-rose,grass,0.13450638467483025,0.06317904082562083,0.030505979665636684,0.23837643445098264,1.146256828272149,0.4805,m12_joint_hybrid_synergy_hier_ha,20
cove-rangers,turf,0.1344241971868026,0.06216873218862606,0.03449902988428693,0.23871123238215267,1.146088082378973,0.4655,m12_joint_hybrid_synergy_hier_ha,20
dumbarton,grass,0.13117636080389383,0.061874135203806746,0.025132515909692798,0.23280634094885358,1.1423462584886357,0.449,m12_joint_hybrid_synergy_hier_ha,20
alloa-athletic,turf,0.12514975134165618,0.06455967448153224,0.012532567150265286,0.22822671514133344,1.1356697004175904,0.4235,m12_joint_hybrid_synergy_hier_ha,20
inverness-caledonian-thistle,grass,0.12433853073403052,0.0640654440942892,0.013144241523683809,0.2212579536874902,1.1347109961529172,0.416,m12_joint_hybrid_synergy_hier_ha,20
stranraer,grass,0.11913144862619482,0.06423980952770315,0.005046037309409186,0.21492679412256782,1.12881660777487,0.3795,m12_joint_hybrid_synergy_hier_ha,20
the-spartans-fc,turf,0.11767567711734193,0.06402803390322782,0.007568932618743279,0.21488267414523995,1.1271706525237424,0.363,m12_joint_hybrid_synergy_hier_ha,20
forfar-athletic,grass,0.11576047646357698,0.06495004191313314,-0.002576410719285189,0.21513567327467434,1.1250748952299472,0.3495,m12_joint_hybrid_synergy_hier_ha,20
stenhousemuir,grass,0.11002294267906233,0.06911102100563321,-0.013437730740765012,0.20785976619398588,1.1189272409918862,0.314,m12_joint_hybrid_synergy_hier_ha,20
kelty-hearts-fc,grass,0.08896676360910358,0.07805843647030004,-0.058496438202759383,0.18994280150785053,1.0962979410116263,0.2345,m12_joint_hybrid_synergy_hier_ha,20
airdrieonians,turf,0.2642731125306114,0.11304924896197778,0.10296753579059817,0.4623752272273331,1.3110089284951105,0.911,m12_joint_hybrid_synergy_grw_hier_ha,20
annan-athletic,grass,0.23893691360056515,0.07578280730768444,0.11987749800246594,0.3703961788811133,1.2735682386290987,0.9395,m12_joint_hybrid_synergy_grw_hier_ha,20
elgin-city,grass,0.22249851059130799,0.071625155094288,0.10956489228954977,0.3475508738008809,1.2524163754565958,0.911,m12_joint_hybrid_synergy_grw_hier_ha,20
stirling-albion,grass,0.20158436807347596,0.07008089507311874,0.0929188414895758,0.32336634262993824,1.2263619058350168,0.85,m12_joint_hybrid_synergy_grw_hier_ha,20
queen-of-the-south,grass,0.1872851090999978,0.07145683913047861,0.07905433664923599,0.3083656983213692,1.2090669243809904,0.796,m12_joint_hybrid_synergy_grw_hier_ha,20
montrose,turf,0.18302426483326065,0.06743301451599205,0.0772901454841231,0.29698740017020797,1.203582285327698,0.7795,m12_joint_hybrid_synergy_grw_hier_ha,20
bonnyrigg-rose,grass,0.17537910270873636,0.06693302068759718,0.07372681990674639,0.29292897097721177,1.1943785860720828,0.742,m12_joint_hybrid_synergy_grw_hier_ha,20
edinburgh-city-fc,turf,0.17070931153942645,0.06989429307439746,0.05918213800146943,0.2892671999687125,1.1890534967319486,0.713,m12_joint_hybrid_synergy_grw_hier_ha,20
stranraer,grass,0.1680856667859053,0.06914260826030952,0.059422828028825286,0.2826798368928559,1.1858855334021607,0.7015,m12_joint_hybrid_synergy_grw_hier_ha,20
peterhead,grass,0.15026925372804062,0.06874518462039919,0.041761115522144995,0.2630629553885405,1.164903779968252,0.606,m12_joint_hybrid_synergy_grw_hier_ha,20
dunfermline-athletic,grass,0.1412212069579045,0.09287601220067056,-0.013579941399639188,0.2909300660650025,1.156668237255705,0.544,m12_joint_hybrid_synergy_grw_hier_ha,20
forfar-athletic,grass,0.13108369641262146,0.06860045541471296,0.018539997536306918,0.25094498120563546,1.142756575495971,0.51,m12_joint_hybrid_synergy_grw_hier_ha,20
dumbarton,grass,0.12080376859190184,0.06729597552081217,0.009271770539240057,0.23191292008611628,1.1309610204210039,0.4385,m12_joint_hybrid_synergy_grw_hier_ha,20
east-fife,grass,0.11049440940859913,0.06899363762313142,-0.002383796645678325,0.22396593355469047,1.1194897277482323,0.392,m12_joint_hybrid_synergy_grw_hier_ha,20
falkirk-fc,grass,0.10890323972624741,0.07397859777869015,-0.014799138915534948,0.2267695179468333,1.1180938515652732,0.3905,m12_joint_hybrid_synergy_grw_hier_ha,20
hamilton-academical,grass,0.09933956340477942,0.08073680315332278,-0.038185443854816516,0.2280906815082555,1.108026914850811,0.351,m12_joint_hybrid_synergy_grw_hier_ha,20
cove-rangers,turf,0.09511817782245145,0.06992480625932575,-0.025768283885367366,0.20889710710717724,1.1024694851412205,0.3125,m12_joint_hybrid_synergy_grw_hier_ha,20
albion-rovers,grass,0.08624148293861339,0.09815327512307889,-0.08829734196428249,0.23998463098411776,1.0952632379704363,0.323,m12_joint_hybrid_synergy_grw_hier_ha,20
stenhousemuir,grass,0.08556858847348889,0.06567585784064935,-0.02938342496464618,0.1903375047281787,1.0916811029920672,0.2465,m12_joint_hybrid_synergy_grw_hier_ha,20
clyde-fc,turf,0.08433361437091201,0.0676829695033362,-0.02790067012728257,0.19499454728832802,1.090479350983931,0.2445,m12_joint_hybrid_synergy_grw_hier_ha,20
arbroath,grass,0.08142950846790652,0.08455700778898984,-0.06337229617082181,0.21279624451989299,1.0886901199695402,0.282,m12_joint_hybrid_synergy_grw_hier_ha,20
alloa-athletic,turf,0.063552408416702,0.0720373265987149,-0.06102016557182448,0.17076691592291726,1.0683564198003952,0.1685,m12_joint_hybrid_synergy_grw_hier_ha,20
inverness-caledonian-thistle,grass,0.05233734861692617,0.08558518300283657,-0.09461410173849236,0.1859253430248357,1.0575642937653917,0.169,m12_joint_hybrid_synergy_grw_hier_ha,20
the-spartans-fc,turf,0.021677528101854037,0.08027655920197672,-0.12107927622672307,0.1476368425927121,1.0251911365893094,0.0755,m12_joint_hybrid_synergy_grw_hier_ha,20
kelty-hearts-fc,grass,-0.011997912230781931,0.08091407610727147,-0.14447100717649344,0.11822721603438754,0.991293397325707,0.0315,m12_joint_hybrid_synergy_grw_hier_ha,20
inverness-caledonian-thistle,grass,0.1524844074712,0.06414896000444195,0.0653708371322937,0.26742269691389925,1.1671657484764224,0.704,m05_joint_production_wealth_hier_ha,40
queen-of-the-south,grass,0.13721319857835682,0.05654230097292056,0.05216601766720429,0.23613219987102727,1.1489305930318654,0.635,m05_joint_production_wealth_hier_ha,40
peterhead,grass,0.13359559259068468,0.056108596382736166,0.04746451016198259,0.22986953641724944,1.1447516545913619,0.6135,m05_joint_production_wealth_hier_ha,40
montrose,turf,0.12815214678186393,0.05689882797826836,0.038857322998069065,0.22272543822543497,1.1385745049583411,0.5735,m05_joint_production_wealth_hier_ha,40
dumbarton,grass,0.12681444676521755,0.05725338162065415,0.03919705122543388,0.22705208330281726,1.1370780748286384,0.5545,m05_joint_production_wealth_hier_ha,40
falkirk-fc,grass,0.12635075728116196,0.06451202229997584,0.030859744688224652,0.23531772993067845,1.137061060946,0.534,m05_joint_production_wealth_hier_ha,40
annan-athletic,grass,0.12528029908945318,0.053218811908141796,0.04018900781451892,0.2139456070148215,1.135080328939503,0.5475,m05_joint_production_wealth_hier_ha,40
alloa-athletic,turf,0.12454050367138773,0.05573131308548348,0.037831481397027945,0.2185630273625548,1.1343893785673023,0.544,m05_joint_production_wealth_hier_ha,40
arbroath,grass,0.12426353283790251,0.06001759836787216,0.029543053576773018,0.22341727322857063,1.134371319862173,0.532,m05_joint_production_wealth_hier_ha,40
edinburgh-city-fc,turf,0.12381312024710221,0.055327923827029606,0.03500557094263554,0.21679063193284198,1.1335460405296645,0.527,m05_joint_production_wealth_hier_ha,40
east-kilbride,turf,0.12365266588262595,0.05721596862366739,0.035574362566988225,0.21651798484250145,1.1334820576972011,0.5235,m05_joint_production_wealth_hier_ha,40
stenhousemuir,grass,0.12301488229369877,0.055710562291697144,0.037967369114368474,0.21713716579587472,1.132662501728551,0.5255,m05_joint_production_wealth_hier_ha,40
bonnyrigg-rose,grass,0.11923339753322455,0.06004559225419556,0.02168398219707662,0.21679690320602624,1.128657597243106,0.495,m05_joint_production_wealth_hier_ha,40
clyde-fc,turf,0.11590029473331984,0.056293085898867716,0.023209856610838013,0.20523494799459036,1.1246580788042975,0.4685,m05_joint_production_wealth_hier_ha,40
elgin-city,grass,0.1157597941166383,0.055755193281013846,0.022308132101932176,0.20499346760202303,1.1244643260073182,0.4755,m05_joint_production_wealth_hier_ha,40
stranraer,grass,0.11536467637982566,0.05264004945960917,0.026878963005766605,0.19971129012861438,1.1238328124263666,0.4635,m05_joint_production_wealth_hier_ha,40
forfar-athletic,grass,0.11204139328832712,0.05763204026043412,0.017115638057545745,0.20281291442418364,1.1204103330753088,0.4425,m05_joint_production_wealth_hier_ha,40
east-fife,grass,0.11129988612502656,0.056164209488558645,0.015926489281471872,0.20162375753819592,1.1194862189741768,0.4365,m05_joint_production_wealth_hier_ha,40
stirling-albion,grass,0.10936896382944936,0.05622479505051377,0.013027778867566503,0.19428365988331311,1.1173259259604915,0.417,m05_joint_production_wealth_hier_ha,40
cove-rangers,turf,0.10580712244831444,0.05801730872540958,0.003565340242340925,0.19125255783142486,1.1134590521929166,0.4145,m05_joint_production_wealth_hier_ha,40
the-spartans-fc,turf,0.10311458752166831,0.05676732123157401,0.0042817484150957895,0.18777045732514347,1.1103878614930038,0.38,m05_joint_production_wealth_hier_ha,40
hamilton-academical,grass,0.09411110359774265,0.06204598653615123,-0.01714434471770869,0.18005053564176177,1.1007610650745336,0.3215,m05_joint_production_wealth_hier_ha,40
kelty-hearts-fc,grass,0.08959059710520549,0.06397418841265311,-0.02950855447511987,0.17837327904202438,1.0959203049894481,0.2945,m05_joint_production_wealth_hier_ha,40
inverness-caledonian-thistle,grass,0.14739284481632234,0.0602824540173912,0.062483940789966705,0.25751025170692493,1.16095192151855,0.6875,m12_joint_hybrid_synergy_hier_ha,40
montrose,turf,0.13692620144198517,0.056965877236879715,0.04811474381171833,0.2368647572526578,1.1486234707390464,0.615,m12_joint_hybrid_synergy_hier_ha,40
queen-of-the-south,grass,0.13499570732524774,0.056925294140911305,0.05363083760780288,0.23832862696936907,1.146404562884616,0.614,m12_joint_hybrid_synergy_hier_ha,40
annan-athletic,grass,0.1339394135562796,0.05478155542210119,0.047839462232798724,0.23071905279406213,1.1450552155033429,0.6075,m12_joint_hybrid_synergy_hier_ha,40
alloa-athletic,turf,0.12786114572782736,0.054886523646336415,0.04080147390197479,0.21856550121462248,1.1381174269686913,0.555,m12_joint_hybrid_synergy_hier_ha,40
east-kilbride,turf,0.12742126077213015,0.05521479994168837,0.041702337488009264,0.2218207726260394,1.137635101381584,0.553,m12_joint_hybrid_synergy_hier_ha,40
peterhead,grass,0.12686865925307486,0.05456262103737188,0.04001836410301952,0.21625642361298542,1.1369663028412385,0.5505,m12_joint_hybrid_synergy_hier_ha,40
dumbarton,grass,0.12651882110902268,0.0553803294845319,0.03652350408700794,0.21808013087040984,1.1366157578952825,0.545,m12_joint_hybrid_synergy_hier_ha,40
edinburgh-city-fc,turf,0.12463142556082338,0.054334830007189756,0.03698747709346725,0.21499050232935346,1.1344098042323212,0.5225,m12_joint_hybrid_synergy_hier_ha,40
falkirk-fc,grass,0.12238472921618147,0.06262640076037078,0.02735347290422246,0.2266088294155461,1.1324100073007652,0.5175,m12_joint_hybrid_synergy_hier_ha,40
bonnyrigg-rose,grass,0.1220107931734534,0.0575759464493381,0.03160865891082486,0.2164831732869566,1.131639286533499,0.5115,m12_joint_hybrid_synergy_hier_ha,40
arbroath,grass,0.12161232320103042,0.059353189904565805,0.02767805603454374,0.21651424213318593,1.131308155846828,0.5035,m12_joint_hybrid_synergy_hier_ha,40
stenhousemuir,grass,0.1204800704511907,0.053175490236010814,0.03189559356409197,0.20574308389135965,1.1296343797997583,0.5155,m12_joint_hybrid_synergy_hier_ha,40
stranraer,grass,0.11926995051847382,0.05371876739449588,0.03262758076639987,0.2076207371975776,1.1283017075275803,0.473,m12_joint_hybrid_synergy_hier_ha,40
clyde-fc,turf,0.11708995751554428,0.053086157082428205,0.030714887539694622,0.20242038126079528,1.125800370750606,0.4665,m12_joint_hybrid_synergy_hier_ha,40
stirling-albion,grass,0.11590935265713663,0.055400561742933674,0.027431862677557914,0.20466764868659187,1.1246223329417557,0.4595,m12_joint_hybrid_synergy_hier_ha,40
east-fife,grass,0.1115733398005213,0.0548293359468252,0.013550696896222209,0.1963817111672038,1.1197077263418824,0.429,m12_joint_hybrid_synergy_hier_ha,40
forfar-athletic,grass,0.11134738531281206,0.05584971654193392,0.014102982824965036,0.1970673323412964,1.1195165804840852,0.4395,m12_joint_hybrid_synergy_hier_ha,40
elgin-city,grass,0.10906141386531291,0.05444644714838782,0.015037603236819868,0.1938897054049924,1.116873828918036,0.41,m12_joint_hybrid_synergy_hier_ha,40
the-spartans-fc,turf,0.10893798988645623,0.05450626847228198,0.014738179150096587,0.19224142973360522,1.1167401167846014,0.405,m12_joint_hybrid_synergy_hier_ha,40
cove-rangers,turf,0.10628053143088088,0.056422804117437955,0.013042429337061245,0.1931454073321203,1.1138927605070248,0.3695,m12_joint_hybrid_synergy_hier_ha,40
kelty-hearts-fc,grass,0.09447534380255351,0.061599962463435846,-0.020539969434644176,0.18084722101857767,1.1011349683526248,0.331,m12_joint_hybrid_synergy_hier_ha,40
hamilton-academical,grass,0.09356915554402974,0.06359312080712444,-0.02132527036650178,0.18390487010273457,1.1002593506083709,0.318,m12_joint_hybrid_synergy_hier_ha,40
annan-athletic,grass,0.2294037104993092,0.06489607611901647,0.12500503491257026,0.33739177254157954,1.2605135239059828,0.963,m12_joint_hybrid_synergy_grw_hier_ha,40
queen-of-the-south,grass,0.19193777879930587,0.06275621060266232,0.0950424018895612,0.30390873467558743,1.2139948291981666,0.8885,m12_joint_hybrid_synergy_grw_hier_ha,40
peterhead,grass,0.19183502950839193,0.06232247136150199,0.09468330901191355,0.2953342480786454,1.2138331031148863,0.884,m12_joint_hybrid_synergy_grw_hier_ha,40
bonnyrigg-rose,grass,0.18319717157827264,0.06895905066131988,0.07751227510073881,0.2970128224539909,1.2039214980042765,0.8395,m12_joint_hybrid_synergy_grw_hier_ha,40
edinburgh-city-fc,turf,0.1759604869467893,0.06177176780764243,0.07950587728364815,0.27985555987251576,1.1946744236872402,0.8275,m12_joint_hybrid_synergy_grw_hier_ha,40
elgin-city,grass,0.16238938670744427,0.06088185742097065,0.06626115630138744,0.26493762093045836,1.178507118092463,0.7725,m12_joint_hybrid_synergy_grw_hier_ha,40
montrose,turf,0.15961448129571026,0.06106029586399597,0.06543123028474784,0.26197728798406034,1.1752544547078396,0.75,m12_joint_hybrid_synergy_grw_hier_ha,40
stirling-albion,grass,0.15693052046744832,0.059735228025029063,0.06072861621508643,0.2543049248521765,1.1720046205710442,0.751,m12_joint_hybrid_synergy_grw_hier_ha,40
dumbarton,grass,0.1473718750209881,0.059505219413970745,0.04702246395488964,0.24510026858905973,1.160836140391102,0.6865,m12_joint_hybrid_synergy_grw_hier_ha,40
forfar-athletic,grass,0.12510660717202998,0.05870564547750307,0.02858575769595706,0.22207901632815913,1.1352250344439792,0.55,m12_joint_hybrid_synergy_grw_hier_ha,40
inverness-caledonian-thistle,grass,0.12394972222485837,0.06438383477040614,0.015360192065288516,0.2289272910497437,1.1343048982312074,0.541,m12_joint_hybrid_synergy_grw_hier_ha,40
stranraer,grass,0.12198993790293622,0.059255293025632455,0.026808840987449435,0.21744820277058055,1.1317264844410517,0.5365,m12_joint_hybrid_synergy_grw_hier_ha,40
east-fife,grass,0.10230949068167206,0.060876424011134536,0.0042230404294905976,0.20243032475168665,1.1097779224713469,0.396,m12_joint_hybrid_synergy_grw_hier_ha,40
falkirk-fc,grass,0.10079637804739504,0.07191283096471175,-0.02464896111931608,0.21653861432096824,1.1089003270762368,0.4185,m12_joint_hybrid_synergy_grw_hier_ha,40
east-kilbride,turf,0.09958375972055168,0.07572089502161033,-0.02371357771298224,0.22212409195937532,1.1078761011868345,0.408,m12_joint_hybrid_synergy_grw_hier_ha,40
stenhousemuir,grass,0.09548392211817987,0.05921117911122526,-0.002593532644113573,0.19077549146278527,1.1021186078114906,0.373,m12_joint_hybrid_synergy_grw_hier_ha,40
cove-rangers,turf,0.09388160750104933,0.05896090775865258,-0.0021818654732302183,0.18635519100051054,1.100333170828759,0.349,m12_joint_hybrid_synergy_grw_hier_ha,40
arbroath,grass,0.07500907568144757,0.07366923769600617,-0.04972338565576021,0.193008057985573,1.0808087486956186,0.2775,m12_joint_hybrid_synergy_grw_hier_ha,40
alloa-athletic,turf,0.07404601833574827,0.062044243048344126,-0.029862932670769927,0.17284316712349027,1.0789222031250554,0.2485,m12_joint_hybrid_synergy_grw_hier_ha,40
hamilton-academical,grass,0.045618011900404855,0.0705166168255661,-0.07414994189031576,0.15569999934010975,1.0492686744277429,0.1445,m12_joint_hybrid_synergy_grw_hier_ha,40
clyde-fc,turf,0.04507059380713642,0.06309582290387071,-0.06009887029441778,0.14193312548093298,1.048175415537648,0.1125,m12_joint_hybrid_synergy_grw_hier_ha,40
the-spartans-fc,turf,0.014423287345461923,0.06738156478251053,-0.09601274395006648,0.12259572520778854,1.0168213536316317,0.056,m12_joint_hybrid_synergy_grw_hier_ha,40
kelty-hearts-fc,grass,-0.022729198863413933,0.07008339509220861,-0.13921385309725845,0.0890328970093973,0.9799174253032197,0.0145,m12_joint_hybrid_synergy_grw_hier_ha,40
