model,fold,n_turf,n_grass,delta_mean,delta_q05,delta_q95,p_turf_above,gamma_base_mean,sigma_q05,sigma_q50,sigma_q95,p_sigma_below_0p02,prior_p_sigma_below_0p02
m05_joint_production_wealth_hier_ha,20,7,18,-0.005995583731562627,-0.05581483254849293,0.032325085825631504,0.423,0.13818137650258724,0.004999313509457833,0.04896154623622413,0.12187229614946557,0.201,0.15851941887820598
m12_joint_hybrid_synergy_hier_ha,20,7,18,0.0025283885207735956,-0.033595987686871824,0.04352292546918633,0.5305,0.13835477531040566,0.004571790130669538,0.04683243582562183,0.11612110207518485,0.2165,0.15851941887820598
m12_joint_hybrid_synergy_grw_hier_ha,20,7,18,-0.004427422701743877,-0.0578035943333869,0.05041146736154035,0.432,0.13062787706413362,0.0463116408627828,0.09795927798657855,0.14913003104908557,0.008,0.15851941887820598
m05_joint_production_wealth_hier_ha,40,7,16,-0.0018823343000114918,-0.038464752346558925,0.031065495520275516,0.4765,0.1195948591897019,0.0044202580808082375,0.03687713259275631,0.09666913916579606,0.27,0.15851941887820598
m12_joint_hybrid_synergy_hier_ha,40,7,16,0.0018438488584987262,-0.03054138466373724,0.03635958972313129,0.519,0.12040662480698132,0.003825790212310952,0.035961715385630394,0.09500555270758172,0.2945,0.15851941887820598
m12_joint_hybrid_synergy_grw_hier_ha,40,7,16,-0.03225814443649587,-0.08361637960054569,0.012887797573772395,0.1335,0.11715983395139497,0.04836003101655888,0.08667036569251307,0.13101576710949422,0.0055,0.15851941887820598
