left,right,scope,cut,n_obs,n_fixtures,delta,lo,hi,p_negative,significant
m05_joint_production_wealth_hier_ha,m05_joint_td_raw,all,all fixtures,2899,627,-0.0002674395800024351,-0.0009248345810112329,0.0003840126664777413,0.7901,false
m05_joint_production_wealth_hier_ha,m05_joint_td_raw,all,excluding T003,2889,625,-0.0002074113514462613,-0.0008616776779247562,0.0004192680989039406,0.7368,false
m05_joint_production_wealth_hier_ha,m05_joint_td_raw,all,turf home,813,178,0.0009511470835194695,5.322397759103491e-5,0.0018102460109613223,0.0196,true
m05_joint_production_wealth_hier_ha,m05_joint_td_raw,all,grass home,2086,449,-0.000742372924893762,-0.0015849022214408446,6.339793711984477e-5,0.9621,false
m05_joint_production_wealth_hier_ha,m05_joint_td_raw,all,turf home excluding T003,813,178,0.0009511470835194695,5.322397759103491e-5,0.0018102460109613223,0.0196,true
m05_joint_production_wealth_hier_ha,m05_joint_td_raw,all,grass home excluding T003,2076,447,-0.0006611242645614534,-0.0015116077771258705,0.00014724064847254084,0.9456,false
m05_joint_production_wealth_hier_ha,betfair_close,all,all fixtures,2899,627,0.00090338766455518,-0.005339833825506969,0.007176949575629972,0.3823,false
m05_joint_td_raw,betfair_close,all,all fixtures,2899,627,0.0011708272445576143,-0.005134897400189329,0.007532949709841442,0.3511,false
m12_joint_hybrid_synergy_hier_ha,m12_hybrid_td_raw,all,all fixtures,2899,627,-4.1513526663063184e-5,-0.0005524023589973821,0.0004649137339029355,0.5628,false
m12_joint_hybrid_synergy_hier_ha,m12_hybrid_td_raw,all,excluding T003,2889,625,2.0863498158861743e-5,-0.0004954591630503309,0.0005182882684334621,0.4663,false
m12_joint_hybrid_synergy_hier_ha,m12_hybrid_td_raw,all,turf home,813,178,0.0005203405349811486,-0.00018550932010163974,0.0012133173522844334,0.0742,false
m12_joint_hybrid_synergy_hier_ha,m12_hybrid_td_raw,all,grass home,2086,449,-0.00026049116430292127,-0.0009173910323591185,0.0003764635554941969,0.788,false
m12_joint_hybrid_synergy_hier_ha,m12_hybrid_td_raw,all,turf home excluding T003,813,178,0.0005203405349811486,-0.00018550932010163974,0.0012133173522844334,0.0742,false
m12_joint_hybrid_synergy_hier_ha,m12_hybrid_td_raw,all,grass home excluding T003,2076,447,-0.00017474094834235175,-0.000811320371211806,0.00045475178542750297,0.7048,false
m12_joint_hybrid_synergy_hier_ha,betfair_close,all,all fixtures,2899,627,0.0015127311131502479,-0.005154868511203626,0.008247968453089833,0.3204,false
m12_hybrid_td_raw,betfair_close,all,all fixtures,2899,627,0.0015542446398133115,-0.005182453774451778,0.008376446177441333,0.3168,false
m12_joint_hybrid_synergy_grw_hier_ha,m12_grw_raw,all,all fixtures,2899,627,0.0006497807467654869,-0.0008363528094288108,0.002150270204205421,0.2006,false
m12_joint_hybrid_synergy_grw_hier_ha,m12_grw_raw,all,excluding T003,2889,625,0.0007247990828479856,-0.00076612362652482,0.0022368675875099153,0.1709,false
m12_joint_hybrid_synergy_grw_hier_ha,m12_grw_raw,all,turf home,813,178,0.0027099335283523474,4.0778163977874175e-5,0.00524510285353677,0.0225,true
m12_joint_hybrid_synergy_grw_hier_ha,m12_grw_raw,all,grass home,2086,449,-0.00015314552908787788,-0.0019342619644531116,0.0016336884798926336,0.5745,false
m12_joint_hybrid_synergy_grw_hier_ha,m12_grw_raw,all,turf home excluding T003,813,178,0.0027099335283523474,4.0778163977874175e-5,0.00524510285353677,0.0225,true
m12_joint_hybrid_synergy_grw_hier_ha,m12_grw_raw,all,grass home excluding T003,2076,447,-5.2616285261381715e-5,-0.001838713698811157,0.0017632218900427076,0.5296,false
m12_joint_hybrid_synergy_grw_hier_ha,betfair_close,all,all fixtures,2899,627,0.003201219104442836,-0.0033780974785138545,0.009758261525870978,0.1653,false
m12_grw_raw,betfair_close,all,all fixtures,2899,627,0.002551438357677349,-0.003789746504262564,0.008905443588136613,0.2099,false
m05_joint_production_wealth_hier_ha,m05_joint_td_raw,1X2,all fixtures,1785,595,-5.7841978617152575e-5,-0.0006397919194343235,0.0005214347211891002,0.5784,false
m05_joint_production_wealth_hier_ha,m05_joint_td_raw,1X2,excluding T003,1779,593,5.934560651304662e-6,-0.0005605712281406011,0.0005708211645471266,0.4938,false
m05_joint_production_wealth_hier_ha,m05_joint_td_raw,1X2,turf home,495,165,0.0007946635995567298,-6.82446709897657e-5,0.0016468887072663674,0.0357,false
m05_joint_production_wealth_hier_ha,m05_joint_td_raw,1X2,grass home,1290,430,-0.00038496621210247945,-0.0011127180187443682,0.0003291504507882508,0.8507,false
