model,scope,n_obs,logloss,market_logloss,brier,market_brier,ece,market_ece,mce,market_mce,rps,market_rps,dynamics,role
m05_joint_production_wealth_hier_ha,all,2899,0.6427189430154163,0.6418155553508617,0.22573961060057715,0.2252928320612554,0.011441760930676342,0.01390748520485936,0.01850073051944706,0.32902138777066514,0.22416260535728164,0.2111040320023605,TimeDecay(180),candidate
m05_joint_production_wealth_hier_ha,1X2,1785,0.6160484128082735,0.6131180107974481,0.2129838774095214,0.21156444032291422,0.018423765880602766,0.018580646181840455,0.04390157971454728,0.32902138777066514,0.22416260535728164,0.2111040320023605,TimeDecay(180),candidate
m05_joint_production_wealth_hier_ha,OU2.5,758,0.6862624522429317,0.6898782309589602,0.24658266290308165,0.24829171351414944,0.008704254888863509,0.01829866107755568,0.12510641704141778,0.7079376625841927,0.22416260535728164,0.2111040320023605,TimeDecay(180),candidate
m05_joint_production_wealth_hier_ha,BTTS,356,0.6837327531988283,0.6833706365781275,0.24531812211949752,0.2451580767568855,0.016362051678172052,0.03004396402078209,0.0894182455601058,0.07307236039881282,0.22416260535728164,0.2111040320023605,TimeDecay(180),candidate
m12_joint_hybrid_synergy_hier_ha,all,2899,0.6433282864640121,0.6418155553508617,0.22602898157878618,0.2252928320612554,0.006815467294738547,0.01390748520485936,0.18957751628158812,0.32902138777066514,0.22453902513294974,0.2111040320023605,TimeDecay(180),candidate
m12_joint_hybrid_synergy_hier_ha,1X2,1785,0.6164124675309306,0.6131180107974481,0.21314833583126508,0.21156444032291422,0.010685129401191727,0.018580646181840455,0.18957751628158812,0.32902138777066514,0.22453902513294974,0.2111040320023605,TimeDecay(180),candidate
m12_joint_hybrid_synergy_hier_ha,OU2.5,758,0.6870624841324925,0.6898782309589602,0.24697327461368052,0.24829171351414944,0.004055553896633176,0.01829866107755568,0.10363088158795608,0.7079376625841927,0.22453902513294974,0.2111040320023605,TimeDecay(180),candidate
m12_joint_hybrid_synergy_hier_ha,BTTS,356,0.6851659689439114,0.6833706365781275,0.24601824713742151,0.2451580767568855,0.020710225631404122,0.03004396402078209,0.021120976931257807,0.07307236039881282,0.22453902513294974,0.2111040320023605,TimeDecay(180),candidate
m12_joint_hybrid_synergy_grw_hier_ha,all,2899,0.6450167744553049,0.6418155553508617,0.22689016223575412,0.2252928320612554,0.011053003227585689,0.01390748520485936,0.7139113787692052,0.32902138777066514,0.22514438771212003,0.2111040320023605,MultiScaleGRW,candidate
m12_joint_hybrid_synergy_grw_hier_ha,1X2,1785,0.6173946734444823,0.6131180107974481,0.21368067907311106,0.21156444032291422,0.008058707571653521,0.018580646181840455,0.12332969403923988,0.32902138777066514,0.22514438771212003,0.2111040320023605,MultiScaleGRW,candidate
m12_joint_hybrid_synergy_grw_hier_ha,OU2.5,758,0.6914442820930347,0.6898782309589602,0.24915263744036575,0.24829171351414944,0.030632052691614186,0.01829866107755568,0.7139544249322007,0.7079376625841927,0.22514438771212003,0.2111040320023605,MultiScaleGRW,candidate
m12_joint_hybrid_synergy_grw_hier_ha,BTTS,356,0.6846611551151895,0.6833706365781275,0.2457215421240165,0.2451580767568855,0.06099353129951908,0.03004396402078209,0.11878753080026566,0.07307236039881282,0.22514438771212003,0.2111040320023605,MultiScaleGRW,candidate
m05_joint_td_raw,all,2899,0.6429863825954205,0.6418155553508617,0.22586363000096762,0.2252928320612554,0.014930352713004068,0.01390748520485936,0.0648855921264766,0.32902138777066514,0.2241528100882081,0.2111040320023605,TimeDecay(180),control
m05_joint_td_raw,1X2,1785,0.6161062547868922,0.6131180107974481,0.21299474848375488,0.21156444032291422,0.021580989763383445,0.018580646181840455,0.39588365808277426,0.32902138777066514,0.2241528100882081,0.2111040320023605,TimeDecay(180),control
m05_joint_td_raw,OU2.5,758,0.6870021910261978,0.6898782309589602,0.2469525306421488,0.24829171351414944,0.010003344770432063,0.01829866107755568,0.13850227994032938,0.7079376625841927,0.2241528100882081,0.2111040320023605,TimeDecay(180),control
m05_joint_td_raw,BTTS,356,0.6840454987406277,0.6833706365781275,0.24548600871503987,0.2451580767568855,0.004039125069518659,0.03004396402078209,0.010558054203671452,0.07307236039881282,0.2241528100882081,0.2111040320023605,TimeDecay(180),control
m12_hybrid_td_raw,all,2899,0.6433697999906764,0.6418155553508617,0.22604583756864916,0.2252928320612554,0.00995616723169428,0.01390748520485936,0.19640169051638687,0.32902138777066514,0.22447242161176623,0.2111040320023605,TimeDecay(180),control
m12_hybrid_td_raw,1X2,1785,0.6163628377808433,0.6131180107974481,0.21311380224484566,0.21156444032291422,0.015540487807250399,0.018580646181840455,0.19640169051638687,0.32902138777066514,0.22447242161176623,0.2111040320023605,TimeDecay(180),control
m12_hybrid_td_raw,OU2.5,758,0.6873233182836874,0.6898782309589602,0.24710668204282463,0.24829171351414944,0.010027086429431106,0.01829866107755568,0.10781221674809816,0.7079376625841927,0.22447242161176623,0.2111040320023605,TimeDecay(180),control
m12_hybrid_td_raw,BTTS,356,0.6851974985256493,0.6833706365781275,0.2460446098764195,0.2451580767568855,0.008723662632660317,0.03004396402078209,0.3885780696472543,0.07307236039881282,0.22447242161176623,0.2111040320023605,TimeDecay(180),control
m12_grw_raw,all,2899,0.6443669937085393,0.6418155553508617,0.22658647922158026,0.2252928320612554,0.008626804472396374,0.01390748520485936,0.29520502821725225,0.32902138777066514,0.2249329946938164,0.2111040320023605,MultiScaleGRW,control
m12_grw_raw,1X2,1785,0.6170085958305986,0.6131180107974481,0.21349828472128515,0.21156444032291422,0.014035671593558308,0.018580646181840455,0.0543901595979539,0.32902138777066514,0.2249329946938164,0.2111040320023605,MultiScaleGRW,control
m12_grw_raw,OU2.5,758,0.6897270450654828,0.6898782309589602,0.24833299640336687,0.24829171351414944,0.01327734213467759,0.01829866107755568,0.29520502821725225,0.7079376625841927,0.2249329946938164,0.2111040320023605,MultiScaleGRW,control
m12_grw_raw,BTTS,356,0.684961997314052,0.6833706365781275,0.24590829708459874,0.2451580767568855,0.040210337940266926,0.03004396402078209,0.10268053329853599,0.07307236039881282,0.2249329946938164,0.2111040320023605,MultiScaleGRW,control
