arm,label,fill_model,opening,final,net_pnl,roi_pct,growth_pct,total_staked,n_legs,n_bets,n_wins,win_rate_pct,sharpe,sharpe_ann,max_drawdown_pct,requested_stake,filled_stake,fill_rate_pct,n_clv,beat_close_pct,mean_clv,median_clv,reproduces_published,capture_ratio
m12_hybrid_grw_raw,m12 hybrid GRW (raw),touch_only,500.0,557.7060870695096,57.706087069509636,16.739935154019292,11.541217413901927,344.72109084397664,62,62,23,37.096774193548384,2.5822998043945606,16.68390653187591,0.0,511.92050737306954,356.68691465629377,69.67623088331426,62,33.87096774193548,-0.003020808386665148,-0.005924982452616329,—,1.2165433626608955
m12_hybrid_grw_raw,m12 hybrid GRW (raw),ladder_sweep_v1,500.0,595.5308537152331,95.53085371523309,21.986618103136806,19.10617074304661,434.495442942195,62,62,23,37.096774193548384,1.424635143330154,9.204384220955562,0.0,527.1339528888237,450.4076215996939,85.44462354043965,62,33.87096774193548,-0.0037345700859993847,-0.006157454310581206,—,1.2165433626608955
m12_hybrid_grw_cal_optB,m12 hybrid GRW (Option B cal),touch_only,500.0,506.77379720064295,6.773797200642946,3.884785186329328,1.3547594401285945,174.3673556128698,41,41,14,34.146341463414636,0.09800552720709124,0.63320109181269,-3.6319949574650296,259.7100247818837,183.68146073278484,70.72559516601213,41,36.58536585365854,-0.002062096605942173,-0.006483556292341042,—,0.9009696398075614
m12_hybrid_grw_cal_optB,m12 hybrid GRW (Option B cal),ladder_sweep_v1,500.0,491.121385894928,-8.878614105072018,-4.213642430683367,-1.7757228210144027,210.7111424647413,41,41,14,34.146341463414636,-0.09637971111417959,-0.6226969033811236,-7.211248924934768,256.9941355653318,226.65137146747261,88.19320758774839,41,36.58536585365854,-0.002723030015136891,-0.006483556292341097,—,0.9009696398075614
m05_wealth_grw_raw,m05 wealth GRW joint (raw),touch_only,500.0,588.4345544069009,88.43455440690093,25.15747935108138,17.686910881380193,351.52390735481066,64,64,27,42.1875,1.2302297440216068,7.948355968218943,-0.21182579172263502,503.87838771412225,364.5412224807388,72.34706456343648,64,31.25,-0.0049540837293706955,-0.005500209412372614,—,1.1907156812056208
m05_wealth_grw_raw,m05 wealth GRW joint (raw),ladder_sweep_v1,500.0,600.3321773785041,100.33217737850407,23.31847648774506,20.066435475700818,430.2690076310658,64,64,27,42.1875,0.7664914534766746,4.9522025852783615,-1.8977298313549857,511.4343742715956,447.9763283108778,87.59214297023011,64,31.25,-0.005566122587943001,-0.006145793437269315,—,1.1907156812056208
m10_lineup_grw_raw,m10 lineup GRW Poisson (raw),touch_only,500.0,518.5765433389258,18.57654333892583,5.441371022983363,3.7153086677851554,341.39453568708853,61,61,25,40.98360655737705,0.18083761997657158,1.168368577498844,-5.876880338434976,476.98081562012203,351.51876446774986,73.69662530572448,61,34.42622950819672,-0.0032310075617925905,-0.005101656928841125,—,1.1606495072890441
m10_lineup_grw_raw,m10 lineup GRW Poisson (raw),ladder_sweep_v1,500.0,529.0234170656014,29.023417065601393,6.982573858647147,5.804683413120282,415.6549956096647,62,62,25,40.32258064516129,0.18148918711376302,1.1725782688745876,-9.098248284591172,482.5682590069268,427.329201892577,88.55311013865152,62,33.87096774193548,-0.003964937569414823,-0.005500209412372614,—,1.192788512259837
m00_baseline_grw_raw,m00 baseline GRW (raw),touch_only,500.0,536.8524170168361,36.85241701683606,10.362041777263983,7.370483403367212,355.64821884521155,63,63,27,42.857142857142854,0.260364234098745,1.682179791267644,-7.410789920239679,477.90643103790114,362.31565769213034,75.81309523399075,63,33.333333333333336,-0.004424653303581774,-0.005634010211853613,—,1.2355754029327828
m00_baseline_grw_raw,m00 baseline GRW (raw),ladder_sweep_v1,500.0,538.439339635803,38.43933963580298,9.038911338365766,7.687867927160585,425.26514750340283,63,63,27,42.857142857142854,0.18954349915532173,1.224616141878816,-10.817287088379766,480.0335370138913,432.8783754091975,90.17669434139364,63,33.333333333333336,-0.004919575632915414,-0.006498234164258654,—,1.2355754029327828
