environment,model,policy,n_bets,total_return_pct,roi_pct,sharpe_ann,max_drawdown_pct,win_rate_pct,n_capped,mean_exposure,delta_return_pp,delta_sharpe,core_n_bets,core_roi_pct,core_stake_vs_p0,delta_core_roi_pp,added_n_bets,added_win_rate_pct,added_roi_pct,added_stake_share_pct,added_edge_pp
close,m05_joint_grw_baseline,P0 Option B,1247,385.77757677304226,11.676122043521175,1.4527253832777605,-42.66657310691728,35.20449077786688,27,0.16632412452063444,0.0,0.0,1247,11.676122043521177,1.0,0.0,0,NaN,NaN,0.0,NaN
close,m05_joint_grw_baseline,P0 ext book,1246,368.84410113562734,11.485166333244262,1.417444514906748,-44.192010435637485,35.23274478330658,27,0.1660671605729579,0.0,0.0,1246,11.48516633324427,1.0,0.0,0,NaN,NaN,0.0,NaN
close,m05_joint_grw_baseline,+U0.5,1327,311.7406282290149,10.565426123253253,1.3087923473674616,-45.65420540245343,33.308214016578745,28,0.16745229073296158,-57.10347290661247,-0.10865216753928642,1246,11.467515114361273,0.9962273399089345,-0.01765121888299781,81,3.7037037037037033,-63.62369621319987,1.2013243296515015,1.7829564379515705
close,m05_joint_grw_baseline,+U1.5,1351,488.1316515292475,12.521084745984119,1.6800345227884785,-39.724754062294636,34.34492968171725,32,0.16898048341210875,119.28755039362017,0.2625900078817305,1246,11.605588296966559,0.9817932763995604,0.12042196372228808,105,23.809523809523807,37.6633001877711,3.5133416658145977,4.543373481475966
close,m05_joint_grw_baseline,+U3.5,1345,389.7783199144069,11.229794373817379,1.50206206297524,-39.78596954576425,38.141263940520446,34,0.17203997674781668,20.934218778779552,0.08461754806849187,1246,11.891760645068254,0.9634669124687765,0.40659431182398365,99,74.74747474747475,2.4327149273554785,6.998235244928429,5.849632197340395
close,m05_joint_grw_baseline,+U4.5,1274,425.03453433738906,11.870177536341629,1.551176076892282,-41.16148735095146,36.57770800627944,32,0.16930235541123564,56.19043320176172,0.13373156198553393,1246,11.654224851889175,0.9886083536258573,0.1690585186449045,28,96.42857142857143,18.78539107160497,3.0282940798014435,4.493651733095005
close,m05_joint_grw_baseline,+O2.5,1350,346.20587104580187,10.767897163351218,1.3616528572689184,-45.352467409671085,36.44444444444444,35,0.17296673129575152,-22.63823008982547,-0.05579165763782967,1246,11.435379871047898,0.9756316275185338,-0.04978646219637284,104,50.96153846153846,0.8882818200983321,6.328591091808329,5.891628008783945
close,m05_joint_grw_baseline,+O3.5,1366,345.8118357025728,10.663469001596846,1.3434665986103784,-44.81545676216453,35.35871156661786,39,0.17548556687161615,-23.032265433054533,-0.07397791629636963,1246,11.28905377350757,0.9775636620586855,-0.19611255973670083,120,36.666666666666664,2.937089763985345,7.490271404396453,5.518063079620399
close,m05_joint_grw_baseline,+O4.5,1300,311.1375967302603,10.583243755215932,1.272321655738634,-46.58320310978335,34.15384615384615,27,0.1688127959470049,-57.70650440536701,-0.14512285916811396,1246,11.424530827250038,0.9963022999545805,-0.06063550599423273,54,9.25925925925926,-30.84708318894685,1.9901938726819324,3.657704182135385
close,m05_joint_grw_baseline,+BTTS_yes,1298,339.93337970878514,10.930645116309357,1.3569450360077384,-43.76773636861773,36.05546995377504,34,0.16862905339684453,-28.9107214268422,-0.06049947889900964,1246,11.190755827694687,0.9865829841672547,-0.2944105055495836,52,55.769230769230774,2.033750982591446,2.8405654008627086,1.8549246830243369
