label,loose,rho,sup_slope,sup_r2,sup_n,sup_sd,capital_ge4_pct,capital_le18_pct,max_drawdown_pct,sharpe_ann,flat_roi_pct,total_return_pct,roi_pct,p_roi_positive,n_bets,median_odds,mean_edge_pp,max_win_prob
m01_poisson_grw_tight,—,0.0,0.3986959831984092,0.44001483267278885,596,0.2578258210206074,38.32123425477355,3.8528207937446233,-20.305950449020145,1.6521024889661629,5.333231404459522,192.9464493486249,14.325690750001508,0.982,1329,3.35,5.017543992177175,0.681496792455414
m02_poisson_grw_loose_var@0.25,m02_poisson_grw_loose_var,0.25,0.42116842585230757,0.4544658395207711,596,0.26692947103020265,37.64311260464385,4.1685613194774405,-20.380703279382086,1.6155709916609986,5.994451758514815,184.42048866921303,14.23895177073212,0.982,1324,3.334915059105967,5.002325682966414,0.6896939086251948
m02_poisson_grw_loose_var@0.50,m02_poisson_grw_loose_var,0.5,0.44376093277358464,0.46375333929376455,596,0.27743407486311356,36.64760316689479,4.422520513965883,-19.396874030455763,1.5765861379487913,6.073592525213369,171.48537552705244,13.726491727459967,0.986,1321,3.3232891361185914,5.025633767193531,0.6916494631735124
m02_poisson_grw_loose_var@0.75,m02_poisson_grw_loose_var,0.75,0.4657720708768818,0.4731991845843521,596,0.28709569649564287,35.864641878750305,4.722814647739018,-19.09481134117865,1.5157991332519893,6.06266686989423,163.1372358370068,13.447532497443566,0.978,1314,3.306883476446002,5.026304836671497,0.7027267190708852
m02_poisson_grw_loose_var,m02_poisson_grw_loose_var,1.0,0.48817709190697267,0.4789273173631195,596,0.2982028222644358,34.73097129592241,5.246541411111909,-19.139010806167363,1.4542638264604733,6.198493867910827,152.79982938497943,12.954972090922904,0.973,1328,3.2588865697684017,5.020755830011649,0.7068937348002057
m03_poisson_grw_loose_tdist@0.25,m03_poisson_grw_loose_tdist,0.25,0.3989509939318413,0.4413894879427626,596,0.2575196506240669,38.40043899260343,3.839431869191276,-20.721435495989272,1.6171092546246058,5.182586778247539,186.21449226872974,14.075839060706215,0.982,1322,3.35,5.03147218564713,0.6844683369348058
m03_poisson_grw_loose_tdist@0.50,m03_poisson_grw_loose_tdist,0.5,0.3994539008692652,0.44124902280791745,596,0.25763442925685526,38.37046121885739,3.7352969953942936,-20.79844351328924,1.6691375550233656,4.868088900141457,194.0048006597381,14.40970236753219,0.986,1326,3.3425160162304497,5.018628468881727,0.6857422458730145
m03_poisson_grw_loose_tdist@0.75,m03_poisson_grw_loose_tdist,0.75,0.39864652735521466,0.44063207055253323,596,0.25705696045138976,38.614319996967524,3.8253834689641937,-21.224490159864963,1.5940502512613657,4.0805447728119875,179.68486698588273,13.755433124006272,0.987,1324,3.35,5.017459633047111,0.6882638909790854
m03_poisson_grw_loose_tdist,m03_poisson_grw_loose_tdist,1.0,0.39846020003817695,0.43906257302827933,596,0.25720060878346496,38.550822905311186,3.7295367907755077,-21.97029762471895,1.5415038050702965,4.5508442022214854,169.95132988540055,13.31616226634726,0.979,1318,3.353380310692562,5.043393246585287,0.6914915343239645
m04_poisson_grw_loose_fixed_spread@0.25,m04_poisson_grw_loose_fixed_spread,0.25,0.40930442389278565,0.42026584375075215,596,0.26949415767353196,37.065685020742784,4.249084929911883,-20.643406830073506,1.7585673540978357,5.232796014899786,233.19071337605388,15.648147175612722,0.992,1331,3.3499999999999996,5.074963270113748,0.6956958486026877
m04_poisson_grw_loose_fixed_spread@0.50,m04_poisson_grw_loose_fixed_spread,0.5,0.42004923284689405,0.39406607548923783,596,0.28391911682075005,35.26671210539174,4.537226992093629,-21.537208508261795,1.76077785715079,5.223608195985697,252.81718575121403,15.796577108847769,0.99,1330,3.329909351163801,5.209819857778346,0.7039983404369746
m04_poisson_grw_loose_fixed_spread@0.75,m04_poisson_grw_loose_fixed_spread,0.75,0.43023027356388005,0.36617570024886226,596,0.3002341761860653,33.682564619959855,5.093390031883689,-23.998282446469275,1.8198375953340373,4.612850076954262,305.66295304405503,16.808196704774478,0.992,1334,3.3499999999999996,5.319327908771414,0.721917390981763
m04_poisson_grw_loose_fixed_spread,m04_poisson_grw_loose_fixed_spread,1.0,0.4408379815798479,0.3385802413653024,596,0.31866295213528567,31.93463066879736,5.468570608629573,-27.655380281149583,1.7470326512595238,4.795002115289957,323.62415450416233,16.548823591279298,0.997,1342,3.341696431334745,5.444372671232126,0.732779173881154
