band,n,p_market,p_model,label,rho
"[0.70, 1.00)",18,0.7625287930530411,0.5748273176355823,m02_poisson_grw_loose_var,1.0
"[0.40, 0.50)",259,0.44608083967319984,0.4138242412541035,m03_poisson_grw_loose_tdist@0.25,0.25
"[0.50, 0.60)",149,0.5386387091268435,0.4515156583641585,m03_poisson_grw_loose_tdist@0.25,0.25
"[0.60, 0.70)",46,0.6361909158794058,0.484761601746895,m03_poisson_grw_loose_tdist@0.25,0.25
"[0.70, 1.00)",18,0.7625287930530411,0.5504655248764325,m03_poisson_grw_loose_tdist@0.25,0.25
"[0.40, 0.50)",259,0.44608083967319984,0.4137834030977565,m03_poisson_grw_loose_tdist@0.50,0.5
"[0.50, 0.60)",149,0.5386387091268435,0.45170291150010705,m03_poisson_grw_loose_tdist@0.50,0.5
"[0.60, 0.70)",46,0.6361909158794058,0.48512994827524103,m03_poisson_grw_loose_tdist@0.50,0.5
"[0.70, 1.00)",18,0.7625287930530411,0.5502624586213763,m03_poisson_grw_loose_tdist@0.50,0.5
"[0.40, 0.50)",259,0.44608083967319984,0.4139956132426159,m03_poisson_grw_loose_tdist@0.75,0.75
"[0.50, 0.60)",149,0.5386387091268435,0.4510930368100609,m03_poisson_grw_loose_tdist@0.75,0.75
"[0.60, 0.70)",46,0.6361909158794058,0.48502309277073624,m03_poisson_grw_loose_tdist@0.75,0.75
"[0.70, 1.00)",18,0.7625287930530411,0.5502608389552,m03_poisson_grw_loose_tdist@0.75,0.75
"[0.40, 0.50)",259,0.44608083967319984,0.4138592108377287,m03_poisson_grw_loose_tdist,1.0
"[0.50, 0.60)",149,0.5386387091268435,0.45112953354533214,m03_poisson_grw_loose_tdist,1.0
"[0.60, 0.70)",46,0.6361909158794058,0.4852041814642126,m03_poisson_grw_loose_tdist,1.0
"[0.70, 1.00)",18,0.7625287930530411,0.5499347113345893,m03_poisson_grw_loose_tdist,1.0
"[0.40, 0.50)",259,0.44608083967319984,0.41439176905582786,m04_poisson_grw_loose_fixed_spread@0.25,0.25
"[0.50, 0.60)",149,0.5386387091268435,0.45261652888322984,m04_poisson_grw_loose_fixed_spread@0.25,0.25
"[0.60, 0.70)",46,0.6361909158794058,0.4859256778167897,m04_poisson_grw_loose_fixed_spread@0.25,0.25
"[0.70, 1.00)",18,0.7625287930530411,0.5527590998224841,m04_poisson_grw_loose_fixed_spread@0.25,0.25
"[0.40, 0.50)",259,0.44608083967319984,0.4148793292412172,m04_poisson_grw_loose_fixed_spread@0.50,0.5
"[0.50, 0.60)",149,0.5386387091268435,0.45382996141133986,m04_poisson_grw_loose_fixed_spread@0.50,0.5
"[0.60, 0.70)",46,0.6361909158794058,0.48753017221092493,m04_poisson_grw_loose_fixed_spread@0.50,0.5
"[0.70, 1.00)",18,0.7625287930530411,0.5552190516921618,m04_poisson_grw_loose_fixed_spread@0.50,0.5
"[0.40, 0.50)",259,0.44608083967319984,0.4157016800311931,m04_poisson_grw_loose_fixed_spread@0.75,0.75
"[0.50, 0.60)",149,0.5386387091268435,0.4544163637169239,m04_poisson_grw_loose_fixed_spread@0.75,0.75
"[0.60, 0.70)",46,0.6361909158794058,0.4889379657744841,m04_poisson_grw_loose_fixed_spread@0.75,0.75
"[0.70, 1.00)",18,0.7625287930530411,0.5575974591214029,m04_poisson_grw_loose_fixed_spread@0.75,0.75
"[0.40, 0.50)",259,0.44608083967319984,0.4161436959976777,m04_poisson_grw_loose_fixed_spread,1.0
"[0.50, 0.60)",149,0.5386387091268435,0.4555308299083036,m04_poisson_grw_loose_fixed_spread,1.0
"[0.60, 0.70)",46,0.6361909158794058,0.4903071543151211,m04_poisson_grw_loose_fixed_spread,1.0
"[0.70, 1.00)",18,0.7625287930530411,0.5602162517167746,m04_poisson_grw_loose_fixed_spread,1.0
