environment,variant,calibration,route,model,n_panel,n_slates,n_bets,total_return_pct,cagr_pct,growth_per_slate,growth_lo,growth_hi,roi_pct,p_roi_positive,sharpe_ann,calmar,max_drawdown_pct,win_rate_pct,mean_edge_pp,mean_exposure,n_bets_1x2,n_bets_totals,capture_ratio,run_id
close,raw,raw,native,m05_joint_grw_baseline,632,100,1247,385.77757677304226,150.01743292434026,0.015805806721928422,-0.0003705992042185303,0.03232579811669041,11.676122043521175,0.98375,1.4527253832777605,9.041681782277903,-42.66657310691728,35.20449077786688,4.125058211449413,0.16632412452063444,986,261,1.079948560365559,b0961bc4-c40c-4dbe-9c05-57df7ae0839e
close,raw,raw,smile,m05_joint_grw_smile_supremacy_w020,632,100,1240,588.421873055331,206.02451191708306,0.01929231651602988,-0.0002899714249227831,0.03899775631219522,15.707413913401693,0.99575,1.4945381105902102,13.367251483612224,-44.01966056946826,33.95161290322581,3.757525703823644,0.15535215656466964,988,252,0.9813783068111814,fcd5e974-9a46-4a10-9828-6b987a5484d6
close,raw,raw,smile,m05_joint_grw_smile_supremacy_w040,632,100,1237,545.0097874045468,194.68342091184005,0.01864095304963169,0.0003639309854983053,0.03755112643779103,15.817992802173645,0.99475,1.515921146794607,12.377251952257662,-44.03318196210224,33.95311236863379,3.5281414323997202,0.14713022922911514,984,253,1.0002749794154562,30620d3e-e4bd-4c05-b1a1-85cefa36b728
close,raw,raw,smile,m05_joint_grw_smile_supremacy_w070,632,100,1231,481.38248054762187,177.46353225495773,0.017602386684656454,0.000632599299655505,0.03542593246959542,15.479001666370259,0.99275,1.5303028022241143,11.36229762633203,-42.366649455830306,35.01218521527213,3.308968669934599,0.1398753751718718,978,253,0.9730682765738251,32d588f1-d666-4112-a7e1-5c9545fbbe3d
close,raw,raw,native,m05_joint_grw_supremacy_w040,632,100,1244,404.5723663171682,155.58081179642667,0.016185410851782028,0.00072482358183669,0.032071418121355486,12.751194815133763,0.99225,1.550550898847814,9.487622224388927,-42.64212431194536,36.4951768488746,3.7552124199705474,0.15304215012310587,983,261,1.0696149297792785,0ee58d18-b7e9-4168-8d78-93887b1a8c26
t25,raw,raw,native,m05_joint_grw_baseline,611,99,1124,531.7811340934728,191.164248473237,0.018619927690571594,0.002292899619945693,0.0353788047882602,14.152408726635706,0.98875,1.6584024205331789,12.705126381948082,-41.85563512764795,35.40925266903915,4.149015432039701,0.15876725698958746,896,228,1.1104673183674394,b0961bc4-c40c-4dbe-9c05-57df7ae0839e
t25,raw,raw,smile,m05_joint_grw_smile_supremacy_w020,611,99,1111,542.3950151493619,193.99024506268003,0.018788214311961815,-0.002405257015746831,0.040865322406869437,16.905258132567525,0.995,1.342069290364224,12.630354446920798,-42.943768318520505,34.11341134113412,3.812798551112423,0.1463312997742083,902,209,0.9036959230906793,fcd5e974-9a46-4a10-9828-6b987a5484d6
t25,raw,raw,smile,m05_joint_grw_smile_supremacy_w040,611,99,1087,479.4433329986316,176.92661267296455,0.01774644127258137,-0.0023857636563378044,0.03849376172555049,16.803446870834335,0.9935,1.3221363772102517,10.990862158614439,-43.621994897174886,34.22263109475621,3.6324116318844206,0.13803899120071542,883,204,0.9236398833255406,30620d3e-e4bd-4c05-b1a1-85cefa36b728
t25,raw,raw,smile,m05_joint_grw_smile_supremacy_w070,611,99,1094,381.54791520750615,148.7530307732678,0.015877126794665332,-0.0019065449859396982,0.03412658450695462,15.781148492091827,0.99,1.2761143495300475,9.130080768203651,-41.790201521139,34.09506398537477,3.37687658007225,0.13016608239599142,885,209,0.9517512903557552,32d588f1-d666-4112-a7e1-5c9545fbbe3d
t25,raw,raw,native,m05_joint_grw_supremacy_w040,611,99,1089,605.6257973602172,210.43532851785884,0.019736513928493113,0.003144100179101557,0.0372405987086918,16.172416927644026,0.99675,1.7108739259670709,15.824711021646467,-38.270891426187035,36.82277318640955,3.9423430054584014,0.14730941281646728,864,225,1.0843657102147992,0ee58d18-b7e9-4168-8d78-93887b1a8c26
