environment,variant,model,level,group,n_bets,win_rate_pct,roi_pct,stake_share_pct,edge_mean_pp,odds_mean,capture_ratio
close,raw,m05_joint_grw_baseline,market,1X2,986,29.817444219066935,12.554800082781327,75.92467434516243,3.9299063921210986,3.950410978850687,1.0252064997366508
close,raw,m05_joint_grw_baseline,market,totals,261,55.55555555555556,8.905096432423472,24.07532565483747,4.862298417800823,1.963919940317211,1.071091142592532
close,raw,m05_joint_grw_baseline,family,1X2_away,403,26.550868486352357,7.766783120763535,33.30138157763544,5.4999252252634285,4.3642073873389124,0.9320149648398138
close,raw,m05_joint_grw_baseline,family,1X2_draw,273,24.175824175824175,3.378298092892948,9.482571930032037,0.5053735058081766,4.206364198918352,1.3168025883200476
close,raw,m05_joint_grw_baseline,family,1X2_home,310,39.03225806451613,19.991705913709897,33.14072083749506,4.904680225047125,3.1870716830467343,0.953463620344471
close,raw,m05_joint_grw_baseline,family,O/U 1.5_over_15,64,75.0,1.2518908964222746,4.6676794217061985,3.4678269063137384,1.3161811513696102,1.2791719271142654
close,raw,m05_joint_grw_baseline,family,O/U 2.5_under_25,197,49.23857868020304,10.745747769600966,19.407646233131267,5.315324695644345,2.1743528463712543,1.1423474339396027
close,raw,m05_joint_grw_supremacy_w040,market,1X2,983,31.33265513733469,14.620886584716168,71.8185497276674,3.377723915559395,3.918040384618655,0.9583509272941254
close,raw,m05_joint_grw_supremacy_w040,market,totals,261,55.938697318007655,7.986409822468064,28.18145027233257,5.1769411549750055,1.9769992274212425,1.0378479934409133
close,raw,m05_joint_grw_supremacy_w040,family,1X2_away,394,26.649746192893403,16.644298738962515,27.41673504662031,4.19689166924349,4.394023270911007,1.0149425651474957
close,raw,m05_joint_grw_supremacy_w040,family,1X2_draw,250,28.000000000000004,11.05639694153756,8.641655479118766,0.699484071678157,4.220440258996445,0.7054428138370146
close,raw,m05_joint_grw_supremacy_w040,family,1X2_home,339,39.233038348082594,13.930949402710679,35.760159201928325,4.400755968712124,3.141824379327709,0.84614073980695
close,raw,m05_joint_grw_supremacy_w040,family,O/U 1.5_over_15,58,75.86206896551724,-0.36398664332534897,4.900392966717554,3.6778462541231685,1.3055512160719076,1.2994396030266326
close,raw,m05_joint_grw_supremacy_w040,family,O/U 2.5_under_25,203,50.24630541871922,9.744071580398954,23.281057305615036,5.605253983789818,2.1688415163781953,1.0922699151473434
close,raw,m05_joint_grw_smile_supremacy_w020,market,1X2,988,29.453441295546558,16.992717653520025,84.7884941690399,4.029927396326114,4.0261124522902945,1.052204378293678
close,raw,m05_joint_grw_smile_supremacy_w020,market,totals,252,51.587301587301596,8.543167987619363,15.211505830960123,2.689538115758406,2.068202158958834,0.9850759385851025
close,raw,m05_joint_grw_smile_supremacy_w020,family,1X2_away,381,25.984251968503933,18.750174187738892,34.117548492599816,5.724257990964884,4.502621610139961,1.05336790126731
close,raw,m05_joint_grw_smile_supremacy_w020,family,1X2_draw,302,23.509933774834437,9.570675616616423,11.805242080075562,0.26114665125492736,4.18541770440208,0.9436849415162848
close,raw,m05_joint_grw_smile_supremacy_w020,family,1X2_home,305,39.67213114754099,17.704370650505382,38.86570359636447,5.645113719126532,3.273128271049374,0.8316717065798026
close,raw,m05_joint_grw_smile_supremacy_w020,family,O/U 1.5_over_15,57,70.17543859649122,-0.6787878417069269,2.8502651973659687,1.0014130725234487,1.3661176794856706,1.091556256202744
close,raw,m05_joint_grw_smile_supremacy_w020,family,O/U 2.5_under_25,195,46.15384615384615,10.669574270864132,12.361240633594143,3.1829900514732405,2.2734268529586825,1.1345470044817192
close,raw,m05_joint_grw_smile_supremacy_w040,market,1X2,984,29.471544715447155,17.23983460502733,83.54346508741446,3.7387038091274047,3.9951995466645784,1.0653922856942757
close,raw,m05_joint_grw_smile_supremacy_w040,market,totals,253,51.38339920948617,8.599851702148609,16.456534912585546,2.709195271529992,2.070075719349084,0.9804002466266474
close,raw,m05_joint_grw_smile_supremacy_w040,family,1X2_away,389,25.96401028277635,19.362070150115823,34.1376888477944,5.2260579886341185,4.450159135982473,1.0751127156874858
close,raw,m05_joint_grw_smile_supremacy_w040,family,1X2_draw,284,24.295774647887324,8.378804108862262,10.977811787138478,0.22428803295247235,4.199659952333687,0.3671706280019768
close,raw,m05_joint_grw_smile_supremacy_w040,family,1X2_home,311,38.58520900321543,17.88588777700138,38.42796445248157,5.087621187280361,3.2394245130482333,0.8961359248814967
close,raw,m05_joint_grw_smile_supremacy_w040,family,O/U 1.5_over_15,56,69.64285714285714,0.7756189809221337,2.967277633776677,0.9163708618071648,1.364123731931784,1.0852458034461039
close,raw,m05_joint_grw_smile_supremacy_w040,family,O/U 2.5_under_25,197,46.192893401015226,10.320974687298543,13.48925727880886,3.2188306367303894,2.2707524264321752,1.1296564009416936
close,raw,m05_joint_grw_smile_supremacy_w070,market,1X2,978,30.470347648261757,16.616947329992595,82.18897435583749,3.4718852532827165,3.975176743542357,1.0253128738314685
close,raw,m05_joint_grw_smile_supremacy_w070,market,totals,253,52.569169960474305,10.22795162386768,17.81102564416248,2.679196264739109,2.066994776248994,0.9534875867053728
close,raw,m05_joint_grw_smile_supremacy_w070,family,1X2_away,391,26.854219948849106,17.10913619064516,34.43424006456771,4.91613510319666,4.408434719713171,1.0178060060710543
close,raw,m05_joint_grw_smile_supremacy_w070,family,1X2_draw,274,25.547445255474454,7.760401445325246,9.98906979375948,0.09211607120891573,4.207973839603527,-0.5319334680033337
close,raw,m05_joint_grw_smile_supremacy_w070,family,1X2_home,313,39.29712460063898,18.510744421619993,37.765664497510315,4.626374277473995,3.2301598968856675,0.9063046665024872
close,raw,m05_joint_grw_smile_supremacy_w070,family,O/U 1.5_over_15,53,71.69811320754717,2.162295073602227,3.0199425370801376,0.8183188882827007,1.3555100412583871,1.0917273389289692
close,raw,m05_joint_grw_smile_supremacy_w070,family,O/U 2.5_under_25,200,47.5,11.87474240512984,14.791083107082343,3.1723287695000573,2.255538231021506,1.0996227578255229
t25,raw,m05_joint_grw_baseline,market,1X2,896,28.90625,12.816930115175504,74.06913964647869,3.915994942035559,3.9305563843987237,1.0337114804267356
t25,raw,m05_joint_grw_baseline,market,totals,228,60.96491228070175,17.967081684592568,25.93086035352134,5.06474507696826,1.9415928771998656,1.085696456986378
t25,raw,m05_joint_grw_baseline,family,1X2_away,363,26.446280991735538,8.444221845071766,32.343233452162515,5.622978534904433,4.342692023882569,0.8575254040760124
t25,raw,m05_joint_grw_baseline,family,1X2_draw,252,23.809523809523807,0.8565192464157301,9.54092663687984,0.36522792740007143,4.16181784790215,1.888867347424569
t25,raw,m05_joint_grw_baseline,family,1X2_home,281,36.654804270462634,20.756687435446928,32.18497955743636,4.895205772913642,3.190758783204781,1.0605724511546433
t25,raw,m05_joint_grw_baseline,family,O/U 1.5_over_15,58,84.48275862068965,18.60293568407918,5.090014974684331,3.856999536028664,1.326452115545231,1.655232310683906
t25,raw,m05_joint_grw_baseline,family,O/U 2.5_under_25,170,52.94117647058824,17.81178537485714,20.840845378837002,5.4767994379947105,2.1514644311761537,1.1493597861615419
t25,t25_inv,m05_joint_grw_baseline,market,1X2,776,30.025773195876287,15.679300841550175,70.04566784869247,2.185547105549868,3.9161374342481494,0.9524395215871183
t25,t25_inv,m05_joint_grw_baseline,market,totals,193,61.6580310880829,21.386767114397323,29.954332151307494,3.065532145724273,1.9704590333593828,1.065893393010355
t25,t25_inv,m05_joint_grw_baseline,family,1X2_away,358,25.41899441340782,7.489989249012035,32.00638586992328,2.6955268268016948,4.351498702548487,0.926630826366342
t25,t25_inv,m05_joint_grw_baseline,family,1X2_draw,126,23.809523809523807,24.13118702058202,6.555663119297638,0.8649698446844647,4.464163673485933,1.154868465288348
t25,t25_inv,m05_joint_grw_baseline,family,1X2_home,292,38.35616438356164,22.2447007484051,31.483618859471555,2.130136128361123,3.145895515770478,0.9529070188565666
t25,t25_inv,m05_joint_grw_baseline,family,O/U 1.5_over_15,41,90.2439024390244,22.803972601171346,6.235449756565173,2.2071898765314306,1.3236494361224231,1.4681734587575133
t25,t25_inv,m05_joint_grw_baseline,family,O/U 2.5_under_25,152,53.94736842105263,21.01419839634225,23.71888239474234,3.2970586788618155,2.1449274115614583,1.1663673489041742
t25,raw,m05_joint_grw_supremacy_w040,market,1X2,864,30.09259259259259,14.95996377376745,70.96979215961156,3.5976460057242523,3.9456966974178567,0.9697577067988642
t25,raw,m05_joint_grw_supremacy_w040,market,totals,225,62.66666666666667,19.13648624492168,29.030207840388357,5.2659794844375325,1.9517790247296203,1.017018220132163
t25,raw,m05_joint_grw_supremacy_w040,family,1X2_away,337,26.706231454005934,16.918715023355713,26.448976323150696,4.527841191412969,4.447566530635346,0.9230274238881064
t25,raw,m05_joint_grw_supremacy_w040,family,1X2_draw,231,26.83982683982684,17.469563249028866,9.060835593005034,0.6725278058849342,4.197627514000546,0.6925317216072537
t25,raw,m05_joint_grw_supremacy_w040,family,1X2_home,296,36.486486486486484,12.857705589720744,35.459980243455945,4.821384271216771,3.1777029392256413,0.9385592297664792
t25,raw,m05_joint_grw_supremacy_w040,family,O/U 1.5_over_15,53,86.79245283018868,21.594672441415987,4.91580650244931,3.7281128539102184,1.3210636212035152,1.5157615511987335
t25,raw,m05_joint_grw_supremacy_w040,family,O/U 2.5_under_25,172,55.23255813953488,18.635376243490875,24.114401337939043,5.739856992681416,2.1461273758161528,1.0963038505897698
t25,t25_inv,m05_joint_grw_supremacy_w040,market,1X2,772,31.73575129533679,16.60185029944422,69.1435904614015,1.9693408422846066,3.8686716756878288,0.9015491926438643
t25,t25_inv,m05_joint_grw_supremacy_w040,market,totals,191,62.30366492146597,21.065089951735736,30.856409538598434,2.9799979719104153,1.970732817267549,1.0045807186397546
t25,t25_inv,m05_joint_grw_supremacy_w040,family,1X2_away,351,26.780626780626783,13.962863359189965,27.85953790965079,2.1946063816849612,4.3403481684536604,0.9355010764451929
t25,t25_inv,m05_joint_grw_supremacy_w040,family,1X2_draw,111,27.927927927927925,27.035737510066163,5.479323881936258,0.8635024581517535,4.515554192526216,0.7926225143974738
t25,t25_inv,m05_joint_grw_supremacy_w040,family,1X2_home,310,38.70967741935484,17.0585025333231,35.80472866981449,2.11024360457242,3.102986487526967,0.8591907688358732
t25,t25_inv,m05_joint_grw_supremacy_w040,family,O/U 1.5_over_15,41,90.2439024390244,24.11643576798871,5.720566048233112,1.8860836773605099,1.321005738356774,2.016927462402156
t25,t25_inv,m05_joint_grw_supremacy_w040,family,O/U 2.5_under_25,150,54.666666666666664,20.370646366241356,25.13584349036532,3.279001212420723,2.1483248855031616,1.1128563884000835
t25,raw,m05_joint_grw_smile_supremacy_w020,market,1X2,902,28.93569844789357,16.936215646177203,85.81481427710345,4.107595312600341,4.017557554871521,1.0057714993612155
t25,raw,m05_joint_grw_smile_supremacy_w020,market,totals,209,56.45933014354066,16.71797730785435,14.1851857228965,2.540517791006671,2.050705037902672,0.8208959021821315
t25,raw,m05_joint_grw_smile_supremacy_w020,family,1X2_away,346,26.011560693641616,19.06935858371418,34.31927280261875,5.844069805757233,4.474603249771732,0.9705924529158664
t25,raw,m05_joint_grw_smile_supremacy_w020,family,1X2_draw,278,25.179856115107913,8.181918495864796,12.12091617795119,0.287312037037744,4.181409150868173,0.08472804485266133
