environment,question,pair,bet_set,owner,n_bets,win_rate_pct,roi_pct,edge_mean_pp,capture_ratio
t25,"Q3 beyond L2, smile dropped",m05_joint_grw_smile_supremacy_w040[t25_inv_grid] − m05_joint_grw_baseline[t25_inv],exclusive,a,177,42.3728813559322,-6.782287031188558,0.8171109555246697,0.9282190671336598
t25,"Q3 beyond L2, smile dropped",m05_joint_grw_smile_supremacy_w040[t25_inv_grid] − m05_joint_grw_baseline[t25_inv],exclusive,b,199,46.733668341708544,9.95065064700087,1.7211816950159138,1.6905565334156931
t25,Q4 pillar instead of L2,m05_joint_grw_smile_supremacy_w040[raw] − m05_joint_grw_baseline[t25_inv],shared,a,754,32.758620689655174,21.645400637721888,4.727208399139666,0.9592248843318598
t25,Q4 pillar instead of L2,m05_joint_grw_smile_supremacy_w040[raw] − m05_joint_grw_baseline[t25_inv],shared,b,754,32.758620689655174,19.422338788192683,2.660052590344271,1.075402371319018
t25,Q4 pillar instead of L2,m05_joint_grw_smile_supremacy_w040[raw] − m05_joint_grw_baseline[t25_inv],exclusive,a,333,37.53753753753754,-7.544799232880915,1.1535024351563226,1.0246992587848371
t25,Q4 pillar instead of L2,m05_joint_grw_smile_supremacy_w040[raw] − m05_joint_grw_baseline[t25_inv],exclusive,b,215,48.837209302325576,8.460499181069588,1.3114074647065177,1.7442293055157823
close,close reference (r06),m05_joint_grw_smile_supremacy_w040[raw] − m05_joint_grw_baseline[raw],shared,a,960,31.770833333333332,16.34984671336176,4.187360207466789,1.0508665114050961
close,close reference (r06),m05_joint_grw_smile_supremacy_w040[raw] − m05_joint_grw_baseline[raw],shared,b,960,31.770833333333332,11.645896072308105,4.629179028522411,1.0722879158278336
close,close reference (r06),m05_joint_grw_smile_supremacy_w040[raw] − m05_joint_grw_baseline[raw],exclusive,a,277,41.51624548736462,11.875781868580635,1.2434843058134917,1.2410200036083354
close,close reference (r06),m05_joint_grw_smile_supremacy_w040[raw] − m05_joint_grw_baseline[raw],exclusive,b,287,46.68989547038328,11.822704752610077,2.438800426118131,1.7353789048723423
t25,Q1 raw lead at T−25,m05_joint_grw_smile_supremacy_w070[raw] − m05_joint_grw_baseline[raw],shared,a,831,32.009626955475326,18.877071653918755,4.011049060445511,1.0008884625821222
t25,Q1 raw lead at T−25,m05_joint_grw_smile_supremacy_w070[raw] − m05_joint_grw_baseline[raw],shared,b,831,32.009626955475326,14.79237548553767,4.837370792055956,1.0604739409902904
t25,Q1 raw lead at T−25,m05_joint_grw_smile_supremacy_w070[raw] − m05_joint_grw_baseline[raw],exclusive,a,263,40.68441064638783,-3.0353549291558872,1.3730844462692908,1.0509427718652846
t25,Q1 raw lead at T−25,m05_joint_grw_smile_supremacy_w070[raw] − m05_joint_grw_baseline[raw],exclusive,b,293,45.051194539249146,11.398892016000811,2.1967174655772164,2.3883068581873865
t25,"Q2 beyond L2, smile kept",m05_joint_grw_smile_supremacy_w070[t25_inv_pooltot] − m05_joint_grw_baseline[t25_inv],shared,a,753,34.13014608233731,23.58711892985794,2.0059428653680103,0.9419384826165709
t25,"Q2 beyond L2, smile kept",m05_joint_grw_smile_supremacy_w070[t25_inv_pooltot] − m05_joint_grw_baseline[t25_inv],shared,b,753,34.13014608233731,16.856025082142637,2.5536255257021256,0.9943890907361829
t25,"Q2 beyond L2, smile kept",m05_joint_grw_smile_supremacy_w070[t25_inv_pooltot] − m05_joint_grw_baseline[t25_inv],exclusive,a,187,43.85026737967914,-6.79157789577587,0.7747223160511854,0.6387966940793124
t25,"Q2 beyond L2, smile kept",m05_joint_grw_smile_supremacy_w070[t25_inv_pooltot] − m05_joint_grw_baseline[t25_inv],exclusive,b,216,43.98148148148148,19.871747747677563,1.6886677647119528,1.7645864250833576
t25,"Q3 beyond L2, smile dropped",m05_joint_grw_smile_supremacy_w070[t25_inv_grid] − m05_joint_grw_baseline[t25_inv],shared,a,753,34.13014608233731,23.58711892985794,2.033229287201511,0.9716350503177998
t25,"Q3 beyond L2, smile dropped",m05_joint_grw_smile_supremacy_w070[t25_inv_grid] − m05_joint_grw_baseline[t25_inv],shared,b,753,34.13014608233731,16.856025082142637,2.5536255257021256,0.9943890907361829
t25,"Q3 beyond L2, smile dropped",m05_joint_grw_smile_supremacy_w070[t25_inv_grid] − m05_joint_grw_baseline[t25_inv],exclusive,a,187,43.85026737967914,-6.79157789577587,0.8699631779663436,0.8484623392393152
