model,policy,t012_mode,n_slates,n_bets,total_return_pct,roi_pct,sharpe_ann,max_drawdown_pct,total_turnover,mean_exposure,n_capped,candidate,candidate_label,classification,added_n_bets,added_roi_pct,core_stake_vs_p0,delta_core_roi_pp,delta_return_pp,delta_sharpe,n_books,market_signature
m05_joint_production_wealth,P0 Option B,excise_pruned,100,1281,532.303970993003,13.844481293648002,1.4202331934942067,-39.19669832410285,17.07631822167573,0.17076318221675735,38,P0,P0 Option B,baseline,0,NaN,1.0,0.0,0.0,0.0,628,ou15;ou25;x1x2
m05_joint_production_wealth,+U0.5,excise_pruned,100,1338,492.8018325396615,13.40295405943915,1.3822073880263257,-39.449814665884034,17.087543155154595,0.17087543155154591,38,under_05,+U0.5,toxic,65,-61.030416970656866,0.9942358439944128,0.08639417884501022,-39.502138453341445,-0.038025805467881035,628,ou05;ou15;ou25;x1x2
m05_joint_production_wealth,+U1.5,excise_pruned,100,1399,582.8349987334416,14.00417788417436,1.5110430719745722,-39.926978724025645,17.29179226653872,0.17291792266538722,39,under_15,+U1.5,accretive_with_cannibalization,118,20.98721510867344,0.9823699200202818,-0.06515990758655121,50.53102774043862,0.09080987848036548,628,ou15;ou25;x1x2
m05_joint_production_wealth,+U3.5,excise_pruned,100,1384,574.6724090828636,13.726475432457956,1.516385143588037,-37.766604895538954,17.494907693913984,0.1749490769391398,42,under_35,+U3.5,accretive_with_cannibalization,108,7.966860283124587,0.9523885835714188,0.2956006733211449,42.36843808986066,0.09615195009383037,628,ou15;ou25;ou35;x1x2
m05_joint_production_wealth,+U4.5,excise_pruned,100,1313,541.3660602347984,13.764922962403592,1.4410645818560046,-39.32568304785216,17.234007957515647,0.17234007957515643,39,under_45,+U4.5,accretive_with_cannibalization,33,26.555411028788043,0.9797435285260369,-0.5048620293186605,9.062089241795434,0.020831388361797876,628,ou15;ou25;ou45;x1x2
m05_joint_production_wealth,+O2.5,excise_pruned,100,1376,528.5956779000036,13.428378329562587,1.418899685143075,-43.91655277922203,17.545972741662208,0.1754597274166221,39,over_25,+O2.5,cannibalizing,95,0.7441717556559467,0.9790497146597895,0.2308010376364038,-3.7082930929993836,-0.0013335083511316626,628,ou15;ou25;x1x2
m05_joint_production_wealth,+O3.5,excise_pruned,100,1378,520.4773897004052,13.603140769824927,1.3784187862326516,-44.02906220952039,17.387047401239368,0.17387047401239364,38,over_35,+O3.5,cannibalizing,102,4.874420143186577,0.9828077525339998,0.08679710012944852,-11.82658129259778,-0.041814407261555164,628,ou15;ou25;ou35;x1x2
m05_joint_production_wealth,+O4.5,excise_pruned,100,1328,527.0600684945528,13.842981754165152,1.391409573512397,-42.91298500218158,17.13411582499518,0.17134115824995177,38,over_45,+O4.5,cannibalizing,48,22.070675621657468,0.9954530108878703,-0.047138339340101254,-5.243902498450211,-0.02882361998180971,628,ou15;ou25;ou45;x1x2
m05_joint_production_wealth,+BTTS_yes,excise_pruned,100,1352,508.87862897890665,13.408943201042083,1.404504640454398,-38.48844065699047,17.269337880967477,0.17269337880967478,38,btts_yes,+BTTS_yes,cannibalizing,69,2.150456735965968,0.9856218695368354,-0.08695730152092906,-23.425342014096316,-0.0157285530398088,628,btts;ou15;ou25;x1x2
m05_joint_production_wealth,+BTTS_no,excise_pruned,100,1334,517.2177936941042,13.452715883453907,1.4376746287915108,-38.11208260258323,17.206971357976734,0.17206971357976733,38,btts_no,+BTTS_no,toxic,51,-6.122723637435029,0.9920806954901659,-0.04527125407953925,-15.086177298898747,0.01744143529730402,628,btts;ou15;ou25;x1x2
m12_joint_hybrid_synergy,P0 Option B,excise_pruned,100,1310,588.4651310939773,13.955004922194439,1.4508901398700011,-42.35216515135185,17.72056547139458,0.17720565471394578,41,P0,P0 Option B,baseline,0,NaN,1.0,0.0,0.0,0.0,628,ou15;ou25;x1x2
m12_joint_hybrid_synergy,+U0.5,excise_pruned,100,1368,573.7654432906045,13.780835354845392,1.4472308794205238,-41.94386688007613,17.723355344451893,0.17723355344451894,41,under_05,+U0.5,toxic,64,-46.45109748761918,0.9949426584273992,0.1721128267132208,-14.699687803372854,-0.0036592604494773973,628,ou05;ou15;ou25;x1x2
m12_joint_hybrid_synergy,+U1.5,excise_pruned,100,1428,593.0497436982607,13.695685591921942,1.4957241688735465,-42.80141340560751,17.906015196197412,0.17906015196197408,42,under_15,+U1.5,accretive_with_cannibalization,118,8.801047084327873,0.9814776541011722,-0.12066988823805325,4.584612604283393,0.044834029003545384,628,ou15;ou25;x1x2
m12_joint_hybrid_synergy,+U3.5,excise_pruned,100,1425,613.255670563405,13.636398007845418,1.520638850001745,-37.591043226954525,18.195653597879758,0.18195653597879763,47,under_35,+U3.5,accretive_with_cannibalization,121,2.724281456621875,0.9477522428032833,0.6049186284955503,24.7905394694277,0.06974871013174377,628,ou15;ou25;ou35;x1x2
m12_joint_hybrid_synergy,+U4.5,excise_pruned,100,1350,568.093619631916,13.605719185410305,1.4395605005288634,-43.00581210781793,17.8877593594599,0.17887759359459895,42,under_45,+U4.5,cannibalizing,37,19.821704250169773,0.9763476593440416,-0.5849857699472842,-20.371511462061335,-0.011329639341137732,628,ou15;ou25;ou45;x1x2
m12_joint_hybrid_synergy,+O2.5,excise_pruned,100,1389,590.959339870981,13.75281216471663,1.4490766255519745,-45.416855584278636,18.03224640365907,0.18032246403659066,44,over_25,+O2.5,accretive_with_cannibalization,79,2.385738384281038,0.983094114022751,0.21111789562407068,2.494208777003678,-0.0018135143180266766,628,ou15;ou25;x1x2
m12_joint_hybrid_synergy,+O3.5,excise_pruned,100,1390,612.5397887177206,14.087843833650185,1.4517311340943302,-43.64975604398857,17.936303241831414,0.17936303241831417,42,over_35,+O3.5,accretive_with_cannibalization,86,6.10803033692179,0.9870501394849552,0.3621253921951002,24.074657623743292,0.0008409942243290391,628,ou15;ou25;ou35;x1x2
m12_joint_hybrid_synergy,+O4.5,excise_pruned,100,1351,623.2938181680692,14.316443779542938,1.4600865076415706,-43.67900288618434,17.77049972457035,0.1777049972457035,41,over_45,+O4.5,accretive_with_cannibalization,38,75.51062493410828,0.9963485352279514,-0.02168760963547456,34.82868707409182,0.009196367771569403,628,ou15;ou25;ou45;x1x2
m12_joint_hybrid_synergy,+BTTS_yes,excise_pruned,100,1370,583.3035123163958,13.741210124832827,1.4580594295024487,-41.94189151344425,17.872008657150882,0.17872008657150878,41,btts_yes,+BTTS_yes,cannibalizing,62,0.29506718203342164,0.9870951470416195,0.13320769243621022,-5.161618777581566,0.007169289632447562,628,btts;ou15;ou25;x1x2
m12_joint_hybrid_synergy,+BTTS_no,excise_pruned,100,1359,584.9251253723073,13.709480068173987,1.4855643057673174,-41.12685182542952,17.807845974002625,0.17807845974002628,42,btts_no,+BTTS_no,toxic,51,-9.894195060566728,0.9900060198336968,0.16723388526462735,-3.5400057216700134,0.0346741658973162,628,btts;ou15;ou25;x1x2
m05_joint_grw_smile_spine_w040,P0 Option B,excise_pruned,100,1188,576.1331019902052,16.407057164586277,1.5370174842308106,-42.81333765155565,14.554970946963182,0.14554970946963183,15,P0,P0 Option B,baseline,0,NaN,1.0,0.0,0.0,0.0,628,ou15;ou25;x1x2
m05_joint_grw_smile_spine_w040,+U0.5,excise_pruned,100,1328,411.22149030542914,13.767019986697903,1.3264820584142467,-38.96582796158081,15.203733301012408,0.15203733301012406,20,under_05,+U0.5,toxic,143,-57.997263919597074,1.003309956551258,0.30615357469590165,-164.91161168477606,-0.21053542581656393,628,ou05;ou15;ou25;x1x2
m05_joint_grw_smile_spine_w040,+U1.5,excise_pruned,100,1401,516.3710722878706,14.298050927669058,1.52437653091562,-35.70471561666817,15.791234240930052,0.15791234240930052,27,under_15,+U1.5,toxic,213,-1.8808545203342824,0.9653190422521505,-0.1059309516905067,-59.762029702334644,-0.01264095331519055,628,ou15;ou25;x1x2
m05_joint_grw_smile_spine_w040,+U3.5,excise_pruned,100,1252,474.19944144565795,14.658905505415552,1.4295937171540463,-44.12772959718632,15.037464841632271,0.15037464841632273,18,under_35,+U3.5,toxic,18,-1.8886638553366735,1.0269396907251263,-1.6447864494321305,-101.93366054454725,-0.10742376707676438,628,ou15;ou25;ou35;x1x2
m05_joint_grw_smile_spine_w040,+U4.5,excise_pruned,100,1217,535.1263567378467,15.650405074016712,1.5230442452889874,-41.43140991073333,14.704914990596022,0.14704914990596019,17,under_45,+U4.5,cannibalizing,1,45.08,1.0098663137216253,-0.7702355672980552,-41.00674525235854,-0.01397323894182323,628,ou15;ou25;ou45;x1x2
m05_joint_grw_smile_spine_w040,+O2.5,excise_pruned,100,1287,547.717066957904,15.633606776060013,1.4957870959906432,-42.96892650345061,15.01271264541922,0.1501271264541922,20,over_25,+O2.5,cannibalizing,99,3.7443504816486413,0.9857157267389715,-0.22248726667294605,-28.416035032301238,-0.04123038824016745,628,ou15;ou25;x1x2
m05_joint_grw_smile_spine_w040,+O3.5,excise_pruned,100,1456,434.6154670072669,12.736335144339392,1.3839596303905697,-42.84142928739861,16.662297345129137,0.1666229734512914,35,over_35,+O3.5,cannibalizing,222,1.343202584309217,1.0184219213065457,-2.258156423911066,-141.51763498293832,-0.15305785384024095,628,ou15;ou25;ou35;x1x2
m05_joint_grw_smile_spine_w040,+O4.5,excise_pruned,100,1310,548.8481939363073,15.13448885716189,1.4949954642968002,-43.692573892453865,15.525853603730974,0.1552585360373097,23,over_45,+O4.5,cannibalizing,94,8.464165850287854,1.0049827065202706,-0.8636765439223151,-27.28490805389788,-0.042022019934010446,628,ou15;ou25;ou45;x1x2
