model,p0_return_pct,p0_roi_pct,p0_sharpe_ann,p0_max_drawdown_pct,n_accretive,n_toxic,n_cannibalizing,best_tier_return_pct,best_tier_sharpe_ann,best_tier_max_drawdown_pct,t012_delta_return_pp
m05_joint_production_wealth,532.303970993003,13.844481293648002,1.4202331934942067,-39.19669832410285,3,2,4,185.08761903879108,1.4829988101413452,-23.95221590077296,-53.024952114564144
m12_joint_hybrid_synergy,588.4651310939773,13.955004922194439,1.4508901398700011,-42.35216515135185,5,2,2,220.69555515695387,1.5453013130100663,-29.473520355557888,-14.49391992803396
m05_joint_grw_smile_spine_w040,576.1331019902052,16.407057164586277,1.5370174842308106,-42.81333765155565,0,4,5,181.1213497753291,1.6549765715415263,-27.10207719739407,-126.25969798353412
