model,policy,t012_mode,n_slates,n_bets,total_return_pct,roi_pct,sharpe_ann,max_drawdown_pct,total_turnover,mean_exposure,n_capped,tau1,tau2,tau3,survivors,n_books,market_signature,pareto
m05_joint_production_wealth,tier_grid,excise_pruned,100,1281,102.53294227455183,13.100221152991155,1.5329755055873717,-16.529640276738323,5.877372155556728,0.05877372155556727,0,0.3,0.15,0.0,under_15;under_35;under_45,628,ou15;ou25;x1x2,false
m05_joint_production_wealth,tier_grid,excise_pruned,100,1532,100.28780101374358,12.7896153114372,1.5231578951825078,-16.613784847107933,5.923406807187294,0.05923406807187293,0,0.3,0.15,0.05,under_15;under_35;under_45,628,ou15;ou25;ou35;ou45;x1x2,false
m05_joint_production_wealth,tier_grid,excise_pruned,100,1532,104.71563506634736,12.710655485962416,1.5675447508350486,-16.448793290746703,6.135584105061337,0.06135584105061337,0,0.3,0.15,0.1,under_15;under_35;under_45,628,ou15;ou25;ou35;ou45;x1x2,true
m05_joint_production_wealth,tier_grid,excise_pruned,100,1281,118.33064024555489,12.960976441967768,1.5395056316280595,-17.418883792732736,6.626737839297986,0.0662673783929799,0,0.3,0.2,0.0,under_15;under_35;under_45,628,ou15;ou25;x1x2,true
m05_joint_production_wealth,tier_grid,excise_pruned,100,1532,115.63624685645988,12.685403383708621,1.5236071115954282,-17.902614044286388,6.665660427358208,0.0666566042735821,0,0.3,0.2,0.05,under_15;under_35;under_45,628,ou15;ou25;ou35;ou45;x1x2,false
m05_joint_production_wealth,tier_grid,excise_pruned,100,1532,120.45249539256169,12.618179749863115,1.567120801768409,-18.18663059704595,6.877837725232255,0.06877837725232254,0,0.3,0.2,0.1,under_15;under_35;under_45,628,ou15;ou25;ou35;ou45;x1x2,true
m05_joint_production_wealth,tier_grid,excise_pruned,100,1281,134.3791023278609,12.850024503071948,1.513616021831211,-18.99410049037238,7.3761035230392515,0.07376103523039251,0,0.3,0.25,0.0,under_15;under_35;under_45,628,ou15;ou25;x1x2,true
m05_joint_production_wealth,tier_grid,excise_pruned,100,1532,131.18964164996433,12.602074981389546,1.4934404343925303,-19.649514273768844,7.407914047529127,0.07407914047529127,0,0.3,0.25,0.05,under_15;under_35;under_45,628,ou15;ou25;ou35;ou45;x1x2,false
m05_joint_production_wealth,tier_grid,excise_pruned,100,1532,136.40726494337832,12.543719663914544,1.5351374876976718,-19.922122841800906,7.6200913454031705,0.07620091345403171,0,0.3,0.25,0.1,under_15;under_35;under_45,628,ou15;ou25;ou35;ou45;x1x2,true
m05_joint_production_wealth,tier_grid,excise_pruned,100,1281,116.63858939136836,13.171395359845961,1.4973877623965488,-19.4645702004133,6.482251339612215,0.06482251339612216,0,0.35,0.15,0.0,under_15;under_35;under_45,628,ou15;ou25;x1x2,false
