component,acf1,acf1_sq,excess_kurtosis,acf1_q05,acf1_q95
att,0.0014690714949014492,-0.010120836771785694,-0.0969785557596996,-0.04547961548575373,0.040530526748998985
def,0.0008859151406763671,-0.012503634311754427,-0.09916358967524608,-0.04087326233757191,0.04014151281676902
