week,week_start,p_turbulent_att,p_turbulent_def,n_obs
1,2024-07-29,0.0,0.0,18
2,2024-08-05,0.1470530303030303,0.1271818181818182,18
3,2024-08-12,0.12104545454545455,0.10247348484848486,16
4,2024-08-19,0.10342045454545455,0.09038257575757574,16
5,2024-08-26,0.06534090909090909,0.055689393939393934,18
6,2024-09-02,0.04871590909090909,0.042829545454545453,0
7,2024-09-09,0.0406780303030303,0.03888257575757576,16
8,2024-09-16,0.035034090909090904,0.03647348484848485,18
9,2024-09-23,0.029681818181818177,0.035602272727272725,16
10,2024-09-30,0.028121212121212123,0.03654545454545455,18
11,2024-10-07,0.030856060606060606,0.04041666666666666,0
12,2024-10-14,0.036102272727272726,0.04607954545454546,18
13,2024-10-21,0.05195833333333333,0.05875,10
14,2024-10-28,0.050446969696969705,0.05759090909090909,18
15,2024-11-04,0.03954924242424242,0.045973484848484854,18
16,2024-11-11,0.035064393939393944,0.042276515151515155,18
17,2024-11-18,0.03135984848484849,0.04040909090909091,2
18,2024-11-25,0.027901515151515146,0.03975,2
19,2024-12-02,0.025435606060606054,0.03955681818181818,22
20,2024-12-09,0.024545454545454547,0.04054166666666667,18
21,2024-12-16,0.02097727272727273,0.04048863636363637,24
22,2024-12-23,0.018287878787878787,0.037295454545454534,16
23,2024-12-30,0.017412878787878786,0.03537878787878788,14
24,2025-01-06,0.015094696969696968,0.030590909090909092,12
25,2025-01-13,0.013708333333333333,0.02683712121212122,10
26,2025-01-20,0.012806818181818181,0.024170454545454547,16
27,2025-01-27,0.012147727272727272,0.022818181818181814,20
28,2025-02-03,0.01178030303030303,0.021886363636363638,18
29,2025-02-10,0.01106439393939394,0.021386363636363634,18
30,2025-02-17,0.010670454545454547,0.020575757575757577,18
31,2025-02-24,0.010125,0.01998863636363636,20
32,2025-03-03,0.010371212121212121,0.020628787878787882,20
33,2025-03-10,0.010162878787878788,0.020700757575757577,22
34,2025-03-17,0.009700757575757576,0.020261363636363636,18
35,2025-03-24,0.009693181818181818,0.02025,18
36,2025-03-31,0.010446969696969698,0.020920454545454544,18
37,2025-04-07,0.011916666666666666,0.022401515151515148,18
38,2025-04-14,0.014553030303030302,0.0249469696969697,18
39,2025-04-21,0.018496212121212118,0.03108333333333333,18
40,2025-04-28,0.02217045454545455,0.03908333333333333,18
41,2025-05-05,0.01790530303030303,0.031696969696969696,0
42,2025-05-12,0.014890151515151516,0.026537878787878787,0
43,2025-05-19,0.012806818181818181,0.023132575757575755,0
44,2025-05-26,0.01112121212121212,0.020829545454545455,0
45,2025-06-02,0.009920454545454545,0.0191969696969697,0
46,2025-06-09,0.008867424242424243,0.017935606060606058,0
47,2025-06-16,0.008257575757575757,0.017,0
48,2025-06-23,0.007553030303030304,0.01615530303030303,0
49,2025-06-30,0.007128787878787879,0.01597727272727273,0
50,2025-07-07,0.00675,0.01568939393939394,0
51,2025-07-14,0.00659469696969697,0.015636363636363636,0
52,2025-07-21,0.006208333333333333,0.015674242424242424,0
53,2025-07-28,0.005852272727272726,0.016238636363636365,18
54,2025-08-04,0.0058295454545454544,0.01734090909090909,18
55,2025-08-11,0.006473484848484848,0.021303030303030303,12
56,2025-08-18,0.007223484848484848,0.02262121212121212,18
57,2025-08-25,0.007420454545454546,0.026064393939393946,18
58,2025-09-01,0.006772727272727272,0.031268939393939404,0
59,2025-09-08,0.007257575757575758,0.043522727272727275,16
60,2025-09-15,0.01200378787878788,0.0893181818181818,18
61,2025-09-22,0.01306060606060606,0.08959469696969696,18
62,2025-09-29,0.009041666666666668,0.03706060606060606,18
63,2025-10-06,0.0065833333333333325,0.018261363636363635,2
64,2025-10-13,0.0059696969696969695,0.009734848484848485,18
65,2025-10-20,0.00646969696969697,0.00581060606060606,10
66,2025-10-27,0.0075795454545454525,0.004791666666666667,18
67,2025-11-03,0.007943181818181818,0.003950757575757576,16
68,2025-11-10,0.004768939393939395,0.003045454545454545,16
69,2025-11-17,0.00393560606060606,0.002965909090909091,18
70,2025-11-24,0.003867424242424243,0.002965909090909091,2
71,2025-12-01,0.004045454545454546,0.003147727272727273,14
72,2025-12-08,0.0050227272727272725,0.003231060606060606,18
73,2025-12-15,0.009931818181818182,0.0058143939393939395,18
74,2025-12-22,0.01787878787878788,0.0035151515151515154,18
75,2025-12-29,0.021909090909090902,0.0028787878787878782,8
76,2026-01-05,0.020674242424242425,0.002852272727272727,10
77,2026-01-12,0.01768939393939394,0.0028484848484848484,4
78,2026-01-19,0.012238636363636366,0.0022727272727272726,20
79,2026-01-26,0.007643939393939394,0.0017196969696969696,18
80,2026-02-02,0.00434090909090909,0.0017462121212121213,10
81,2026-02-09,0.003568181818181818,0.0016856060606060604,18
82,2026-02-16,0.003632575757575758,0.0018181818181818182,26
83,2026-02-23,0.004359848484848485,0.0017954545454545452,24
84,2026-03-02,0.005140151515151515,0.0017765151515151513,20
85,2026-03-09,0.007178030303030303,0.0022045454545454547,24
86,2026-03-16,0.010772727272727274,0.0031969696969696977,20
87,2026-03-23,0.02076893939393939,0.006321969696969696,18
88,2026-03-30,0.04342424242424242,0.011106060606060607,16
89,2026-04-06,0.06431060606060607,0.022662878787878784,20
90,2026-04-13,0.09123484848484847,0.03961742424242423,18
91,2026-04-20,0.08803787878787879,0.037840909090909085,16
