week,week_start,sigma_att,sigma_def
1,2024-07-29,1.0,1.0
2,2024-08-05,0.016941458236548104,0.028883812562540787
3,2024-08-12,0.017205862537355357,0.029973821938530376
4,2024-08-19,0.017007089393405082,0.02972987050307967
5,2024-08-26,0.016736748068728824,0.027828672669849595
6,2024-09-02,0.016527196620624122,0.02656374591904023
7,2024-09-09,0.016324095327750265,0.025886149216402008
8,2024-09-16,0.01613170733154705,0.025593439151208597
9,2024-09-23,0.01603940865018522,0.025490706243157735
10,2024-09-30,0.015948536388926036,0.025632579573806435
11,2024-10-07,0.01607309960740365,0.026090911503278778
12,2024-10-14,0.0162895031813637,0.026759551616041086
13,2024-10-21,0.01658790133962786,0.027797857239294253
14,2024-10-28,0.01657186289577955,0.027558741044430245
15,2024-11-04,0.016101140276219547,0.026792483970952206
16,2024-11-11,0.0158228777695581,0.026426109607131907
17,2024-11-18,0.015698231188339976,0.026244317051979257
18,2024-11-25,0.015733098844976572,0.02636474810317634
19,2024-12-02,0.015809967826914312,0.026547941307101364
20,2024-12-09,0.01598814113104087,0.026845592013210195
21,2024-12-16,0.015660039127609448,0.026986599156463266
22,2024-12-23,0.015460472399903297,0.02638390072327026
23,2024-12-30,0.01537396113627228,0.025838270704600208
24,2025-01-06,0.015392197736684847,0.024849684456230935
25,2025-01-13,0.015514515579463177,0.02411281432090852
26,2025-01-20,0.015600083183073528,0.02362928284132916
27,2025-01-27,0.01575996784440152,0.023308784519926903
28,2025-02-03,0.015953207848938108,0.0231903267882383
29,2025-02-10,0.01593843840849329,0.02312957150271582
30,2025-02-17,0.015848308290093576,0.02289761812982176
31,2025-02-24,0.01564947203735659,0.022776828948702657
32,2025-03-03,0.015358718850910934,0.02285799282164579
33,2025-03-10,0.014897954841141843,0.0229437582805621
34,2025-03-17,0.014601442347728878,0.022921613465738854
35,2025-03-24,0.014489999325415087,0.022877303677957872
36,2025-03-31,0.014524613692398462,0.023059839821976954
37,2025-04-07,0.014677897337891543,0.023560046833603507
38,2025-04-14,0.014762325711180701,0.024332160098012923
39,2025-04-21,0.014749074104510346,0.025418007480698467
40,2025-04-28,0.014661249313740965,0.02650452724148129
41,2025-05-05,0.014455676106089617,0.025339780665161005
42,2025-05-12,0.014293594791055868,0.02444577450928942
43,2025-05-19,0.0141666375869784,0.023940837706767172
44,2025-05-26,0.014068690327925081,0.023402341423329632
45,2025-06-02,0.014100332945657207,0.023029213489236935
46,2025-06-09,0.014068558188296111,0.02282251796149213
47,2025-06-16,0.014035535468133641,0.022658449383474024
48,2025-06-23,0.01404950324759997,0.022550461001175918
49,2025-06-30,0.01411122004158833,0.022540246947014182
50,2025-07-07,0.014194527665110491,0.02265069201167431
51,2025-07-14,0.014242267320229719,0.022858147745010937
52,2025-07-21,0.014392258404542568,0.02317977984142201
53,2025-07-28,0.014556820763874066,0.023679294129616935
54,2025-08-04,0.014748306812268254,0.024308861268435965
55,2025-08-11,0.0151013708330072,0.02536433763236229
56,2025-08-18,0.015382614060666133,0.025700620714886956
57,2025-08-25,0.015545593680647951,0.02700108280475091
58,2025-09-01,0.015470954485411404,0.028858921616170985
59,2025-09-08,0.015491475748570079,0.03196750462539272
60,2025-09-15,0.01554823167616995,0.03842097967575291
61,2025-09-22,0.015489654617278581,0.03787112000844837
62,2025-09-29,0.01523774253505701,0.030498936994067038
63,2025-10-06,0.015171335162410475,0.026944107634520823
64,2025-10-13,0.01522967101593889,0.024930607846102248
65,2025-10-20,0.015483822387641897,0.023745295697650447
66,2025-10-27,0.015757053780828378,0.023020363636172745
67,2025-11-03,0.016054884256236798,0.022613046901320946
68,2025-11-10,0.016122015382694577,0.022365951774792957
69,2025-11-17,0.01620428240206118,0.022249141295831967
70,2025-11-24,0.016368388331742176,0.022194994800069076
71,2025-12-01,0.016532773010019212,0.02230987596084332
72,2025-12-08,0.01680843553518732,0.02224746942349549
73,2025-12-15,0.017298465742066064,0.02249951197726546
74,2025-12-22,0.01776485653358733,0.02230851330277147
75,2025-12-29,0.017942811998065838,0.022201558120895835
76,2026-01-05,0.01776723196752273,0.022211526545834585
77,2026-01-12,0.017208815288825792,0.022249561723272554
78,2026-01-19,0.016617150527470922,0.022040488480264277
79,2026-01-26,0.016137392610945763,0.02190822755097515
80,2026-02-02,0.01590635306690141,0.021740166807396488
81,2026-02-09,0.015915208831529862,0.02161347565727678
82,2026-02-16,0.016041691125842025,0.021414222482617956
83,2026-02-23,0.016417517541486886,0.021180724862506523
84,2026-03-02,0.016871092202240145,0.021368236947976557
85,2026-03-09,0.01745711501212477,0.022006046143500633
86,2026-03-16,0.018163717092918297,0.023053077929209277
87,2026-03-23,0.019399207517735783,0.024603704062551038
88,2026-03-30,0.02120269040212865,0.02599527458237052
89,2026-04-06,0.022106420191532118,0.027720175994891582
90,2026-04-13,0.022564008362744834,0.02841886657014129
91,2026-04-20,0.02173935691452502,0.02733489427564182
