arm,parameters,mean,std,ess_bulk,ess_tail,rhat,5.0%,50.0%,95.0%,gate_pass
a0_static,sigma_obs,0.15457804704421213,0.0031704573866781203,12217.54363110384,8988.889372385973,1.000248473332259,0.14944146382787424,0.15452135422723165,0.15994654952312667,true
a1_grw1,sigma_obs,0.09281450971818767,0.0028064589694631855,7887.392841836642,8301.683400524009,1.0009589222007744,0.08826148143880927,0.09283282009450716,0.09746537817569655,true
a1_grw1,sigma_att,0.026975116242263796,0.0024944884215211114,9323.786843280124,8712.085163456994,1.0005530205186326,0.023040493586186327,0.026884845509388668,0.031214992434630166,true
a1_grw1,sigma_def,0.029079509326965285,0.002681113585901277,8927.328197722103,8903.996492499584,1.000198213121608,0.0248641824080863,0.02900361633077322,0.03362968979218509,true
a1b_grw1_break,sigma_obs,0.09282755816517783,0.002822447591408472,7996.7108619998335,7691.971563162903,1.0003859296311521,0.08831000120147658,0.09278803048505531,0.09757998080112386,true
a1b_grw1_break,sigma_att,0.02696387140181528,0.002465482433434337,9142.452836421377,8503.132581395063,1.0005462405845973,0.023008746527703294,0.026938546993575854,0.031058289054900143,true
a1b_grw1_break,sigma_def,0.02906969781509637,0.0026937891801829235,8675.034707689985,8365.972017182494,1.0004971866186436,0.0247718274575379,0.028985662616236196,0.03359374448756969,true
a1b_grw1_break,sigma_break,0.02538096471220452,0.019559515469348285,7920.972265978038,6310.653382097887,0.9999231390860215,0.001949459941009451,0.021340635720468674,0.06347537093429854,true
a2_momentum,sigma_obs,0.09399326950960506,0.0029282037873492716,8695.366003251247,10910.22196290496,0.9999502338287946,0.08920321793026117,0.09399893915032553,0.09883598004089755,true
a2_momentum,sigma_att,0.01609870212278779,0.008614671131405722,1800.1265923488406,7093.471290187173,1.0013214639982486,0.0017647599504153405,0.016769496928799074,0.028373339854714907,true
a2_momentum,sigma_def,0.01912465208338574,0.008520318097658477,1762.3050307443173,6409.506428648507,1.001363300753422,0.003198656572105157,0.020359428641820825,0.030839029770940322,true
a2_momentum,phi,0.3381717384999054,0.16410913732623514,4193.730205842232,7640.430278415317,1.0003044348911299,0.08815534315125571,0.3269250246278972,0.6265717287127355,true
a2_momentum,sigma_v,0.012705921966904971,0.006592485469587696,1492.0787080590874,4961.745603630127,1.001663164596705,0.0013964320426036023,0.013447798622002637,0.022671631949389807,true
a3_stochvol,sigma_obs,0.07884390111113569,0.0034472021035605264,1523.946902233228,4984.0184297385,1.001804740028471,0.07317639732799966,0.07886747738573346,0.08449294775969551,true
a3_stochvol,hbar_att,-4.1940992416917995,0.24177067999191293,429.6021429264642,1684.1472625297042,1.0096417793958203,-4.60176178330548,-4.188216442312157,-3.813381219970141,true
a3_stochvol,hbar_def,-3.820296296522221,0.2203130656142177,350.90403634413343,913.2062105433395,1.009853115099546,-4.197941735989904,-3.8099235317489235,-3.4767549653237806,true
a3_stochvol,gamma_h,0.9068999611716655,0.06320322167659849,152.57339850516706,424.15449684565374,1.0110456848496774,0.7769161380844725,0.9247891823211278,0.9757346447737497,false
a3_stochvol,sigma_h,0.405128942615429,0.15426378898563917,152.40042935062243,429.9803425365053,1.0116130670089611,0.19723775353997547,0.3813954082604344,0.6958553489130054,false
a4_regime,sigma_obs,0.07763803562033018,0.003009846557141432,1478.0579975366356,5219.305463180913,1.0013055037016854,0.07269990819566198,0.07760128340111004,0.08261378571996503,true
a4_regime,sigma1_att,0.023810483263898136,0.0024393151079198333,697.4252645857981,2986.288863983871,1.0068819645010214,0.020037974526927172,0.023705817639040318,0.028011193805761843,true
a4_regime,sigma1_def,0.030839458155034794,0.0028581860194931787,1086.4660050162795,4206.187516557783,1.0044087291636397,0.02621590055437271,0.03078998581460618,0.03556907020103276,true
a4_regime,delta,12.14853872616079,2.3778281489795936,963.7568243704943,3337.026814689684,1.0060562771695247,8.661663309607828,11.932503132276246,16.45414564432806,true
a4_regime,p11,0.9961481556076112,0.0016333884200060787,488.6470411691573,1618.739867270646,1.0115577189539535,0.9931580354435867,0.996412669819323,0.9983331749633556,true
a4_regime,p22,0.8128251749265603,0.08146471534449269,202.04478789671572,514.9423105256119,1.0195372227294661,0.6620322805512044,0.8242323255271149,0.9230513020010189,true
