arm,parameters,mean,std,ess_bulk,ess_tail,rhat,5.0%,50.0%,95.0%
a0_static,sigma_obs,0.13584358072794567,0.00393718306930052,6220.5236909427995,4671.362179622109,1.0000500360958025,0.12958607932725608,0.13580828387198168,0.1423405857761514
a1_grw1,sigma_obs,0.09813830339767109,0.003854578742717276,4354.0147670937495,4255.683039112743,0.999970010448867,0.09196327589138184,0.09809978162246591,0.10457388879351542
a1_grw1,sigma_att,0.02304511914994463,0.003299683029104075,5079.25569934695,4117.335406739725,1.0001544864989664,0.017921872721111565,0.022891615918621173,0.028763812228455216
a1_grw1,sigma_def,0.026135880522144835,0.0034521344855160713,4900.9847333607795,4422.442047170786,0.999998471235798,0.020790004853756646,0.025956938756193756,0.03209647974411991
a1b_grw1_break,sigma_obs,0.09825871410581782,0.0038004770620212493,4546.354391707521,4767.803410526354,1.0002103899636705,0.09205036686416583,0.09819400306166606,0.10455898785538356
a1b_grw1_break,sigma_att,0.0229839710954759,0.003389446339033966,5146.4093894739335,4435.197052543864,1.0005381742746184,0.01779187749362278,0.0227430968452356,0.028896654129392962
a1b_grw1_break,sigma_def,0.02614647734059869,0.00340311322184884,4899.957284264522,4365.113899361194,1.0014385627448725,0.020853537952026383,0.025876016852963816,0.03216517589841946
a1b_grw1_break,sigma_break,0.23908580413244104,0.18144232294599189,4617.719322031496,3841.048916997647,1.000499625860385,0.01918525697000851,0.1996489716540526,0.5882358883428671
a2_momentum,sigma_obs,0.09916804759411385,0.0038597644916322656,5677.47728214009,5601.692994989903,1.000217451615281,0.09298832679557785,0.09910283682653223,0.1056851900635338
a2_momentum,sigma_att,0.013735188326190358,0.007533184591058465,2279.041094353862,4705.42697321801,1.0011286826278967,0.0015482352554955369,0.01409465137122585,0.025407563511761155
a2_momentum,sigma_def,0.017347033515094593,0.007905966414341428,2331.780193165858,5245.765205334577,1.0012263194903008,0.0027747991310099365,0.018373723718101424,0.028833953837930464
a2_momentum,phi,0.41561155575764147,0.19740931414489254,2585.7418802409,4025.8123569064496,1.0012058741133005,0.11050199464676415,0.40633488493528036,0.7516093703145097
a2_momentum,sigma_v,0.009870515012423045,0.005399586866679103,1539.150418966506,3929.1515330495513,1.002968783160966,0.0013286141665009763,0.009692584485614563,0.018824967616684205
a3_stochvol,sigma_obs,0.09325581586350311,0.0058138860814787915,358.16774247086926,1810.1314912044816,1.0050099751724633,0.0835301321639615,0.09334959347457472,0.10248244528805135
a3_stochvol,hbar_att,-4.122462028241695,0.34038946977776946,434.4188287822945,1475.1191813017476,1.0070590790783067,-4.750564704423284,-4.071847281408394,-3.651708784498088
a3_stochvol,hbar_def,-3.877839692523624,0.2901827227323462,587.3310729168096,1341.9926654870155,1.0120728799555412,-4.411934111497924,-3.83505235704325,-3.47175214717522
a3_stochvol,gamma_h,0.8457122486298995,0.1139241376399232,411.5787480669711,907.0179583490227,1.0049981204851381,0.6152448452243475,0.8758451073604976,0.9724315838837733
a3_stochvol,sigma_h,0.32654608965994,0.19397813194075722,394.5080069010308,1179.541997167158,1.0077579578183957,0.03583088008460161,0.31043749898717343,0.6727856165224662
a4_regime,sigma_obs,0.09101309183189589,0.0061235379757241725,124.07172299369249,662.7528388562679,1.0294512313405453,0.08169959302690366,0.09049462486057144,0.1014702521881536
a4_regime,sigma1_att,0.02142395387816856,0.003966381772854591,746.7140194550572,1155.9941329043957,1.004604057360347,0.014966090323621976,0.021453966941697784,0.02789891030416636
a4_regime,sigma1_def,0.02564549685219501,0.004630924375340087,276.5952477621069,647.8358846944878,1.0141110014234014,0.01790817326932788,0.025753018768630426,0.03294790099504323
a4_regime,delta,7.251289553206295,4.974334887638066,105.23901426031085,528.7483262372544,1.0269871955152305,0.1531394783145417,7.893088995348235,15.244747369392138
a4_regime,p11,0.9748704520909567,0.047389530677242386,94.76605183961806,302.28770440946187,1.0332168033005982,0.8736501928125978,0.9949790420608559,0.9990238181231285
a4_regime,p22,0.8078306713966913,0.10308880098953555,164.23470992498173,106.11375794152369,1.0281272991092232,0.6094760941723554,0.8266324357550368,0.941378178319431
