model,scope,n_obs,logloss,market_logloss,brier,market_brier,ece,market_ece,mce,market_mce,rps,market_rps,dynamics,role
m00_baseline_grw,all,2899,0.6443338167281294,0.6418155553508617,0.22654413960266248,0.2252928320612554,0.018396246514216286,0.01390748520485936,0.2943477771283607,0.32902138777066514,0.22491772326015966,0.2111040320023605,MultiScaleGRW,ladder
m00_baseline_grw,1X2,1785,0.6166577579637107,0.6131180107974481,0.21329497170950895,0.21156444032291422,0.018922268963759384,0.018580646181840455,0.07351403226749875,0.32902138777066514,0.22491772326015966,0.2111040320023605,MultiScaleGRW,ladder
m00_baseline_grw,OU2.5,758,0.6875523585594583,0.6898782309589602,0.24721294772080826,0.24829171351414944,0.022230397870731736,0.01829866107755568,0.2902068427974982,0.7079376625841927,0.22491772326015966,0.2111040320023605,MultiScaleGRW,ladder
m00_baseline_grw,BTTS,356,0.6910813172515581,0.6833706365781275,0.24896775796143963,0.2451580767568855,0.035325585851323414,0.03004396402078209,0.2984887114592232,0.07307236039881282,0.22491772326015966,0.2111040320023605,MultiScaleGRW,ladder
m05_wealth_grw,all,2899,0.6431513297221412,0.6418155553508617,0.22602666692656073,0.2252928320612554,0.012339548783243948,0.01390748520485936,0.048544949878953636,0.32902138777066514,0.22382909760542746,0.2111040320023605,MultiScaleGRW,ladder
m05_wealth_grw,1X2,1785,0.615583560697691,0.6131180107974481,0.21285602600310086,0.21156444032291422,0.012427592819970856,0.018580646181840455,0.07693888905195523,0.32902138777066514,0.22382909760542746,0.2111040320023605,MultiScaleGRW,ladder
m05_wealth_grw,OU2.5,758,0.689861183954026,0.6898782309589602,0.24838943929089077,0.24829171351414944,0.03114914238476338,0.01829866107755568,0.048561211348808975,0.7079376625841927,0.22382909760542746,0.2111040320023605,MultiScaleGRW,ladder
m05_wealth_grw,BTTS,356,0.6819221111852717,0.6833706365781275,0.2444497360170407,0.2451580767568855,0.03661720938185401,0.03004396402078209,0.08033928068592405,0.07307236039881282,0.22382909760542746,0.2111040320023605,MultiScaleGRW,ladder
m10_lineup_grw,all,2899,0.6456071314842263,0.6418155553508617,0.2271254547686531,0.2252928320612554,0.009160463699578158,0.01390748520485936,0.18965363506863508,0.32902138777066514,0.2263098552258869,0.2111040320023605,MultiScaleGRW,ladder
m10_lineup_grw,1X2,1785,0.6186726447396076,0.6131180107974481,0.21420664188312022,0.21156444032291422,0.010813653208301818,0.018580646181840455,0.373926678156862,0.32902138777066514,0.2263098552258869,0.2111040320023605,MultiScaleGRW,ladder
m10_lineup_grw,OU2.5,758,0.6875996373288185,0.6898782309589602,0.2472478897937949,0.24829171351414944,0.01088396528523316,0.01829866107755568,0.011361287405651066,0.7079376625841927,0.2263098552258869,0.2111040320023605,MultiScaleGRW,ladder
m10_lineup_grw,BTTS,356,0.6912468489250907,0.6833706365781275,0.24905600322825494,0.2451580767568855,0.020480621009969818,0.03004396402078209,0.0217709405304245,0.07307236039881282,0.2263098552258869,0.2111040320023605,MultiScaleGRW,ladder
m12_joint_hybrid_synergy_grw,all,2899,0.6443669937085393,0.6418155553508617,0.22658647922158026,0.2252928320612554,0.008626804472396374,0.01390748520485936,0.29520502821725225,0.32902138777066514,0.2249329946938164,0.2111040320023605,MultiScaleGRW,ladder
m12_joint_hybrid_synergy_grw,1X2,1785,0.6170085958305986,0.6131180107974481,0.21349828472128515,0.21156444032291422,0.014035671593558308,0.018580646181840455,0.0543901595979539,0.32902138777066514,0.2249329946938164,0.2111040320023605,MultiScaleGRW,ladder
m12_joint_hybrid_synergy_grw,OU2.5,758,0.6897270450654828,0.6898782309589602,0.24833299640336687,0.24829171351414944,0.01327734213467759,0.01829866107755568,0.29520502821725225,0.7079376625841927,0.2249329946938164,0.2111040320023605,MultiScaleGRW,ladder
m12_joint_hybrid_synergy_grw,BTTS,356,0.684961997314052,0.6833706365781275,0.24590829708459874,0.2451580767568855,0.040210337940266926,0.03004396402078209,0.10268053329853599,0.07307236039881282,0.2249329946938164,0.2111040320023605,MultiScaleGRW,ladder
m05_joint_td_raw,all,2899,0.6429863825954205,0.6418155553508617,0.22586363000096762,0.2252928320612554,0.014930352713004068,0.01390748520485936,0.0648855921264766,0.32902138777066514,0.2241528100882081,0.2111040320023605,TimeDecay(180),control
