team,observed,expected_under_adjusted_null,smr
airdrieonians,15.0,12.977125495469096,1.155880014047578
albion-rovers,13.0,11.874592193979359,1.094774438366923
alloa-athletic,12.0,25.426294424088123,0.4719523733915215
annan-athletic,35.0,27.407167551084424,1.2770382030453618
arbroath,4.0,4.81189907768336,0.8312726296674036
bonnyrigg-rose,25.0,13.709060480540934,1.8236114747240175
brechin-city,0.0,1.9624054929346189,0.0
clyde-fc,16.0,26.120857155460005,0.6125373261977946
cove-rangers,24.0,21.989942892754215,1.0914080185223267
cowdenbeath,6.0,7.617377181950054,0.7876726931964784
dumbarton,29.0,28.76546432752469,1.0081533769038065
dunfermline-athletic,7.0,5.081774714500383,1.3774715317517197
east-fife,23.0,25.83611651801595,0.8902266710231672
east-kilbride,11.0,5.947280445678655,1.849584881774441
edinburgh-city-fc,31.0,28.072995272525453,1.1042640694040637
elgin-city,24.0,26.724957877517287,0.8980369626771351
falkirk-fc,17.0,16.38104548990162,1.0377847989299551
forfar-athletic,18.0,25.498202578030842,0.7059321120739991
hamilton-academical,5.0,11.045352781534428,0.45267906773959976
inverness-caledonian-thistle,5.0,9.095860315236768,0.5497006139841812
kelty-hearts-fc,22.0,25.208433748798488,0.8727237962988712
montrose,44.0,27.952555992048463,1.574095764713484
partick-thistle,3.0,2.007085553395328,1.4947045953895628
peterhead,27.0,26.161117824148455,1.0320659912734005
queen-of-the-south,24.0,20.658893505759536,1.1617272722427747
queens-park-fc,7.0,7.75994404848294,0.9020683598058277
ross-county,0.0,0.8614247656138945,0.0
stenhousemuir,29.0,27.240675930455513,1.0645844498879535
stirling-albion,21.0,29.022340731703647,0.723580506277354
stranraer,29.0,26.957073738304597,1.075784422357109
the-spartans-fc,19.0,14.825177718617223,1.28160352345322
