team,attempts,converted,conversion
montrose,44,32,0.7272727272727273
cove-rangers,24,17,0.7083333333333334
forfar-athletic,18,18,1.0
airdrieonians,15,9,0.6
stranraer,29,19,0.6551724137931034
stirling-albion,21,16,0.7619047619047619
brechin-city,0,0,
cowdenbeath,6,4,0.6666666666666666
clyde-fc,16,13,0.8125
albion-rovers,13,9,0.6923076923076923
edinburgh-city-fc,31,22,0.7096774193548387
peterhead,27,20,0.7407407407407407
falkirk-fc,17,15,0.8823529411764706
dumbarton,29,25,0.8620689655172413
east-fife,23,20,0.8695652173913043
partick-thistle,3,1,0.3333333333333333
stenhousemuir,29,23,0.7931034482758621
annan-athletic,35,28,0.8
elgin-city,24,17,0.7083333333333334
queens-park-fc,7,5,0.7142857142857143
kelty-hearts-fc,22,19,0.8636363636363636
alloa-athletic,12,11,0.9166666666666666
dunfermline-athletic,7,5,0.7142857142857143
queen-of-the-south,24,14,0.5833333333333334
bonnyrigg-rose,25,23,0.92
the-spartans-fc,19,17,0.8947368421052632
hamilton-academical,5,2,0.4
inverness-caledonian-thistle,5,3,0.6
arbroath,4,2,0.5
east-kilbride,11,10,0.9090909090909091
ross-county,0,0,
