replicate,pearson_x2,dispersion
1,4114.519937965806,1.0509629471177027
2,3881.009883265674,0.9913179778456384
3,4181.301386761492,1.0680207884448254
4,3998.0360626987876,1.021209722272998
5,3939.4499856327197,1.006245207058166
6,3840.25040891119,0.980906873285106
7,3907.5024712089357,0.9980849224033042
8,3922.0318611862804,1.0017961331254868
9,4086.824575476602,1.0438887804537937
10,3895.11674523674,0.9949212631511468
11,3933.615587775428,1.0047549394062396
12,3874.736720516737,0.9897156374244539
13,3919.5813942365253,1.0011702156415134
14,3918.078889316479,1.0007864340527406
15,3866.5622708516403,0.9876276553899465
16,3976.932397645848,1.0158192586579433
17,4024.286958279854,1.0279149318722487
18,3890.5325696232103,0.9937503370685083
19,3880.245024161638,0.9911226115355397
20,3894.7208493505836,0.9948201403194339
21,3932.2981737542596,1.0044184351862733
22,3999.787056409479,1.0216569748172362
23,4112.99920302015,1.0505745090728353
24,4133.770814838923,1.0558801570469791
25,3825.5024625924616,0.9771398371883683
26,3885.5231680957822,0.9924707964484757
27,3861.907900112943,0.9864387995179931
28,3915.840940231095,1.0002147995481725
29,4005.569704773297,1.0231340242077387
30,3995.4847344242276,1.0205580419985256
31,3941.5304329406135,1.006776611223656
32,3892.9710665429757,0.994373197073557
33,4120.922332574559,1.0525982969539103
34,3903.113032388332,0.9969637375193696
35,3973.005752611404,1.0148162841919295
36,3862.760030759458,0.9866564574098232
37,3764.4510419624166,0.9615456045881013
38,3962.127759901612,1.0120377419927489
39,3892.178013870006,0.9941706293409976
40,3826.009097120138,0.9772692457522703
41,3866.026398474258,0.9874907786652
42,3921.7220537412163,1.0017169996784716
43,3890.9223916269566,0.993849908461547
44,4028.3096744714994,1.0289424455865899
45,3898.9640744952967,0.9959039781597182
46,3976.356805607699,1.0156722364259767
47,3936.4977787176767,1.0054911312177974
48,3905.0111894646707,0.9974485796844625
49,3968.6704018614405,1.0137089149071368
50,3908.6964407196474,0.998389895458403
51,3931.6032604694146,1.004240934985802
52,3856.223586624682,0.9849868675925113
53,3859.2390430452087,0.9857570991175502
54,3887.8009183003574,0.9930525972670133
55,3903.1901426315026,0.9969834336223506
56,3934.8637213889538,1.0050737474812141
57,3864.979440282781,0.9872233563940692
58,3937.85167199102,1.0058369532544111
59,3899.465713650171,0.9960321107663272
60,3876.7046098734936,0.9902182911554263
61,3955.922050910462,1.0104526311393263
62,4014.4220488178735,1.0253951593404529
63,3926.9703687459705,1.0030575654523552
64,3829.8581850640103,0.9782524099780359
65,3958.1448733323464,1.0110204018728854
66,3954.6113313829296,1.0101178368794201
67,4009.5934575466654,1.0241618026939119
68,3811.5845324112215,0.973584810322151
69,3975.2842930889474,1.015398286868186
70,4021.836389598694,1.0272889884032423
71,4110.987309651358,1.0500606154920455
72,3916.0552870198067,1.0002695496857743
73,3988.8038497543457,1.018851558047087
74,3829.1830718351284,0.9780799672631235
75,3869.8324373996893,0.9884629469731007
76,3945.241636086873,1.007724555833173
77,3879.1657116897027,0.9908469250803839
78,3995.997079556475,1.0206889092098277
79,3846.3194858523593,0.982457084508904
80,3739.594276660962,0.9551964946771295
81,3861.1580172373565,0.9862472585536032
82,3902.149916947728,0.996717731021131
83,3969.8807365734483,1.0140180680902806
84,3947.8133597596325,1.0083814456601872
85,3924.2877381351527,1.0023723469055308
86,3885.5423436316532,0.9924756944142153
87,3838.8983453030214,0.9805615185959187
88,3913.3297019198617,0.9995733593665036
89,3900.7449267306383,0.9963588574024619
90,4039.835713446826,1.0318865168446554
91,3993.524870662527,1.0200574382279763
92,3853.2378765485096,0.9842242341120075
93,3873.810690788425,0.9894791036496615
94,3882.8696178505897,0.9917930058366768
95,3914.5414728605015,0.9998828794024269
96,4081.6584732616116,1.0425692141153542
97,3863.1760542471347,0.9867627213913499
98,3989.467318717275,1.0190210264922797
99,3712.736598347028,0.9483362958740813
100,4000.112430169565,1.0217400843344993
101,3923.018837759132,1.0020482344212343
