team,observed,expected_under_adjusted_null,smr
airdrieonians,13.0,12.092582264443454,1.075039203018257
albion-rovers,17.0,12.423646188826181,1.368358350005958
alloa-athletic,25.0,24.679847425708548,1.0129722266418046
annan-athletic,29.0,26.561494977838212,1.0918060155949947
arbroath,4.0,4.795436540662726,0.8341263545210428
bonnyrigg-rose,21.0,14.76982703499915,1.421817598150445
brechin-city,3.0,2.141072907143261,1.401166672088139
clyde-fc,29.0,27.22771368333423,1.0650912646312483
cove-rangers,17.0,21.18625961234591,0.802406857607539
cowdenbeath,7.0,8.912757753313123,0.7853910308958978
dumbarton,40.0,30.658500094470178,1.304695268090259
dunfermline-athletic,1.0,4.984026094661431,0.20064100408124586
east-fife,31.0,26.899865777797682,1.1524221070867364
east-kilbride,4.0,5.166417492050316,0.7742308874872947
edinburgh-city-fc,35.0,25.835258107979882,1.3547377716806843
elgin-city,38.0,27.07869811582504,1.4033170958759074
falkirk-fc,17.0,15.53890221467019,1.0940283789127907
forfar-athletic,26.0,26.860127865767836,0.9679775215491794
hamilton-academical,3.0,9.639212093144543,0.3112287571858301
inverness-caledonian-thistle,9.0,9.54994895071602,0.9424134146104742
kelty-hearts-fc,22.0,24.252246682645488,0.9071324520108416
montrose,19.0,28.582801622267052,0.6647353975685261
partick-thistle,1.0,2.226957998081842,0.44904304475492374
peterhead,25.0,28.21710369820514,0.8859874587904719
queen-of-the-south,23.0,20.505807293069598,1.1216334802762615
queens-park-fc,7.0,6.866360916969505,1.0194628689995335
ross-county,1.0,0.949245979482221,1.0534677223973743
stenhousemuir,15.0,26.984051300429975,0.5558839120558959
stirling-albion,23.0,28.694430106529683,0.8015492872523068
stranraer,24.0,26.495955854356144,0.9057986106228438
the-spartans-fc,16.0,14.223939191281668,1.1248642014588293
