y,pressure,home,season,division,history_matches,pressure_z
0,0.6521739130434783,1,21/22,56,23,-2.1512176789415194
0,1.1363636363636365,0,21/22,56,22,-0.3489002025673307
0,1.1428571428571428,1,21/22,57,21,-0.3247291810182897
0,0.7,0,21/22,57,20,-1.9731928506629262
0,1.0,1,21/22,57,21,-0.8564916550972045
0,0.6086956521739131,0,21/22,57,23,-2.3130584319220584
0,1.380952380952381,0,21/22,57,21,0.5615416091132355
0,1.1428571428571428,1,21/22,56,21,-0.3247291810182897
0,1.4,0,21/22,56,5,0.6324432723237572
0,1.7826086956521738,1,21/22,57,23,2.0566418985525035
0,1.1363636363636365,0,21/22,57,22,-0.3489002025673307
0,1.1304347826086956,1,21/22,56,23,-0.3709693961555867
0,1.7391304347826086,0,21/22,56,23,1.8948011455719642
0,1.3181818181818181,1,21/22,57,22,0.32788840080583326
0,1.1818181818181819,0,21/22,57,22,-0.1797030517240397
0,1.1818181818181819,1,21/22,56,22,-0.1797030517240397
0,1.0869565217391304,0,21/22,56,23,-0.532810149136126
0,0.9130434782608695,1,21/22,56,23,-1.1801731610582833
0,1.173913043478261,0,21/22,56,23,-0.20912864317504667
0,0.625,1,21/22,57,24,-2.252368149554356
0,0.6666666666666666,0,21/22,57,21,-2.0972707612813397
0,1.0454545454545454,1,21/22,57,22,-0.6872945042539135
0,1.8,0,21/22,57,5,2.12137819974472
0,1.3636363636363635,1,21/22,56,22,0.49708555164912427
0,0.8333333333333334,0,21/22,56,24,-1.476881208189272
0,1.3043478260869565,1,21/22,57,23,0.27639361576657107
0,1.0909090909090908,0,21/22,57,22,-0.5180973534106225
0,1.0869565217391304,1,21/22,56,23,-0.532810149136126
0,1.3333333333333333,0,21/22,56,6,0.3842874510869303
0,1.0416666666666667,1,21/22,56,24,-0.7013942668241873
0,1.1666666666666667,0,21/22,56,24,-0.23610210200513668
0,0.88,1,21/22,56,25,-1.3031721333234931
0,1.4285714285714286,0,21/22,56,7,0.7387957671395406
0,1.125,1,21/22,56,24,-0.3911994902781538
0,1.2608695652173914,0,21/22,56,23,0.11455286278603181
0,1.7083333333333333,1,21/22,56,24,1.780163945544082
0,0.875,0,21/22,56,24,-1.321783819916255
0,1.0434782608695652,1,21/22,57,23,-0.6946509021166652
0,1.2608695652173914,0,21/22,57,23,0.11455286278603181
0,1.173913043478261,1,21/22,57,23,-0.20912864317504667
