match_id,tournament_id,season,match_date,home_team,away_team,overall_home,overall_away,non_penalty_non_own_goal_home,non_penalty_non_own_goal_away,penalty_goal_home,penalty_goal_away,penalty_awarded_home,penalty_awarded_away,penalty_missed_home,penalty_missed_away,own_goal_home,own_goal_away,usable_for_components,quarantine_reason,referee,referee_name,referee_id,referee_present,sofascore_referee_present
8824101,57,20/21,2020-10-31T15:00:00+00:00,stranraer,queens-park-fc,0,1,0,1,0,0,0,0,0,0,0,0,true,,Duncan Williams,Duncan Williams,mgxw0j6cj0x17rvdlc964pn9,true,false
8824109,57,20/21,2020-10-31T15:00:00+00:00,stirling-albion,annan-athletic,1,0,1,0,0,0,0,0,0,0,0,0,true,,Matthew McDermid,Matthew McDermid,ef201gyzs03xy93ixiul2ums5,true,false
8824156,56,20/21,2020-10-31T15:00:00+00:00,airdrieonians,dumbarton,0,2,0,1,0,0,0,0,0,0,0,1,true,,Kevin Graham,Kevin Graham,6sdr8stbqiaqo6uahg2yd5cr9,true,false
9139544,56,20/21,2020-11-03T19:00:00+00:00,dumbarton,clyde-fc,1,0,1,0,0,0,0,0,0,0,0,0,true,,Duncan Williams,Duncan Williams,mgxw0j6cj0x17rvdlc964pn9,true,false
8824050,56,20/21,2020-11-07T15:00:00+00:00,east-fife,dumbarton,2,1,2,1,0,0,0,0,0,0,0,0,true,,Steven Reid,Steven Reid,3zu5nxywlbxjpwazsvktn6tat,true,false
8824053,56,20/21,2020-11-07T15:00:00+00:00,montrose,peterhead,3,2,2,2,1,0,1,0,0,0,0,0,true,,Matthew McDermid,Matthew McDermid,ef201gyzs03xy93ixiul2ums5,true,false
8824057,56,20/21,2020-11-07T15:00:00+00:00,partick-thistle,falkirk-fc,2,2,2,2,0,0,1,0,1,0,0,0,true,,Grant Irvine,Grant Irvine,jpxnj3ldprjwce3a2be0yqxh,true,false
8824058,56,20/21,2020-11-07T15:00:00+00:00,cove-rangers,forfar-athletic,3,0,2,0,1,0,1,0,0,0,0,0,true,,Scott Lambie,Scott Lambie,dzranvufdfmhfamhzvzt6aok5,true,false
8824066,56,20/21,2020-11-07T15:00:00+00:00,airdrieonians,clyde-fc,5,0,4,0,1,0,1,0,0,0,0,0,true,,Chris Graham,Chris Graham,j8g304sx1bb6gdsqflnnx711,true,false
8824099,57,20/21,2020-11-07T15:00:00+00:00,stenhousemuir,edinburgh-city-fc,2,0,1,0,1,0,1,0,0,0,0,0,true,,Duncan Williams,Duncan Williams,mgxw0j6cj0x17rvdlc964pn9,true,false
8824102,57,20/21,2020-11-07T15:00:00+00:00,brechin-city,stirling-albion,0,5,0,4,0,1,0,1,0,0,0,0,true,,Gavin Ross,Gavin Ross,ep76888edvvweefbdirvpfmj9,true,false
8824105,57,20/21,2020-11-07T15:00:00+00:00,annan-athletic,albion-rovers,2,3,2,2,0,1,0,1,0,0,0,0,true,,Kevin Graham,Kevin Graham,6sdr8stbqiaqo6uahg2yd5cr9,true,false
8824106,57,20/21,2020-11-07T15:00:00+00:00,stranraer,cowdenbeath,2,0,2,0,0,0,0,0,0,0,0,0,true,,Graham Grainger,Graham Grainger,9k3hqjvkmo76ie1hf24h5tnf9,true,false
8824108,57,20/21,2020-11-07T15:00:00+00:00,elgin-city,queens-park-fc,0,1,0,1,0,0,0,0,0,0,0,0,true,,Barry Cook,Barry Cook,jk80yb2y248j814k94zqvrv9,true,false
8824054,56,20/21,2020-11-21T15:00:00+00:00,clyde-fc,montrose,3,2,3,2,0,0,0,0,0,0,0,0,true,,Barry Cook,Barry Cook,jk80yb2y248j814k94zqvrv9,true,false
8824090,57,20/21,2020-11-21T15:00:00+00:00,edinburgh-city-fc,stranraer,0,1,0,1,0,0,0,0,0,0,0,0,true,,Gavin Ross,Gavin Ross,ep76888edvvweefbdirvpfmj9,true,false
8824091,57,20/21,2020-11-21T15:00:00+00:00,stenhousemuir,annan-athletic,1,2,1,2,0,0,0,0,0,0,0,0,true,,Lloyd Wilson,Lloyd Wilson,mb39kmc5hg5dahpssor662mt,true,false
8824092,57,20/21,2020-11-21T15:00:00+00:00,queens-park-fc,brechin-city,3,0,3,0,0,0,0,0,0,0,0,0,true,,Chris Graham,Chris Graham,j8g304sx1bb6gdsqflnnx711,true,false
8824096,57,20/21,2020-11-21T15:00:00+00:00,stirling-albion,elgin-city,1,2,1,2,0,0,0,1,0,1,0,0,true,,David Lowe,David Lowe,8j68r4kmdypfbbdem779m7kl,true,false
8824100,56,20/21,2020-11-21T15:00:00+00:00,partick-thistle,east-fife,2,0,1,0,1,0,1,0,0,0,0,0,true,,Duncan Williams,Duncan Williams,mgxw0j6cj0x17rvdlc964pn9,true,false
8824103,56,20/21,2020-11-21T15:00:00+00:00,peterhead,dumbarton,1,0,1,0,0,0,0,0,0,0,0,0,true,,Calum Scott,Calum Scott,4pd0cg3g2g69d4rk8cpecp0wl,true,false
8824112,56,20/21,2020-11-21T15:00:00+00:00,falkirk-fc,cove-rangers,1,0,1,0,0,0,0,0,0,0,0,0,true,,David Dickinson,David Dickinson,bsgoa7pyamnu6flsgyt6eut3p,true,false
8824117,56,20/21,2020-11-21T15:00:00+00:00,forfar-athletic,airdrieonians,1,3,2,2,0,1,0,1,0,0,0,0,false,component_total_mismatch,Grant Irvine,Grant Irvine,jpxnj3ldprjwce3a2be0yqxh,true,false
8824104,56,20/21,2020-11-24T19:00:00+00:00,dumbarton,falkirk-fc,0,3,0,3,0,0,0,0,0,0,0,0,true,,Steven Kirkland,Steven Kirkland,8eqxby1ierpiog6g3sh955iad,true,false
8824080,57,20/21,2020-11-28T15:00:00+00:00,albion-rovers,stirling-albion,0,1,0,1,0,0,0,0,0,0,0,0,true,,Scott Lambie,Scott Lambie,dzranvufdfmhfamhzvzt6aok5,true,false
8824084,57,20/21,2020-11-28T15:00:00+00:00,annan-athletic,edinburgh-city-fc,0,4,0,4,0,0,0,0,0,0,0,0,true,,Calum Scott,Calum Scott,4pd0cg3g2g69d4rk8cpecp0wl,true,false
