tournament_id,non_penalty_non_own_goal_home,non_penalty_non_own_goal_away,penalty_goal_home,penalty_goal_away,own_goal_home,own_goal_away,matches
56,1358,1175,95,99,28,29,995
57,1294,1115,123,102,23,27,997
