match_id,referee,referee_name,referee_id,overall_home,overall_away,flat_non_penalty_non_own_goal_home,flat_non_penalty_non_own_goal_away,flat_penalty_goals_home,flat_penalty_goals_away,flat_penalty_awarded_home,flat_penalty_awarded_away,flat_own_goals_credited_home,flat_own_goals_credited_away,component_usable_mask,component_quarantine_reason,home_pressure,away_pressure,home_history_matches,away_history_matches
8824053,Matthew McDermid,Matthew McDermid,ef201gyzs03xy93ixiul2ums5,3,2,2,2,1,0,1,0,0,0,true,,2.0,0.6666666666666666,2,3
8824057,Grant Irvine,Grant Irvine,jpxnj3ldprjwce3a2be0yqxh,2,2,2,2,0,0,1,0,0,0,true,,0.0,2.0,2,2
8824058,Scott Lambie,Scott Lambie,dzranvufdfmhfamhzvzt6aok5,3,0,2,0,1,0,1,0,0,0,true,,2.0,1.0,3,2
8824066,Chris Graham,Chris Graham,j8g304sx1bb6gdsqflnnx711,5,0,4,0,1,0,1,0,0,0,true,,1.0,0.3333333333333333,2,3
8824099,Duncan Williams,Duncan Williams,mgxw0j6cj0x17rvdlc964pn9,2,0,1,0,1,0,1,0,0,0,true,,2.0,2.0,2,3
8824102,Gavin Ross,Gavin Ross,ep76888edvvweefbdirvpfmj9,0,5,0,4,0,1,0,1,0,0,true,,1.5,0.5,2,2
8824105,Kevin Graham,Kevin Graham,6sdr8stbqiaqo6uahg2yd5cr9,2,3,2,2,0,1,0,1,0,0,true,,1.5,0.5,2,2
8824106,Graham Grainger,Graham Grainger,9k3hqjvkmo76ie1hf24h5tnf9,2,0,2,0,0,0,0,0,0,0,true,,0.5,0.6666666666666666,2,3
8824108,Barry Cook,Barry Cook,jk80yb2y248j814k94zqvrv9,0,1,0,1,0,0,0,0,0,0,true,,1.5,0.5,2,2
8824054,Barry Cook,Barry Cook,jk80yb2y248j814k94zqvrv9,3,2,3,2,0,0,0,0,0,0,true,,0.25,2.0,4,3
8824090,Gavin Ross,Gavin Ross,ep76888edvvweefbdirvpfmj9,0,1,0,1,0,0,0,0,0,0,true,,1.5,1.0,4,3
8824091,Lloyd Wilson,Lloyd Wilson,mb39kmc5hg5dahpssor662mt,1,2,1,2,0,0,0,0,0,0,true,,1.6666666666666667,1.6666666666666667,3,3
8824092,Chris Graham,Chris Graham,j8g304sx1bb6gdsqflnnx711,3,0,3,0,0,0,0,0,0,0,true,,0.6666666666666666,1.0,3,3
8824096,David Lowe,David Lowe,8j68r4kmdypfbbdem779m7kl,1,2,1,2,0,0,0,1,0,0,true,,1.6666666666666667,1.0,3,3
8824100,Duncan Williams,Duncan Williams,mgxw0j6cj0x17rvdlc964pn9,2,0,1,0,1,0,1,0,0,0,true,,0.6666666666666666,1.0,3,3
8824103,Calum Scott,Calum Scott,4pd0cg3g2g69d4rk8cpecp0wl,1,0,1,0,0,0,0,0,0,0,true,,1.0,0.75,4,4
8824112,David Dickinson,David Dickinson,bsgoa7pyamnu6flsgyt6eut3p,1,0,1,0,0,0,0,0,0,0,true,,2.0,2.0,3,4
8824104,Steven Kirkland,Steven Kirkland,8eqxby1ierpiog6g3sh955iad,0,3,0,3,0,0,0,0,0,0,true,,0.6,1.75,5,4
8824080,Scott Lambie,Scott Lambie,dzranvufdfmhfamhzvzt6aok5,0,1,0,1,0,0,0,0,0,0,true,,1.0,1.5,3,4
8824084,Calum Scott,Calum Scott,4pd0cg3g2g69d4rk8cpecp0wl,0,4,0,4,0,0,0,0,0,0,true,,1.75,1.2,4,5
8824085,Gavin Ross,Gavin Ross,ep76888edvvweefbdirvpfmj9,5,2,5,2,0,0,0,0,0,0,true,,1.25,0.5,4,4
8824086,Steven Reid,Steven Reid,3zu5nxywlbxjpwazsvktn6tat,1,4,1,4,0,0,0,0,0,0,true,,0.75,1.0,4,4
8824095,Chris Graham,Chris Graham,j8g304sx1bb6gdsqflnnx711,0,1,0,1,0,0,0,0,0,0,true,,1.0,0.6666666666666666,5,3
8824097,Kevin Graham,Kevin Graham,6sdr8stbqiaqo6uahg2yd5cr9,0,1,0,1,0,0,0,0,0,0,true,,2.0,0.75,4,4
8824107,Graham Grainger,Graham Grainger,9k3hqjvkmo76ie1hf24h5tnf9,1,1,1,1,0,0,0,0,0,0,true,,2.0,1.6,3,5
8824204,David Lowe,David Lowe,8j68r4kmdypfbbdem779m7kl,3,1,3,1,0,0,0,0,0,0,true,,1.25,1.5,4,4
8824079,David Lowe,David Lowe,8j68r4kmdypfbbdem779m7kl,0,0,0,0,0,0,1,0,0,0,true,,0.8,0.5,5,6
8824087,Scott Lambie,Scott Lambie,dzranvufdfmhfamhzvzt6aok5,2,0,2,0,0,0,0,0,0,0,true,,0.75,1.75,4,4
8824089,Lloyd Wilson,Lloyd Wilson,mb39kmc5hg5dahpssor662mt,1,2,1,1,0,1,0,1,0,0,true,,1.5,1.6,6,5
8824163,Graham Grainger,Graham Grainger,9k3hqjvkmo76ie1hf24h5tnf9,1,0,1,0,0,0,0,0,0,0,true,,2.0,1.4,5,5
8824176,Stewart Luke,Stewart Luke,ebe4evu4jimqxiodq4bwudjah,5,2,5,2,0,0,0,0,0,0,true,,1.6666666666666667,0.75,6,4
8824185,Calum Scott,Calum Scott,4pd0cg3g2g69d4rk8cpecp0wl,0,3,0,3,0,0,0,0,0,0,true,,0.8,1.6,5,5
8824200,Matthew McDermid,Matthew McDermid,ef201gyzs03xy93ixiul2ums5,2,2,2,0,0,1,0,1,0,1,true,,1.6,1.4,5,5
8824202,Duncan Williams,Duncan Williams,mgxw0j6cj0x17rvdlc964pn9,2,1,2,1,0,0,0,0,0,0,true,,1.4,0.8,5,5
8824081,Colin Steven,Colin Steven,byb55tj0n1soxr5kb1eyi3qvp,0,3,0,3,0,0,0,0,0,0,true,,0.8,2.0,5,5
8824088,Grant Irvine,Grant Irvine,jpxnj3ldprjwce3a2be0yqxh,0,1,0,1,0,0,0,0,0,0,true,,1.4,1.5,5,6
8824162,Graham Beaton,Graham Beaton,bxvet3x1qjc6n0o20o7h28uz9,2,1,2,1,0,0,0,0,0,0,true,,0.8333333333333334,1.0,6,5
8824165,Lloyd Wilson,Lloyd Wilson,mb39kmc5hg5dahpssor662mt,3,3,2,3,1,0,1,0,0,0,true,,1.8333333333333333,2.142857142857143,6,7
8824187,Gavin Ross,Gavin Ross,ep76888edvvweefbdirvpfmj9,0,2,0,2,0,0,0,0,0,0,true,,0.75,0.6666666666666666,4,6
8824190,Greg Aitken,Greg Aitken,8bwao9nwgzzu4fabl4i97dhhx,1,0,1,0,0,0,0,0,0,0,true,,0.42857142857142855,1.4285714285714286,7,7
8824199,David Dickinson,David Dickinson,bsgoa7pyamnu6flsgyt6eut3p,1,0,1,0,0,0,0,0,0,0,true,,1.1666666666666667,0.6666666666666666,6,6
8824203,Dan McFarlane,Dan McFarlane,ce99qkhcskrwsmvjxire8u1d6,2,2,2,1,0,1,0,1,0,0,true,,1.5,1.6666666666666667,6,6
8824157,Duncan Williams,Duncan Williams,mgxw0j6cj0x17rvdlc964pn9,2,3,2,3,0,0,0,0,0,0,true,,2.25,1.1428571428571428,8,7
8824166,Kevin Graham,Kevin Graham,6sdr8stbqiaqo6uahg2yd5cr9,0,1,0,1,0,0,0,0,0,0,true,,0.8571428571428571,1.0,7,7
8824172,Barry Cook,Barry Cook,jk80yb2y248j814k94zqvrv9,2,0,2,0,0,0,0,0,0,0,true,,0.5714285714285714,0.8333333333333334,7,6
8824182,Lorraine Watson,Lorraine Watson,35t8tzl9dfc9dsno4y3ezmc8a,1,2,0,2,1,0,1,0,0,0,true,,1.1666666666666667,1.8571428571428572,6,7
8824188,Matthew McDermid,Matthew McDermid,ef201gyzs03xy93ixiul2ums5,4,0,4,0,0,0,0,0,0,0,true,,1.4285714285714286,0.5,7,8
8824189,Calum Scott,Calum Scott,4pd0cg3g2g69d4rk8cpecp0wl,4,0,4,0,0,0,0,1,0,0,true,,1.5714285714285714,1.0,7,5
8824205,Steven Reid,Steven Reid,3zu5nxywlbxjpwazsvktn6tat,2,0,2,0,0,0,0,0,0,0,true,,1.8333333333333333,1.5714285714285714,6,7
8824211,Peter Stuart,Peter Stuart,9dgds61vqncdtk8t34o2xzmc5,2,0,2,0,0,0,0,0,0,0,true,,1.0,0.6,6,5
8824193,Alan Newlands,Alan Newlands,8dzc0favgeocs0qf3qjvxkhxx,0,1,0,1,0,0,0,0,0,0,true,,2.1666666666666665,1.1666666666666667,6,6
