referee,matches,penalties,rate_per_match
Mark Daly,1,0,0.0
Steven Reid,28,3,0.10714285714285714
Mike Roncone,25,3,0.12
Connor Ashwood,15,2,0.13333333333333333
Graham Beaton,21,3,0.14285714285714285
Jordan Curran,48,7,0.14583333333333334
Peter Stuart,90,15,0.16666666666666666
Daniel Graves,65,11,0.16923076923076924
Alan Newlands,40,7,0.175
David Dickinson,17,3,0.17647058823529413
Greg Aitken,11,2,0.18181818181818182
Josh Hay,22,4,0.18181818181818182
Andy Gamble,21,4,0.19047619047619047
Alex Shepherd,31,6,0.1935483870967742
Graham Grainger,71,14,0.19718309859154928
Joel Kennedy,39,8,0.20512820512820512
Chris Fordyce,53,11,0.20754716981132076
Lloyd Wilson,72,15,0.20833333333333334
Ryan Lee,28,6,0.21428571428571427
Jamie McCunnie,14,3,0.21428571428571427
Gavin Ross,9,2,0.2222222222222222
Colin Steven,27,6,0.2222222222222222
Jamie Wilkie,17,4,0.23529411764705882
Sean Murdoch,45,11,0.24444444444444444
Grant Irvine,32,8,0.25
David Lowe,8,2,0.25
Gary Hanvidge,34,9,0.2647058823529412
Stewart Luke,79,21,0.26582278481012656
Alastair Grieve,67,18,0.26865671641791045
Kevin Graham,11,3,0.2727272727272727
Chris Graham,40,11,0.275
Dan McFarlane,54,15,0.2777777777777778
George Calder,72,20,0.2777777777777778
Greg Soutar,61,17,0.2786885245901639
Matthew McDermid,32,9,0.28125
Euan Anderson,35,10,0.2857142857142857
Duncan Nicolson,28,8,0.2857142857142857
Iain Snedden,59,17,0.288135593220339
Barry Cook,53,16,0.3018867924528302
Gavin Duncan,44,15,0.3409090909090909
Colin Whyte,44,15,0.3409090909090909
Steven Kirkland,63,22,0.3492063492063492
Cameron Stirling,22,8,0.36363636363636365
Lewis Hogarth,19,7,0.3684210526315789
Duncan Williams,92,35,0.3804347826086957
Daniel McFarlane,5,2,0.4
UNKNOWN,10,4,0.4
Craig Napier,26,11,0.4230769230769231
Scott Lambie,50,22,0.44
Calum Scott,59,26,0.4406779661016949
Ross Hardie,40,19,0.475
Alan James Muir,14,7,0.5
Ross Birrell,4,2,0.5
Abbie Hendry,9,5,0.5555555555555556
Lorraine Watson,8,5,0.625
Ross Clark,3,2,0.6666666666666666
Euan Birch,3,2,0.6666666666666666
Steven McLean,1,1,1.0
Tommi Kerr,1,1,1.0
