fold,match_id,home,away,unseen
1,12477128,stenhousemuir,arbroath,arbroath
1,12477132,inverness-caledonian-thistle,dumbarton,inverness-caledonian-thistle
1,12476800,annan-athletic,inverness-caledonian-thistle,inverness-caledonian-thistle
1,12476799,arbroath,montrose,arbroath
21,14035663,east-kilbride,the-spartans-fc,east-kilbride
21,14035668,elgin-city,east-kilbride,east-kilbride
