team,mean,sd,q05,q50,q95,p_above_base,model,fold
annan-athletic,0.15533603160478957,0.07824688265343423,0.0452032415863061,0.14525504818646473,0.2998428447326733,0.674375,m05_joint_production_wealth_hier_ha,1
stranraer,0.15107976364592404,0.07691084355041794,0.0445355889726387,0.14205220189884699,0.28841403594774134,0.648125,m05_joint_production_wealth_hier_ha,1
elgin-city,0.14228599311674275,0.07060934441674331,0.03796743859844182,0.13757205492579797,0.2648615856649901,0.6225,m05_joint_production_wealth_hier_ha,1
forfar-athletic,0.1413496986130505,0.07191990325666009,0.036407357578533465,0.13569624730107727,0.270182491621756,0.58875,m05_joint_production_wealth_hier_ha,1
queen-of-the-south,0.1397664548706619,0.07389912155060581,0.02645842033012661,0.13318859909962544,0.27327996635340157,0.601875,m05_joint_production_wealth_hier_ha,1
stirling-albion,0.1385906881254483,0.07259690327081864,0.029727584103546707,0.13205172619359476,0.2709909073488185,0.57625,m05_joint_production_wealth_hier_ha,1
falkirk-fc,0.13709950369975504,0.06950626682052245,0.028750784512775886,0.13302130950976626,0.2581223820057628,0.579375,m05_joint_production_wealth_hier_ha,1
airdrieonians,0.135189099823101,0.07911142566480069,0.018000098672015595,0.13073246795848276,0.27434862965917145,0.56375,m05_joint_production_wealth_hier_ha,1
peterhead,0.12989676600431438,0.0691232023582177,0.019083001763525047,0.12881064726587843,0.2461151371028824,0.556875,m05_joint_production_wealth_hier_ha,1
bonnyrigg-rose,0.12719215547181797,0.06536199936320569,0.024856444444886387,0.12517392813769918,0.231698153599971,0.516875,m05_joint_production_wealth_hier_ha,1
dumbarton,0.12638332440933606,0.06499629298490596,0.028076815745602775,0.12554348228993956,0.23347576833984843,0.5175,m05_joint_production_wealth_hier_ha,1
dunfermline-athletic,0.12221700893568337,0.07717004308974518,-0.0032377336869792326,0.12267057036764745,0.24675347597545952,0.491875,m05_joint_production_wealth_hier_ha,1
cove-rangers,0.12042705526980352,0.069741272418776,0.0084247137691408,0.11925717494554999,0.23372433703044074,0.48375,m05_joint_production_wealth_hier_ha,1
montrose,0.12014968667467896,0.06641685148374046,0.012650884999441019,0.11922876440935334,0.2234302588890324,0.48375,m05_joint_production_wealth_hier_ha,1
albion-rovers,0.11874947352467419,0.08094658757425513,-0.01725502261976223,0.12116210293235015,0.2423577222720568,0.484375,m05_joint_production_wealth_hier_ha,1
hamilton-academical,0.11857753697571298,0.07293411959812159,0.0005954397256925095,0.1187594743617201,0.23396241145178712,0.471875,m05_joint_production_wealth_hier_ha,1
stenhousemuir,0.11614535921378721,0.06823922260192233,0.0015440856999089606,0.11769295299491228,0.22340758001440253,0.45,m05_joint_production_wealth_hier_ha,1
edinburgh-city-fc,0.11503638095223781,0.06830803267020219,0.002289674584386272,0.11841743045657946,0.22601179684184766,0.46,m05_joint_production_wealth_hier_ha,1
clyde-fc,0.10352169272641905,0.07149662361238207,-0.017564660558970255,0.107297122099664,0.20987407163916433,0.366875,m05_joint_production_wealth_hier_ha,1
east-fife,0.09875887971583054,0.07621843631623812,-0.04077570762960653,0.10687293552122512,0.21022477421403718,0.380625,m05_joint_production_wealth_hier_ha,1
alloa-athletic,0.08873164400896455,0.07680362994409455,-0.053721067745807566,0.09942979876631247,0.19741442430280892,0.315,m05_joint_production_wealth_hier_ha,1
the-spartans-fc,0.07979952886307917,0.08244296218639807,-0.07756828945726706,0.09189524000611786,0.19066192654380462,0.286875,m05_joint_production_wealth_hier_ha,1
kelty-hearts-fc,0.07619945031738302,0.08569887196180764,-0.0905482002725481,0.09161224445471455,0.189854865552222,0.269375,m05_joint_production_wealth_hier_ha,1
stranraer,0.14879436434710086,0.06954087475150303,0.05120576787269436,0.14308662600031063,0.2680555350634838,0.580625,m05_joint_production_wealth_hier_ha,2
falkirk-fc,0.1486448179608033,0.06938987314447195,0.04586206665240578,0.1441255360975131,0.2745290482982624,0.590625,m05_joint_production_wealth_hier_ha,2
annan-athletic,0.14860278155884907,0.06937279260084647,0.04589360206671435,0.14285615627843765,0.27016040633178234,0.58125,m05_joint_production_wealth_hier_ha,2
elgin-city,0.1480099995965406,0.0672512555525419,0.048338352371911156,0.14339421068722302,0.2685907400732795,0.58,m05_joint_production_wealth_hier_ha,2
queen-of-the-south,0.14449861972449787,0.0686648566958861,0.04112243662024423,0.14158980489337494,0.25947892320017224,0.56,m05_joint_production_wealth_hier_ha,2
