fold,match_id,home_team,away_team,match_date,turf_home,turf_away,turf_asym,midweek,rest_diff,unmapped
17,12476663,stenhousemuir,kelty-hearts-fc,2025-03-15,1.0,1.0,0.0,0.0,0.0,
17,12476660,queen-of-the-south,alloa-athletic,2025-03-15,1.0,1.0,0.0,0.0,0.0,
17,12640468,kelty-hearts-fc,arbroath,2025-03-22,1.0,0.0,1.0,0.0,0.0,
17,12476657,inverness-caledonian-thistle,alloa-athletic,2025-03-22,0.0,1.0,0.0,0.0,0.0,
17,12476659,dumbarton,queen-of-the-south,2025-03-22,0.0,1.0,0.0,0.0,0.0,
17,12476664,cove-rangers,stenhousemuir,2025-03-22,1.0,1.0,0.0,0.0,0.0,
17,12476658,montrose,annan-athletic,2025-03-22,1.0,1.0,0.0,0.0,0.0,
17,13343735,elgin-city,the-spartans-fc,2025-03-11,0.0,1.0,0.0,1.0,0.0,
17,12476485,peterhead,edinburgh-city-fc,2025-03-15,0.0,1.0,0.0,0.0,0.0,
17,12476487,forfar-athletic,the-spartans-fc,2025-03-15,1.0,1.0,0.0,0.0,3.0,
17,12476486,elgin-city,clyde-fc,2025-03-15,0.0,1.0,0.0,0.0,-3.0,
17,12476488,east-fife,stranraer,2025-03-15,1.0,0.0,1.0,0.0,0.0,
17,12476494,bonnyrigg-rose,stirling-albion,2025-03-15,0.0,0.0,0.0,0.0,0.0,
17,12476483,edinburgh-city-fc,east-fife,2025-03-22,1.0,1.0,0.0,0.0,0.0,
17,12476484,clyde-fc,bonnyrigg-rose,2025-03-22,1.0,0.0,1.0,0.0,0.0,
17,12476482,stirling-albion,peterhead,2025-03-22,0.0,0.0,0.0,0.0,0.0,
17,12476478,the-spartans-fc,elgin-city,2025-03-22,1.0,0.0,1.0,0.0,0.0,
17,12476481,stranraer,forfar-athletic,2025-03-22,0.0,1.0,0.0,0.0,0.0,
18,12476656,alloa-athletic,dumbarton,2025-03-29,1.0,0.0,1.0,0.0,0.0,
18,12476654,arbroath,cove-rangers,2025-03-29,0.0,1.0,0.0,0.0,0.0,
18,12476652,queen-of-the-south,inverness-caledonian-thistle,2025-03-29,1.0,0.0,1.0,0.0,0.0,
18,12476651,stenhousemuir,montrose,2025-03-29,1.0,1.0,0.0,0.0,0.0,
18,12476655,annan-athletic,kelty-hearts-fc,2025-03-29,1.0,1.0,0.0,0.0,0.0,
18,12476648,cove-rangers,inverness-caledonian-thistle,2025-04-05,1.0,0.0,1.0,0.0,0.0,
18,12476649,montrose,arbroath,2025-04-05,1.0,0.0,1.0,0.0,0.0,
18,12476653,annan-athletic,queen-of-the-south,2025-04-05,1.0,1.0,0.0,0.0,0.0,
