window,spec,team,fs,season,cat,n,a,d,theta,old_firm
primary,main σc=1.0 σs=0.20,tynecastle,2021,21/22,T5,1,-0.48326599772612544,1.3170128875236717,-1.800278885249797,false
primary,main σc=1.0 σs=0.20,tynecastle,2022,22/23,T5,1,-0.49200963756443655,1.2308996107174774,-1.722909248281914,false
primary,main σc=1.0 σs=0.20,tynecastle,2024,24/25,T5,1,-0.43240038880402787,1.2558486258544583,-1.6882490146584863,false
primary,main σc=1.0 σs=0.20,university-of-stirling-fc,2021,21/22,T5,2,-0.058408909112207134,-0.09489899651409,0.03649008740188287,false
primary,main σc=1.0 σs=0.20,university-of-stirling-fc,2022,22/23,T5,4,0.011231898248502022,-0.17632076567162652,0.18755266392012854,false
primary,main σc=1.0 σs=0.20,university-of-stirling-fc,2023,23/24,T5,4,0.15034796220800656,-0.0707759202700182,0.22112388247802475,false
primary,main σc=1.0 σs=0.20,university-of-stirling-fc,2024,24/25,T5,1,-0.06433496657085708,-0.06832247048996648,0.003987503919109403,false
primary,main σc=1.0 σs=0.20,university-of-stirling-fc,2025,25/26,T5,2,-0.00998670875195267,-0.07945143038952097,0.06946472163756831,false
primary,main σc=1.0 σs=0.20,vale-of-leithen,2021,21/22,T5,1,-0.8589741702112536,0.9622951943049709,-1.8212693645162243,false
primary,main σc=1.0 σs=0.20,vale-of-leithen,2024,24/25,T5,1,-0.8472387175870862,0.9637867593232198,-1.811025476910306,false
primary,main σc=1.0 σs=0.20,whitehill-welfare,2023,23/24,T5,1,-1.0135734902686977,0.748151627541078,-1.7617251178097757,false
primary,main σc=1.0 σs=0.20,whitehill-welfare,2024,24/25,T5,1,-1.0171816592849174,0.6479055601502219,-1.6650872194351394,false
primary,main σc=1.0 σs=0.20,wick-academy-fc,2021,21/22,T5,3,-0.06487650063547762,0.4085095729982297,-0.4733860736337073,false
primary,main σc=1.0 σs=0.20,wick-academy-fc,2022,22/23,T5,3,-0.06256004784367963,0.3156794090880387,-0.37823945693171834,false
primary,main σc=1.0 σs=0.20,wick-academy-fc,2023,23/24,T5,1,-0.11199829317833435,0.3425617761798911,-0.45456006935822546,false
primary,main σc=1.0 σs=0.20,wick-academy-fc,2024,24/25,T5,1,-0.08181224685216003,0.3234855997090576,-0.40529784656121765,false
primary,main σc=1.0 σs=0.20,wick-academy-fc,2025,25/26,T5,2,-0.10478153691043994,0.2647176295117621,-0.36949916642220204,false
primary,main σc=1.0 σs=0.20,wigtown-bladnoch,2021,21/22,T5,1,-0.9824616853533503,1.3561096504464438,-2.338571335799794,false
primary,σc=1.0 σs=0.35,aberdeen,2021,21/22,T1,36,0.8640095229396711,-1.1147749546224897,1.9787844775621608,false
primary,σc=1.0 σs=0.35,aberdeen,2022,22/23,T1,37,0.9782175654824111,-0.9862893304976421,1.9645068959800533,false
primary,σc=1.0 σs=0.35,aberdeen,2023,23/24,T1,41,0.7610122036432301,-1.0426138921296433,1.8036260957728734,false
primary,σc=1.0 σs=0.35,aberdeen,2024,24/25,T1,41,0.9854316491002831,-1.081936596464936,2.067368245565219,false
primary,σc=1.0 σs=0.35,aberdeen,2025,25/26,T1,38,0.7025969022754969,-1.0777552940867747,1.7803521963622715,false
primary,σc=1.0 σs=0.35,aberdeen,2026,26/27,T1,9,0.8598286391928833,-1.2948279141971093,2.1546565533899926,false
primary,σc=1.0 σs=0.35,aberdeen-b-u21,2021,21/22,B,3,0.1670466119214159,-0.3469252698469935,0.5139718817684094,false
primary,σc=1.0 σs=0.35,aberdeen-b-u21,2022,22/23,B,1,0.12679063581235528,-0.0359839155437193,0.16277455135607458,false
primary,σc=1.0 σs=0.35,aberdeen-b-u21,2023,23/24,B,2,0.39331039310420346,0.10017706941054347,0.29313332369365996,false
primary,σc=1.0 σs=0.35,aberdeen-b-u21,2024,24/25,B,1,0.10350358138808666,-0.16376619176518842,0.26726977315327505,false
primary,σc=1.0 σs=0.35,aberdeen-b-u21,2025,25/26,B,6,0.31851032806373103,0.15472960341990083,0.1637807246438302,false
primary,σc=1.0 σs=0.35,aberdeen-b-u21,2026,26/27,B,4,0.37151453617319496,-0.21394441678810888,0.5854589529613039,false
primary,σc=1.0 σs=0.35,airdrieonians,2021,21/22,T3,39,0.6147549981284721,-0.7540878863261795,1.3688428844546516,false
primary,σc=1.0 σs=0.35,airdrieonians,2022,22/23,T3,38,0.7807909745943562,-0.472345713359482,1.2531366879538381,false
primary,σc=1.0 σs=0.35,airdrieonians,2023,23/24,T2,44,0.5760982607280887,-0.8094190952537972,1.3855173559818859,false
primary,σc=1.0 σs=0.35,airdrieonians,2024,24/25,T2,42,0.4623007071643422,-0.5438041390606003,1.0061048462249425,false
primary,σc=1.0 σs=0.35,airdrieonians,2025,25/26,T2,38,0.448766109691174,-0.6662209321411504,1.1149870418323244,false
primary,σc=1.0 σs=0.35,airdrieonians,2026,26/27,T3,12,0.3122195470180209,-0.5419194068202058,0.8541389538382267,false
primary,σc=1.0 σs=0.35,albion-rovers,2021,21/22,T4,41,0.03852810849251487,-0.11746152677784372,0.15598963527035858,false
primary,σc=1.0 σs=0.35,albion-rovers,2022,22/23,T4,39,0.046603181669784194,-0.27831634013216433,0.3249195218019485,false
primary,σc=1.0 σs=0.35,albion-rovers,2023,23/24,T5,6,0.19203159438545098,-0.3907737875099295,0.5828053818953804,false
primary,σc=1.0 σs=0.35,albion-rovers,2024,24/25,T5,3,0.27316898288709746,0.26081552137212727,0.012353461514970188,false
primary,σc=1.0 σs=0.35,albion-rovers,2025,25/26,T5,1,0.048715842239805324,-0.019713080615636924,0.06842892285544225,false
primary,σc=1.0 σs=0.35,alloa-athletic,2021,21/22,T3,40,0.4177247825484488,-0.39446473799347487,0.8121895205419236,false
primary,σc=1.0 σs=0.35,alloa-athletic,2022,22/23,T3,40,0.41721632370459766,-0.5340829440396756,0.9512992677442733,false
primary,σc=1.0 σs=0.35,alloa-athletic,2023,23/24,T3,39,0.36585745261298125,-0.3328448481501005,0.6987023007630817,false
primary,σc=1.0 σs=0.35,alloa-athletic,2024,24/25,T3,40,0.4354338896684175,-0.49923271095108734,0.9346666006195048,false
primary,σc=1.0 σs=0.35,alloa-athletic,2025,25/26,T3,43,0.4401007048127262,-0.6036629853201393,1.0437636901328655,false
primary,σc=1.0 σs=0.35,alloa-athletic,2026,26/27,T3,12,0.2512294855398711,-0.7767302512372983,1.0279597367771696,false
primary,σc=1.0 σs=0.35,annan-athletic,2021,21/22,T4,41,0.4051628031809095,-0.2144614291745632,0.6196242323554727,false
primary,σc=1.0 σs=0.35,annan-athletic,2022,22/23,T4,40,0.3657442654771608,-0.2258624817561049,0.5916067472332658,false
primary,σc=1.0 σs=0.35,annan-athletic,2023,23/24,T3,39,0.3203380151887821,-0.10230363460977153,0.4226416497985536,false
primary,σc=1.0 σs=0.35,annan-athletic,2024,24/25,T3,39,0.23128477117980026,-0.10577899455480251,0.3370637657346028,false
primary,σc=1.0 σs=0.35,annan-athletic,2025,25/26,T4,44,0.27855361949269897,-0.20315816136792003,0.481711780860619,false
primary,σc=1.0 σs=0.35,annan-athletic,2026,26/27,T4,12,-0.010143925549458255,-0.3564934122678469,0.34634948671838867,false
primary,σc=1.0 σs=0.35,arbroath,2021,21/22,T2,41,0.7278292802444584,-1.0469461128276907,1.774775393072149,false
primary,σc=1.0 σs=0.35,arbroath,2022,22/23,T2,41,0.1871921884447161,-0.8035046299606804,0.9906968184053965,false
primary,σc=1.0 σs=0.35,arbroath,2023,23/24,T2,39,0.43396833855098704,-0.2088091588913813,0.6427774974423683,false
primary,σc=1.0 σs=0.35,arbroath,2024,24/25,T3,39,0.4373258039723694,-0.6264756708075032,1.0638014747798725,false
primary,σc=1.0 σs=0.35,arbroath,2025,25/26,T2,37,0.5470137061634627,-0.7742572298896555,1.3212709360531183,false
primary,σc=1.0 σs=0.35,arbroath,2026,26/27,T2,7,0.1971991664341866,-0.691021998167171,0.8882211646013576,false
primary,σc=1.0 σs=0.35,auchinleck-talbot,2021,21/22,T5,4,0.15334012238583156,-0.43778572561749235,0.5911258480033239,false
primary,σc=1.0 σs=0.35,auchinleck-talbot,2022,22/23,T5,3,0.07917724748865043,-0.3033109509710019,0.3824881984596523,false
primary,σc=1.0 σs=0.35,auchinleck-talbot,2023,23/24,T5,1,-0.03521327566982643,-0.4353719171450169,0.4001586414751904,false
primary,σc=1.0 σs=0.35,auchinleck-talbot,2024,24/25,T5,2,-0.07147852968183928,-0.44305771681737166,0.3715791871355324,false
primary,σc=1.0 σs=0.35,auchinleck-talbot,2025,25/26,T5,4,0.30196980203652657,-0.5828239843434103,0.8847937863799369,false
primary,σc=1.0 σs=0.35,ayr-united,2021,21/22,T2,40,0.47419642141468377,-0.6629392896663407,1.1371357110810245,false
primary,σc=1.0 σs=0.35,ayr-united,2022,22/23,T2,41,0.7934168801559139,-0.9326691548201591,1.7260860349760732,false
primary,σc=1.0 σs=0.35,ayr-united,2023,23/24,T2,41,0.6488072254859927,-0.6172844051412573,1.2660916306272498,false
primary,σc=1.0 σs=0.35,ayr-united,2024,24/25,T2,42,0.8859759049416627,-0.9152976373370394,1.801273542278702,false
primary,σc=1.0 σs=0.35,ayr-united,2025,25/26,T2,38,0.4290461769104973,-0.7055779761272784,1.1346241530377756,false
primary,σc=1.0 σs=0.35,ayr-united,2026,26/27,T2,8,0.527842747148061,-0.6447838440135768,1.1726265911616378,false
primary,σc=1.0 σs=0.35,bala-town,2023,23/24,GUEST,1,-0.5862961542547402,0.06799641743237338,-0.6542925716871136,false
primary,σc=1.0 σs=0.35,banks-odee-fc,2021,21/22,T5,4,0.26762369850142426,-0.26517583048165366,0.5327995289830779,false
primary,σc=1.0 σs=0.35,banks-odee-fc,2022,22/23,T5,2,0.4089548725319686,-0.10326950272328207,0.5122243752552507,false
primary,σc=1.0 σs=0.35,banks-odee-fc,2023,23/24,T5,2,0.4756239854283043,-0.16180515630576092,0.6374291417340652,false
primary,σc=1.0 σs=0.35,banks-odee-fc,2024,24/25,T5,5,0.09545383903072654,-0.4570438529803569,0.5524976920110835,false
primary,σc=1.0 σs=0.35,banks-odee-fc,2025,25/26,T5,3,0.42207506552963026,-0.3583529095215141,0.7804279750511444,false
primary,σc=1.0 σs=0.35,banks-odee-fc,2026,26/27,T5,4,0.12072761009173705,-0.018077608548940333,0.13880521864067738,false
primary,σc=1.0 σs=0.35,beith-juniors-fc,2023,23/24,T5,2,0.10224211461054365,0.126236627011991,-0.023994512401447357,false
primary,σc=1.0 σs=0.35,benburb,2022,22/23,T5,2,-0.4101379084329638,0.1716314247298895,-0.5817693331628533,false
primary,σc=1.0 σs=0.35,benburb,2025,25/26,T5,3,-0.48765775365887976,0.010884412294814835,-0.4985421659536946,false
primary,σc=1.0 σs=0.35,berwick-rangers,2021,21/22,T5,2,-0.0836992231754431,0.27123052298920713,-0.35492974616465023,false
primary,σc=1.0 σs=0.35,berwick-rangers,2022,22/23,T5,1,-0.09622116933999114,0.2720346761272957,-0.36825584546728685,false
primary,σc=1.0 σs=0.35,berwick-rangers,2023,23/24,T5,1,-0.0731059621259069,0.5604212971588789,-0.6335272592847858,false
primary,σc=1.0 σs=0.35,berwick-rangers,2024,24/25,T5,3,-0.24349629899612985,0.31794911689079924,-0.5614454158869291,false
primary,σc=1.0 σs=0.35,berwick-rangers,2025,25/26,T5,1,-0.31921846617694244,0.38440534397340353,-0.703623810150346,false
primary,σc=1.0 σs=0.35,berwick-rangers,2026,26/27,T5,4,0.09136772130573366,0.16658042617715896,-0.0752127048714253,false
primary,σc=1.0 σs=0.35,blackburn-united,2021,21/22,T5,1,-0.6643387712059712,1.001642168691053,-1.6659809398970242,false
primary,σc=1.0 σs=0.35,boness-athletic-fc,2024,24/25,T5,2,-0.149298119125409,0.6769966331739927,-0.8262947522994017,false
primary,σc=1.0 σs=0.35,boness-athletic-fc,2025,25/26,T5,2,-0.35658207113739426,0.46353447214363963,-0.8201165432810339,false
primary,σc=1.0 σs=0.35,boness-united-fc,2021,21/22,T5,3,0.18650827872339762,-0.11173590864666756,0.2982441873700652,false
primary,σc=1.0 σs=0.35,boness-united-fc,2022,22/23,T5,2,-0.028493772593333848,-0.25815698103028933,0.22966320843695548,false
primary,σc=1.0 σs=0.35,boness-united-fc,2023,23/24,T5,3,0.021673496356877545,-0.23786709706799097,0.2595405934248685,false
primary,σc=1.0 σs=0.35,boness-united-fc,2024,24/25,T5,4,-0.008497651179559787,-0.15008396894331857,0.1415863177637588,false
primary,σc=1.0 σs=0.35,boness-united-fc,2025,25/26,T5,1,-0.10959783530026315,-0.033422011034582755,-0.0761758242656804,false
primary,σc=1.0 σs=0.35,bonnyrigg-rose,2021,21/22,T5,4,0.07980741211636617,-0.10991630784262141,0.18972371995898757,false
primary,σc=1.0 σs=0.35,bonnyrigg-rose,2022,22/23,T4,38,-0.13551026645830952,-0.2946486176452534,0.1591383511869439,false
primary,σc=1.0 σs=0.35,bonnyrigg-rose,2023,23/24,T4,41,0.13001408611499482,-0.28505060921294384,0.41506469532793866,false
primary,σc=1.0 σs=0.35,bonnyrigg-rose,2024,24/25,T4,38,-0.08610365115482031,0.018256753386005686,-0.104360404540826,false
primary,σc=1.0 σs=0.35,bonnyrigg-rose,2025,25/26,T5,3,0.08620645929566151,-0.16078281476781045,0.24698927406347196,false
primary,σc=1.0 σs=0.35,bonnyrigg-rose,2026,26/27,T5,4,0.013312621879248513,-0.03802474599704404,0.051337367876292554,false
primary,σc=1.0 σs=0.35,bonnyton-thistle,2025,25/26,T5,1,-0.6978295320358621,0.2156757649811136,-0.9135052970169757,false
primary,σc=1.0 σs=0.35,brechin-city,2021,21/22,T5,5,0.08783641778545678,0.040048572011731454,0.04778784577372533,false
primary,σc=1.0 σs=0.35,brechin-city,2022,22/23,T5,5,0.41152305625701535,-0.20924370397145242,0.6207667602284678,false
primary,σc=1.0 σs=0.35,brechin-city,2023,23/24,T5,4,-0.05543550827259629,0.1379539068858507,-0.193389415158447,false
primary,σc=1.0 σs=0.35,brechin-city,2024,24/25,T5,5,0.14656389345699616,-0.03750158125819288,0.18406547471518905,false
primary,σc=1.0 σs=0.35,brechin-city,2025,25/26,T5,3,-0.04365265797482175,-0.07303384679393889,0.029381188819117138,false
primary,σc=1.0 σs=0.35,broomhill-fc,2021,21/22,T5,4,-0.09021699913607564,-0.17494086594057545,0.08472386680449981,false
primary,σc=1.0 σs=0.35,broomhill-fc,2022,22/23,T5,3,0.28563013885441235,-0.047861269963823706,0.3334914088182361,false
primary,σc=1.0 σs=0.35,broomhill-fc,2023,23/24,T5,4,0.23475597072215876,-0.05844969709245264,0.2932056678146114,false
primary,σc=1.0 σs=0.35,broomhill-fc,2024,24/25,T5,1,-0.08574554602758014,-0.07737474295047202,-0.008370803077108122,false
primary,σc=1.0 σs=0.35,brora-rangers-fc,2021,21/22,T5,4,-0.2815290570099066,-0.7150145551005475,0.43348549809064085,false
primary,σc=1.0 σs=0.35,brora-rangers-fc,2022,22/23,T5,3,-0.058606543097343144,-0.6158660323381636,0.5572594892408205,false
primary,σc=1.0 σs=0.35,brora-rangers-fc,2023,23/24,T5,6,0.09569182337930054,-0.6978149261568352,0.7935067495361356,false
primary,σc=1.0 σs=0.35,brora-rangers-fc,2024,24/25,T5,3,-0.1261436138225333,-0.5520045735989079,0.42586095977637456,false
primary,σc=1.0 σs=0.35,brora-rangers-fc,2025,25/26,T5,1,-0.295408394544741,-0.5609350474955654,0.26552665295082445,false
primary,σc=1.0 σs=0.35,broxburn-athletic,2022,22/23,T5,1,-0.3526709569630838,-0.15359047987535768,-0.19908047708772614,false
primary,σc=1.0 σs=0.35,broxburn-athletic,2023,23/24,T5,3,-0.32038184723326385,-0.2300931482245518,-0.09028869900871206,false
primary,σc=1.0 σs=0.35,broxburn-athletic,2024,24/25,T5,4,-0.12933315076162538,0.041338910570360224,-0.1706720613319856,false
primary,σc=1.0 σs=0.35,broxburn-athletic,2025,25/26,T5,1,-0.24260876369456424,-0.05159318166536661,-0.19101558202919763,false
primary,σc=1.0 σs=0.35,buckie-thistle-fc,2021,21/22,T5,5,0.11192021368870463,0.1272176507396862,-0.015297437050981563,false
primary,σc=1.0 σs=0.35,buckie-thistle-fc,2022,22/23,T5,5,-0.020227317713163807,0.0842265703882617,-0.1044538881014255,false
primary,σc=1.0 σs=0.35,buckie-thistle-fc,2023,23/24,T5,5,-0.0892398616925381,-0.025153767297152574,-0.06408609439538553,false
primary,σc=1.0 σs=0.35,buckie-thistle-fc,2024,24/25,T5,4,-0.1431421353541994,0.09656797175666533,-0.2397101071108647,false
primary,σc=1.0 σs=0.35,buckie-thistle-fc,2025,25/26,T5,3,-0.014634125743119775,0.05476155752708641,-0.06939568327020619,false
primary,σc=1.0 σs=0.35,burntisland-shipyard,2021,21/22,T5,1,-0.3702147440798597,1.1162702460490013,-1.486484990128861,false
primary,σc=1.0 σs=0.35,burntisland-shipyard,2024,24/25,T5,1,-0.3740244760995072,1.1175488716499369,-1.4915733477494442,false
primary,σc=1.0 σs=0.35,burntisland-shipyard,2025,25/26,T5,1,-0.18627795636300232,1.2318720300804733,-1.4181499864434757,false
primary,σc=1.0 σs=0.35,caernarfon-town,2022,22/23,GUEST,1,-0.7155128968949632,-0.32279595886458823,-0.392716938030375,false
primary,σc=1.0 σs=0.35,caledonian-braves-fc,2021,21/22,T5,1,-0.19784094026304305,0.19828178575837832,-0.3961227260214214,false
primary,σc=1.0 σs=0.35,caledonian-braves-fc,2022,22/23,T5,2,-0.050950899193292626,0.3635112144187943,-0.41446211361208696,false
primary,σc=1.0 σs=0.35,caledonian-braves-fc,2023,23/24,T5,1,-0.09013658803716243,0.3027859123424764,-0.39292250037963883,false
primary,σc=1.0 σs=0.35,caledonian-braves-fc,2024,24/25,T5,2,0.013243961035006593,0.09959581169218651,-0.08635185065717992,false
primary,σc=1.0 σs=0.35,caledonian-braves-fc,2025,25/26,T5,2,0.1197420415027434,0.2724997550197622,-0.1527577135170188,false
primary,σc=1.0 σs=0.35,camelon-juniors,2021,21/22,T5,1,-0.5197902972823051,0.2867814473673509,-0.806571744649656,false
primary,σc=1.0 σs=0.35,camelon-juniors,2022,22/23,T5,2,-0.38103734076539303,0.32055787821431053,-0.7015952189797036,false
primary,σc=1.0 σs=0.35,camelon-juniors,2023,23/24,T5,1,-0.46052228199281375,0.29651276135006865,-0.7570350433428824,false
primary,σc=1.0 σs=0.35,camelon-juniors,2024,24/25,T5,1,-0.4486605659375421,0.2195088269460766,-0.6681693928836188,false
primary,σc=1.0 σs=0.35,camelon-juniors,2025,25/26,T5,4,-0.18509107551425552,0.08361597517598301,-0.26870705069023854,false
primary,σc=1.0 σs=0.35,carluke-rovers-fc,2024,24/25,T5,1,-0.6134449324509508,0.5538700242823535,-1.1673149567333043,false
primary,σc=1.0 σs=0.35,carluke-rovers-fc,2025,25/26,T5,1,-0.7370956201291954,0.7232396879603585,-1.460335308089554,false
primary,σc=1.0 σs=0.35,carnoustie-panmure,2022,22/23,T5,2,-0.3483598307424924,0.3406522929174609,-0.6890121236599533,false
primary,σc=1.0 σs=0.35,celtic,2021,21/22,T1,41,1.5420331126373334,-1.7586508417806876,3.3006839544180213,true
primary,σc=1.0 σs=0.35,celtic,2022,22/23,T1,42,1.7158068444978472,-1.640841225028769,3.3566480695266163,true
primary,σc=1.0 σs=0.35,celtic,2023,23/24,T1,39,1.4644947461734172,-1.5017670184552223,2.9662617646286398,true
primary,σc=1.0 σs=0.35,celtic,2024,24/25,T1,42,1.7334480958628697,-1.6552764544702498,3.3887245503331194,true
primary,σc=1.0 σs=0.35,celtic,2025,25/26,T1,42,1.2744719809397627,-1.3457504058810572,2.62022238682082,true
primary,σc=1.0 σs=0.35,celtic,2026,26/27,T1,9,1.4309402421701893,-1.5859390064530998,3.0168792486232894,true
primary,σc=1.0 σs=0.35,celtic-b-u21,2021,21/22,B,2,0.4316849913611315,-0.2095140228828799,0.6411990142440114,false
primary,σc=1.0 σs=0.35,celtic-b-u21,2022,22/23,B,3,0.6211814144668831,-0.19441644541680392,0.815597859883687,false
primary,σc=1.0 σs=0.35,celtic-b-u21,2023,23/24,B,1,0.2996372787941941,-0.09570300977652091,0.395340288570715,false
primary,σc=1.0 σs=0.35,celtic-b-u21,2024,24/25,B,1,0.31635403127640443,-0.12690740800663283,0.4432614392830373,false
primary,σc=1.0 σs=0.35,celtic-b-u21,2025,25/26,B,6,0.5417375234632145,-0.015694343409849182,0.5574318668730637,false
primary,σc=1.0 σs=0.35,celtic-b-u21,2026,26/27,B,4,0.7947841956667907,-0.14405258960449416,0.9388367852712849,false
primary,σc=1.0 σs=0.35,civil-service-strollers-fc,2021,21/22,T5,3,0.11058172766221791,0.40504133563698286,-0.29445960797476495,false
primary,σc=1.0 σs=0.35,civil-service-strollers-fc,2022,22/23,T5,1,-0.1928416119527098,0.444668841925946,-0.6375104538786558,false
primary,σc=1.0 σs=0.35,civil-service-strollers-fc,2023,23/24,T5,2,-0.19949957408102895,0.4571614665904753,-0.6566610406715042,false
primary,σc=1.0 σs=0.35,civil-service-strollers-fc,2024,24/25,T5,2,-0.185447166106003,0.4050330997869924,-0.5904802658929954,false
primary,σc=1.0 σs=0.35,civil-service-strollers-fc,2025,25/26,T5,1,-0.2044061078541602,0.43429803250667975,-0.63870414036084,false
primary,σc=1.0 σs=0.35,clachnacuddin-fc,2021,21/22,T5,1,-0.15239355321299686,0.19998683175170331,-0.35238038496470014,false
primary,σc=1.0 σs=0.35,clachnacuddin-fc,2022,22/23,T5,1,-0.05701533503872762,0.202493175878951,-0.2595085109176786,false
primary,σc=1.0 σs=0.35,clachnacuddin-fc,2023,23/24,T5,2,-0.11714858538678868,0.1407330253829967,-0.2578816107697854,false
primary,σc=1.0 σs=0.35,clachnacuddin-fc,2024,24/25,T5,2,-0.1166470598015091,0.22972100461668693,-0.346368064418196,false
primary,σc=1.0 σs=0.35,clachnacuddin-fc,2025,25/26,T5,3,0.02245769594650085,0.09893572529222122,-0.07647802934572037,false
primary,σc=1.0 σs=0.35,clachnacuddin-fc,2026,26/27,T5,4,0.11051927760621683,0.05980514671973683,0.05071413088648,false
primary,σc=1.0 σs=0.35,cliftonville-fc,2022,22/23,GUEST,1,0.295201179186561,-0.14005992600812295,0.435261105194684,false
primary,σc=1.0 σs=0.35,cliftonville-fc,2023,23/24,GUEST,1,0.1046944085716569,-0.18001665148253834,0.2847110600541952,false
primary,σc=1.0 σs=0.35,clyde-fc,2021,21/22,T3,38,0.059847555673015515,-0.27360750370186143,0.33345505937487696,false
primary,σc=1.0 σs=0.35,clyde-fc,2022,22/23,T3,40,-0.001136269854861427,-0.20884265848961298,0.20770638863475155,false
primary,σc=1.0 σs=0.35,clyde-fc,2023,23/24,T4,40,0.1434191592573628,-0.11579224616898506,0.25921140542634785,false
primary,σc=1.0 σs=0.35,clyde-fc,2024,24/25,T4,38,0.10784761746409599,-0.09408250759465789,0.20193012505875388,false
primary,σc=1.0 σs=0.35,clyde-fc,2025,25/26,T4,42,0.3495531692219681,-0.41648564711002706,0.7660388163319951,false
primary,σc=1.0 σs=0.35,clyde-fc,2026,26/27,T4,12,0.2688420770162963,-0.08213084464850942,0.35097292166480576,false
primary,σc=1.0 σs=0.35,clydebank-fc,2021,21/22,T5,6,0.3614384105752699,-0.4687144942015319,0.8301529047768017,false
primary,σc=1.0 σs=0.35,clydebank-fc,2022,22/23,T5,1,0.27159256134645027,-0.16748680398823526,0.4390793653346855,false
primary,σc=1.0 σs=0.35,clydebank-fc,2023,23/24,T5,2,0.3400182978486689,-0.22318148186585637,0.5631997797145253,false
primary,σc=1.0 σs=0.35,clydebank-fc,2024,24/25,T5,4,0.27158735860370997,-0.5058591271577226,0.7774464857614326,false
primary,σc=1.0 σs=0.35,clydebank-fc,2025,25/26,T5,3,0.3692484101186166,-0.47963114117305444,0.848879551291671,false
primary,σc=1.0 σs=0.35,clydebank-fc,2026,26/27,T5,4,0.5027237816016051,-0.47684369199781684,0.979567473599422,false
primary,σc=1.0 σs=0.35,coldstream-fc,2021,21/22,T5,1,-0.1868939915310435,1.3625688813905077,-1.5494628729215512,false
primary,σc=1.0 σs=0.35,coldstream-fc,2025,25/26,T5,1,-0.17862499616727365,1.3303524789183108,-1.5089774750855844,false
primary,σc=1.0 σs=0.35,coleraine-fc,2023,23/24,GUEST,1,0.11792368370917755,0.09025525916844995,0.0276684245407276,false
primary,σc=1.0 σs=0.35,cove-rangers,2021,21/22,T3,43,0.6821848504693935,-0.8439981436837756,1.526182994153169,false
primary,σc=1.0 σs=0.35,cove-rangers,2022,22/23,T2,39,0.43803791849590246,-0.4165250930510361,0.8545630115469385,false
primary,σc=1.0 σs=0.35,cove-rangers,2023,23/24,T3,40,0.3269375154853322,-0.294211402159791,0.6211489176451233,false
primary,σc=1.0 σs=0.35,cove-rangers,2024,24/25,T3,40,0.5376847770594055,-0.5134378879503243,1.0511226650097298,false
primary,σc=1.0 σs=0.35,cove-rangers,2025,25/26,T3,43,0.20953313656832145,-0.5870799277894654,0.7966130643577869,false
primary,σc=1.0 σs=0.35,cove-rangers,2026,26/27,T3,12,0.35457732848289913,-0.4642001698669413,0.8187774983498404,false
primary,σc=1.0 σs=0.35,cowdenbeath,2021,21/22,T4,39,-0.3915921078294078,-0.22363852551804755,-0.16795358231136023,false
primary,σc=1.0 σs=0.35,cowdenbeath,2022,22/23,T5,2,-0.5986191148645639,-0.10534090227882287,-0.493278212585741,false
primary,σc=1.0 σs=0.35,cowdenbeath,2023,23/24,T5,3,-0.42753887837810484,-0.2725969047900887,-0.15494197358801615,false
primary,σc=1.0 σs=0.35,cowdenbeath,2024,24/25,T5,6,-0.044955243019536184,-0.04839318409695116,0.003437941077414977,false
primary,σc=1.0 σs=0.35,cowdenbeath,2025,25/26,T5,1,-0.38584951342946644,0.01513357750476646,-0.4009830909342329,false
primary,σc=1.0 σs=0.35,cowdenbeath,2026,26/27,T5,4,-0.446624714620271,-0.1347588609305353,-0.3118658536897357,false
primary,σc=1.0 σs=0.35,culter,2023,23/24,T5,1,0.21974381092626538,0.6127523990474878,-0.3930085881212224,false
primary,σc=1.0 σs=0.35,cumbernauld-colts-fc,2021,21/22,T5,2,-0.832588526265319,0.3356234994142573,-1.1682120256795763,false
primary,σc=1.0 σs=0.35,cumbernauld-colts-fc,2022,22/23,T5,1,-1.036677414239354,0.2869477234507472,-1.3236251376901012,false
primary,σc=1.0 σs=0.35,cumbernauld-colts-fc,2023,23/24,T5,1,-0.8443821572067081,0.31823893445382595,-1.162621091660534,false
primary,σc=1.0 σs=0.35,cumbernauld-colts-fc,2024,24/25,T5,1,-1.0056523304405762,0.4402590146875576,-1.4459113451281338,false
primary,σc=1.0 σs=0.35,cumbernauld-colts-fc,2025,25/26,T5,2,-0.7858580629187736,0.19206885545600327,-0.9779269183747769,false
primary,σc=1.0 σs=0.35,cumbernauld-colts-fc,2026,26/27,T5,4,-0.9998349101945984,0.19221657213773796,-1.1920514823323363,false
primary,σc=1.0 σs=0.35,cumnock,2021,21/22,T5,2,-0.10416838493867271,0.5899547279278534,-0.6941231128665262,false
primary,σc=1.0 σs=0.35,cumnock,2022,22/23,T5,2,-0.14728618676632288,0.40619660864981344,-0.5534827954161363,false
primary,σc=1.0 σs=0.35,cumnock,2023,23/24,T5,3,-0.2666152123134996,0.30966612599083665,-0.5762813383043363,false
primary,σc=1.0 σs=0.35,cumnock,2024,24/25,T5,1,-0.10611682438449992,0.3786838368644898,-0.48480066124898974,false
primary,σc=1.0 σs=0.35,cumnock,2025,25/26,T5,1,-0.10369441663772266,0.2808498971056307,-0.38454431374335335,false
primary,σc=1.0 σs=0.35,cupar-hearts-fc,2024,24/25,T5,1,0.04468475493258543,0.9354194339078599,-0.8907346789752745,false
