window,spec,team,fs,season,cat,n,a,d,theta,old_firm
primary,main σc=1.0 σs=0.20,auchinleck-talbot,2021,21/22,T5,4,0.1553837720048724,-0.4317383589581615,0.5871221309630339,false
primary,main σc=1.0 σs=0.20,auchinleck-talbot,2022,22/23,T5,3,0.12229820271628698,-0.38098138391817593,0.5032795866344629,false
primary,main σc=1.0 σs=0.20,auchinleck-talbot,2023,23/24,T5,1,0.0860888243097282,-0.4320481265804704,0.5181369508901986,false
primary,main σc=1.0 σs=0.20,auchinleck-talbot,2024,24/25,T5,2,0.07823273986261006,-0.43009289905050047,0.5083256389131106,false
primary,main σc=1.0 σs=0.20,auchinleck-talbot,2025,25/26,T5,4,0.2117513112706063,-0.4995237393069936,0.7112750505776,false
primary,main σc=1.0 σs=0.20,ayr-united,2021,21/22,T2,40,0.4841570687680243,-0.6675965751498768,1.151753643917901,false
primary,main σc=1.0 σs=0.20,ayr-united,2022,22/23,T2,41,0.7255643455450864,-0.8631149253174135,1.5886792708625,false
primary,main σc=1.0 σs=0.20,ayr-united,2023,23/24,T2,41,0.6302085020352094,-0.6344305907300298,1.2646390927652393,false
primary,main σc=1.0 σs=0.20,ayr-united,2024,24/25,T2,42,0.8028180295214501,-0.8534191554168212,1.6562371849382713,false
primary,main σc=1.0 σs=0.20,ayr-united,2025,25/26,T2,38,0.4694043682760995,-0.7162777882294545,1.185682156505554,false
primary,main σc=1.0 σs=0.20,ayr-united,2026,26/27,T2,8,0.5720050875061049,-0.7066521717172517,1.2786572592233565,false
primary,main σc=1.0 σs=0.20,bala-town,2023,23/24,GUEST,1,-0.5697844043713438,0.08060804392711264,-0.6503924482984564,false
primary,main σc=1.0 σs=0.20,banks-odee-fc,2021,21/22,T5,4,0.28260070312940666,-0.26372025769212915,0.5463209608215358,false
primary,main σc=1.0 σs=0.20,banks-odee-fc,2022,22/23,T5,2,0.36635257275891653,-0.2015033654289176,0.5678559381878341,false
primary,main σc=1.0 σs=0.20,banks-odee-fc,2023,23/24,T5,2,0.3765115191043949,-0.21819448792580207,0.5947060070301969,false
primary,main σc=1.0 σs=0.20,banks-odee-fc,2024,24/25,T5,5,0.19222203877029698,-0.3556483410578427,0.5478703798281397,false
primary,main σc=1.0 σs=0.20,banks-odee-fc,2025,25/26,T5,3,0.35904948254794744,-0.3088643470879956,0.667913829635943,false
primary,main σc=1.0 σs=0.20,banks-odee-fc,2026,26/27,T5,4,0.21178765876550887,-0.13556636742696798,0.34735402619247685,false
primary,main σc=1.0 σs=0.20,beith-juniors-fc,2023,23/24,T5,2,0.14550427688504655,0.14336030630726768,0.0021439705777788753,false
primary,main σc=1.0 σs=0.20,benburb,2022,22/23,T5,2,-0.39094636218805506,0.11733769008690276,-0.5082840522749579,false
primary,main σc=1.0 σs=0.20,benburb,2025,25/26,T5,3,-0.43337282786850556,0.0483821717753822,-0.48175499964388774,false
primary,main σc=1.0 σs=0.20,berwick-rangers,2021,21/22,T5,2,-0.09353038588758655,0.2677115641978627,-0.36124195008544924,false
primary,main σc=1.0 σs=0.20,berwick-rangers,2022,22/23,T5,1,-0.09931559131616302,0.27479136298646123,-0.37410695430262425,false
primary,main σc=1.0 σs=0.20,berwick-rangers,2023,23/24,T5,1,-0.08878750244318077,0.3901681553532134,-0.4789556577963942,false
primary,main σc=1.0 σs=0.20,berwick-rangers,2024,24/25,T5,3,-0.15110557323022572,0.2885742276520788,-0.4396798008823045,false
primary,main σc=1.0 σs=0.20,berwick-rangers,2025,25/26,T5,1,-0.1821118238923383,0.3141685295948849,-0.4962803534872232,false
primary,main σc=1.0 σs=0.20,berwick-rangers,2026,26/27,T5,4,-0.007716249674901712,0.21020742670270834,-0.21792367637761006,false
primary,main σc=1.0 σs=0.20,blackburn-united,2021,21/22,T5,1,-0.7791263688171524,0.9914396032949077,-1.7705659721120601,false
primary,main σc=1.0 σs=0.20,boness-athletic-fc,2024,24/25,T5,2,-0.12712501575909704,0.5910125836602867,-0.7181375994193838,false
primary,main σc=1.0 σs=0.20,boness-athletic-fc,2025,25/26,T5,2,-0.21812442851079705,0.5075162639106113,-0.7256406924214084,false
primary,main σc=1.0 σs=0.20,boness-united-fc,2021,21/22,T5,3,0.1438868066169856,-0.15255271113992286,0.29643951775690847,false
primary,main σc=1.0 σs=0.20,boness-united-fc,2022,22/23,T5,2,0.04667958859099794,-0.21693675023165915,0.2636163388226571,false
primary,main σc=1.0 σs=0.20,boness-united-fc,2023,23/24,T5,3,0.06506110553722562,-0.2174523378334285,0.2825134433706541,false
primary,main σc=1.0 σs=0.20,boness-united-fc,2024,24/25,T5,4,0.05005616126932497,-0.15914201752444157,0.20919817879376654,false
primary,main σc=1.0 σs=0.20,boness-united-fc,2025,25/26,T5,1,0.01557158526529654,-0.1218329071984766,0.13740449246377315,false
primary,main σc=1.0 σs=0.20,bonnyrigg-rose,2021,21/22,T5,4,0.009713572793503832,-0.15284190053666818,0.162555473330172,false
primary,main σc=1.0 σs=0.20,bonnyrigg-rose,2022,22/23,T4,38,-0.12484340757526255,-0.26019716059940207,0.13535375302413952,false
primary,main σc=1.0 σs=0.20,bonnyrigg-rose,2023,23/24,T4,41,0.06946564639080631,-0.26200279741332516,0.3314684438041315,false
primary,main σc=1.0 σs=0.20,bonnyrigg-rose,2024,24/25,T4,38,-0.07061539912047934,-0.041649011795802215,-0.02896638732467713,false
primary,main σc=1.0 σs=0.20,bonnyrigg-rose,2025,25/26,T5,3,0.00790025145896071,-0.17166491325830832,0.17956516471726902,false
primary,main σc=1.0 σs=0.20,bonnyrigg-rose,2026,26/27,T5,4,-0.023331375368000958,-0.12809345632524102,0.10476208095724007,false
primary,main σc=1.0 σs=0.20,bonnyton-thistle,2025,25/26,T5,1,-0.6626730455622353,0.23326147117766938,-0.8959345167399047,false
primary,main σc=1.0 σs=0.20,brechin-city,2021,21/22,T5,5,0.07293687690905154,-0.029222742186035714,0.10215961909508725,false
primary,main σc=1.0 σs=0.20,brechin-city,2022,22/23,T5,5,0.23384534310583766,-0.13480462997019999,0.36864997307603764,false
primary,main σc=1.0 σs=0.20,brechin-city,2023,23/24,T5,4,-0.0011786441943031911,0.025065906493736842,-0.026244550688040033,false
